,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,6,90
1,05:00:01-06:00:00,5,27
2,06:00:01-07:00:00,10,37
3,07:00:01-08:00:00,12,90
4,08:00:01-09:00:00,12,108
5,09:00:01-10:00:00,5,120
6,10:00:01-11:00:00,10,134
7,11:00:01-12:00:00,4,194
8,12:00:01-13:00:00,5,269
9,13:00:01-14:00:00,5,198
10,14:00:01-15:00:00,3,183
11,15:00:01-16:00:00,5,241
12,16:00:01-17:00:00,9,296
13,17:00:01-18:00:00,3,212
14,18:00:01-19:00:00,7,269
15,19:00:01-20:00:00,5,156
16,20:00:01-21:00:00,6,233
17,21:00:01-22:00:00,2,185
18,22:00:01-23:00:00,3,147
19,23:00:01-24:00:00,4,174
