,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,8,76
1,05:00:01-06:00:00,8,19
2,06:00:01-07:00:00,10,56
3,07:00:01-08:00:00,10,51
4,08:00:01-09:00:00,9,126
5,09:00:01-10:00:00,8,112
6,10:00:01-11:00:00,10,220
7,11:00:01-12:00:00,3,183
8,12:00:01-13:00:00,6,194
9,13:00:01-14:00:00,3,146
10,14:00:01-15:00:00,4,154
11,15:00:01-16:00:00,7,164
12,16:00:01-17:00:00,8,331
13,17:00:01-18:00:00,9,287
14,18:00:01-19:00:00,6,286
15,19:00:01-20:00:00,5,278
16,20:00:01-21:00:00,7,250
17,21:00:01-22:00:00,4,325
18,22:00:01-23:00:00,5,243
19,23:00:01-24:00:00,5,253
