,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,5,143
1,05:00:01-06:00:00,2,8
2,06:00:01-07:00:00,6,14
3,07:00:01-08:00:00,5,192
4,08:00:01-09:00:00,10,509
5,09:00:01-10:00:00,12,613
6,10:00:01-11:00:00,7,497
7,11:00:01-12:00:00,8,325
8,12:00:01-13:00:00,6,176
9,13:00:01-14:00:00,7,211
10,14:00:01-15:00:00,6,85
11,15:00:01-16:00:00,5,98
12,16:00:01-17:00:00,6,67
13,17:00:01-18:00:00,5,69
14,18:00:01-19:00:00,5,58
15,19:00:01-20:00:00,3,14
16,20:00:01-21:00:00,1,1
17,21:00:01-22:00:00,,
18,22:00:01-23:00:00,,
19,23:00:01-24:00:00,,
