Route:- 6080,Date:- 10/05/2017,,,,,,,,Day:- Thursday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,1,1.61,1,0.09,8,0.09,2.2,1.61,1,1.54,0,0,0,0,2.2,1.54,2,1.57,1,0.04,8,0.04,4,1.43
06:00:01-07:00:00,4,6.45,7,0.61,50,0.54,8.8,6.45,6,9.23,101,8.52,642,6.24,13.2,9.23,10,7.87,108,4.63,692,3.53,22,7.89
07:00:01-08:00:00,6,9.68,38,3.31,242,2.59,13.2,9.68,9,13.85,193,16.29,1842,17.91,18,12.59,15,11.81,231,9.91,2084,10.62,31,11.11
08:00:01-09:00:00,7,11.29,35,3.05,234,2.51,15.4,11.29,5,7.69,230,19.41,2160,21,10,6.99,12,9.45,265,11.36,2394,12.2,25,8.96
09:00:01-10:00:00,3,4.84,8,0.7,90,0.96,6.6,4.84,4,6.15,235,19.83,2094,20.36,8.8,6.15,7,5.51,243,10.42,2184,11.13,15,5.38
10:00:01-11:00:00,4,6.45,19,1.66,110,1.18,8.8,6.45,4,6.15,73,6.16,718,6.98,8.8,6.15,8,6.3,92,3.95,828,4.22,18,6.45
11:00:01-12:00:00,4,6.45,50,4.36,308,3.3,8.8,6.45,6,9.23,66,5.57,502,4.88,13.2,9.23,10,7.87,116,4.97,810,4.13,22,7.89
12:00:01-13:00:00,4,6.45,36,3.14,282,3.02,8,5.87,2,3.08,29,2.45,286,2.78,4.4,3.08,6,4.72,65,2.79,568,2.89,12,4.3
13:00:01-14:00:00,2,3.23,25,2.18,192,2.06,4,2.93,3,4.62,52,4.39,453,4.4,6.6,4.62,5,3.94,77,3.3,645,3.29,11,3.94
14:00:01-15:00:00,2,3.23,17,1.48,118,1.26,4.4,3.23,4,6.15,30,2.53,226,2.2,8.8,6.15,6,4.72,47,2.02,344,1.75,13,4.66
15:00:01-16:00:00,3,4.84,27,2.35,202,2.16,6.6,4.84,2,3.08,35,2.95,285,2.77,4,2.8,5,3.94,62,2.66,487,2.48,11,3.94
16:00:01-17:00:00,2,3.23,55,4.8,462,4.95,4.4,3.23,1,1.54,13,1.1,96,0.93,2,1.4,3,2.36,68,2.92,558,2.84,6,2.15
17:00:01-18:00:00,2,3.23,104,9.07,874,9.36,4,2.93,3,4.62,25,2.11,200,1.94,6.6,4.62,5,3.94,129,5.53,1074,5.47,11,3.94
18:00:01-19:00:00,2,3.23,76,6.63,652,6.98,4.4,3.23,2,3.08,24,2.03,170,1.65,4,2.8,4,3.15,100,4.29,822,4.19,8,2.87
19:00:01-20:00:00,4,6.45,183,15.95,1528,16.36,8.8,6.45,3,4.62,18,1.52,148,1.44,6.6,4.62,7,5.51,201,8.62,1676,8.54,15,5.38
20:00:01-21:00:00,2,3.23,150,13.08,1256,13.45,4.4,3.23,3,4.62,21,1.77,138,1.34,6,4.2,5,3.94,171,7.33,1394,7.1,10,3.58
21:00:01-22:00:00,2,3.23,146,12.73,1281,13.71,4.4,3.23,3,4.62,18,1.52,148,1.44,6.6,4.62,5,3.94,164,7.03,1429,7.28,11,3.94
22:00:01-23:00:00,4,6.45,144,12.55,1236,13.23,8.8,6.45,2,3.08,19,1.6,150,1.46,4.4,3.08,6,4.72,163,6.99,1386,7.06,13,4.66
23:00:01-24:00:00,4,6.45,26,2.27,216,2.31,8.8,6.45,2,3.08,3,0.25,26,0.25,4.4,3.08,6,4.72,29,1.24,242,1.23,13,4.66
,62,,1147,,9341,,136.4,,65,,1185,,10284,,143,,127,,2332,,19625,,279,
