Route:- 4781,Date:- 10/05/2017,,,,,,,,Day:- Thursday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,2.56,0,0,0,0,26.8,2.56,0,0,3,0.17,10,0.06,0,0,1,1.22,3,0.08,10,0.03,27,1.23
05:00:01-06:00:00,2,5.13,45,2.2,536,2.92,15.8,1.51,0,0,0,0,0,0,0,0,2,2.44,45,1.19,536,1.53,16,0.73
06:00:01-07:00:00,4,10.26,83,4.05,480,2.62,7.6,0.73,2,4.65,52,2.98,258,1.55,53.6,4.65,6,7.32,135,3.56,738,2.11,61,2.78
07:00:01-08:00:00,3,7.69,272,13.28,2763,15.06,80.4,7.69,3,6.98,58,3.32,510,3.07,21,1.82,6,7.32,330,8.7,3273,9.36,101,4.6
08:00:01-09:00:00,1,2.56,147,7.18,1344,7.33,26.8,2.56,5,11.63,237,13.57,2304,13.86,25.5,2.21,6,7.32,384,10.12,3648,10.43,52,2.37
09:00:01-10:00:00,2,5.13,97,4.74,732,3.99,50.8,4.86,0,0,290,16.6,3494,21.02,0,0,2,2.44,387,10.2,4226,12.09,51,2.32
10:00:01-11:00:00,2,5.13,103,5.03,610,3.33,50.8,4.86,2,4.65,79,4.52,806,4.85,53.6,4.65,4,4.88,182,4.8,1416,4.05,104,4.73
11:00:01-12:00:00,1,2.56,96,4.69,861,4.69,26.8,2.56,6,13.95,89,5.09,934,5.62,42,3.64,7,8.54,185,4.87,1795,5.13,69,3.14
12:00:01-13:00:00,1,2.56,90,4.39,734,4,21.7,2.08,6,13.95,62,3.55,591,3.56,42,3.64,7,8.54,152,4.01,1325,3.79,64,2.91
13:00:01-14:00:00,4,10.26,71,3.47,535,2.92,107.2,10.26,1,2.33,81,4.64,718,4.32,2.4,0.21,5,6.1,152,4.01,1253,3.58,110,5
14:00:01-15:00:00,3,7.69,46,2.25,529,2.88,16.5,1.58,2,4.65,72,4.12,390,2.35,2.8,0.24,5,6.1,118,3.11,919,2.63,19,0.86
15:00:01-16:00:00,2,5.13,91,4.44,734,4,35.6,3.41,3,6.98,75,4.29,824,4.96,32.4,2.81,5,6.1,166,4.37,1558,4.46,68,3.09
16:00:01-17:00:00,0,0,96,4.69,836,4.56,0,0,2,4.65,92,5.27,982,5.91,8.4,0.73,2,2.44,188,4.95,1818,5.2,8,0.36
17:00:01-18:00:00,4,10.26,53,2.59,605,3.3,107.2,10.26,1,2.33,141,8.07,1270,7.64,10.5,0.91,5,6.1,194,5.11,1875,5.36,118,5.37
18:00:01-19:00:00,1,2.56,143,6.98,1174,6.4,26.8,2.56,0,0,85,4.87,944,5.68,0,0,1,1.22,228,6.01,2118,6.06,27,1.23
19:00:01-20:00:00,2,5.13,186,9.08,1778,9.69,53.6,5.13,1,2.33,3,0.17,34,0.2,26.8,2.33,3,3.66,189,4.98,1812,5.18,80,3.64
20:00:01-21:00:00,3,7.69,182,8.89,1814,9.89,37.8,3.62,1,2.33,64,3.66,418,2.51,26.8,2.33,4,4.88,246,6.48,2232,6.38,65,2.96
21:00:01-22:00:00,2,5.13,180,8.79,1678,9.15,19.4,1.86,4,9.3,87,4.98,776,4.67,107.2,9.3,6,7.32,267,7.04,2454,7.02,127,5.78
22:00:01-23:00:00,1,2.56,62,3.03,602,3.28,17.8,1.7,3,6.98,80,4.58,696,4.19,15.3,1.33,4,4.88,142,3.74,1298,3.71,33,1.5
23:00:01-24:00:00,0,0,5,0.24,0,0,0,0,1,2.33,97,5.55,662,3.98,10.5,0.91,1,1.22,102,2.69,662,1.89,10,0.45
,39,,2048,,18345,,1045.2,,43,,1747,,16621,,1152.4,,82,,3795,,34966,,2198,
