,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,4,121
1,05:00:01-06:00:00,3,61
2,06:00:01-07:00:00,10,284
3,07:00:01-08:00:00,15,334
4,08:00:01-09:00:00,10,562
5,09:00:01-10:00:00,11,666
6,10:00:01-11:00:00,11,653
7,11:00:01-12:00:00,8,569
8,12:00:01-13:00:00,7,618
9,13:00:01-14:00:00,5,460
10,14:00:01-15:00:00,5,429
11,15:00:01-16:00:00,5,458
12,16:00:01-17:00:00,7,591
13,17:00:01-18:00:00,9,522
14,18:00:01-19:00:00,11,809
15,19:00:01-20:00:00,9,863
16,20:00:01-21:00:00,9,676
17,21:00:01-22:00:00,8,529
18,22:00:01-23:00:00,5,418
19,23:00:01-24:00:00,1,310
