Route:- 3870,Date:- 10/31/2017,,,,,,,,Day:- Tuesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,1.35,1,0.07,0,0,3.6,1.35,1,1.43,1,0.12,0,0,3.6,1.43,2,1.39,2,0.09,0,0,7,1.35
05:00:01-06:00:00,1,1.35,4,0.29,20,0.17,3.6,1.35,3,4.29,15,1.74,108,1.51,10.8,4.29,4,2.78,19,0.84,128,0.67,14,2.7
06:00:01-07:00:00,4,5.41,21,1.51,186,1.55,14.4,5.41,6,8.57,31,3.6,190,2.65,6.6,2.62,10,6.94,52,2.31,376,1.96,21,4.05
07:00:01-08:00:00,5,6.76,24,1.73,180,1.5,18,6.76,6,8.57,70,8.13,638,8.9,14.4,5.71,11,7.64,94,4.18,818,4.27,32,6.18
08:00:01-09:00:00,7,9.46,59,4.25,374,3.12,22.4,8.41,6,8.57,76,8.83,712,9.93,21.6,8.57,13,9.03,135,6,1086,5.67,44,8.49
09:00:01-10:00:00,2,2.7,46,3.31,470,3.92,6.4,2.4,3,4.29,33,3.83,357,4.98,10.8,4.29,5,3.47,79,3.51,827,4.31,17,3.28
10:00:01-11:00:00,2,2.7,82,5.9,806,6.72,7.2,2.7,1,1.43,51,5.92,502,7,3.2,1.27,3,2.08,133,5.91,1308,6.82,10,1.93
11:00:01-12:00:00,3,4.05,82,5.9,746,6.22,10.8,4.05,4,5.71,54,6.27,495,6.9,14.4,5.71,7,4.86,136,6.04,1241,6.47,25,4.83
12:00:01-13:00:00,4,5.41,89,6.41,814,6.79,8,3,3,4.29,48,5.57,398,5.55,10.8,4.29,7,4.86,137,6.09,1212,6.32,19,3.67
13:00:01-14:00:00,2,2.7,45,3.24,423,3.53,7.2,2.7,5,7.14,16,1.86,142,1.98,18,7.14,7,4.86,61,2.71,565,2.95,25,4.83
14:00:01-15:00:00,3,4.05,44,3.17,384,3.2,10.8,4.05,3,4.29,48,5.57,322,4.49,3.3,1.31,6,4.17,92,4.09,706,3.68,14,2.7
15:00:01-16:00:00,3,4.05,50,3.6,420,3.5,10.8,4.05,3,4.29,34,3.95,277,3.86,10.8,4.29,6,4.17,84,3.73,697,3.64,22,4.25
16:00:01-17:00:00,5,6.76,74,5.33,580,4.84,18,6.76,6,8.57,51,5.92,387,5.4,21.6,8.57,11,7.64,125,5.56,967,5.05,40,7.72
17:00:01-18:00:00,5,6.76,138,9.94,1173,9.78,18,6.76,3,4.29,72,8.36,498,6.94,10.8,4.29,8,5.56,210,9.33,1671,8.72,29,5.6
18:00:01-19:00:00,1,1.35,96,6.91,877,7.31,3.6,1.35,2,2.86,110,12.78,962,13.41,7.2,2.86,3,2.08,206,9.16,1839,9.59,11,2.12
19:00:01-20:00:00,4,5.41,152,10.94,1374,11.45,14.4,5.41,3,4.29,65,7.55,541,7.54,10.8,4.29,7,4.86,217,9.64,1915,9.99,25,4.83
20:00:01-21:00:00,5,6.76,179,12.89,1488,12.41,18,6.76,5,7.14,41,4.76,316,4.41,18,7.14,10,6.94,220,9.78,1804,9.41,36,6.95
21:00:01-22:00:00,6,8.11,113,8.14,968,8.07,21.6,8.11,4,5.71,36,4.18,273,3.81,4.4,1.75,10,6.94,149,6.62,1241,6.47,26,5.02
22:00:01-23:00:00,8,10.81,74,5.33,622,5.19,25.6,9.61,3,4.29,8,0.93,44,0.61,3.3,1.31,11,7.64,82,3.64,666,3.47,29,5.6
23:00:01-24:00:00,3,4.05,16,1.15,90,0.75,10.8,4.05,0,0,1,0.12,10,0.14,0,0,3,2.08,17,0.76,100,0.52,11,2.12
,74,,1389,,11995,,266.4,,70,,861,,7172,,252,,144,,2250,,19167,,518,
