Route:- 3870,Date:- 10/12/2017,,,,,,,,Day:- Thursday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,1.16,1,0.04,0,0,3.6,1.16,0,0,0,0,0,0,0,0,1,0.58,1,0.02,0,0,4,0.65
05:00:01-06:00:00,1,1.16,6,0.25,40,0.19,3.6,1.16,3,3.53,29,1.32,180,0.89,10.8,3.53,4,2.34,35,0.76,220,0.53,14,2.27
06:00:01-07:00:00,5,5.81,29,1.2,110,0.52,18,5.81,5,5.88,123,5.61,985,4.86,18,5.88,10,5.85,152,3.29,1095,2.63,36,5.84
07:00:01-08:00:00,7,8.14,52,2.15,270,1.27,25.2,8.14,8,9.41,223,10.16,1706,8.41,28.8,9.41,15,8.77,275,5.95,1976,4.75,54,8.77
08:00:01-09:00:00,6,6.98,69,2.85,606,2.85,21.6,6.98,7,8.24,245,11.17,2563,12.63,25.2,8.24,13,7.6,314,6.8,3169,7.62,47,7.63
09:00:01-10:00:00,3,3.49,123,5.07,1072,5.03,7.2,2.33,5,5.88,218,9.94,2330,11.49,18,5.88,8,4.68,341,7.38,3402,8.18,25,4.06
10:00:01-11:00:00,6,6.98,145,5.98,1293,6.07,21.6,6.98,3,3.53,186,8.48,2074,10.22,9.6,3.14,9,5.26,331,7.17,3367,8.1,31,5.03
11:00:01-12:00:00,4,4.65,128,5.28,1203,5.65,14.4,4.65,2,2.35,93,4.24,935,4.61,7.2,2.35,6,3.51,221,4.79,2138,5.14,22,3.57
12:00:01-13:00:00,4,4.65,139,5.73,1229,5.77,14.4,4.65,4,4.71,101,4.6,897,4.42,14.4,4.71,8,4.68,240,5.2,2126,5.11,29,4.71
13:00:01-14:00:00,2,2.33,75,3.09,652,3.06,5,1.61,3,3.53,88,4.01,802,3.95,10.8,3.53,5,2.92,163,3.53,1454,3.5,16,2.6
14:00:01-15:00:00,2,2.33,81,3.34,719,3.38,7.2,2.33,3,3.53,41,1.87,415,2.05,10.8,3.53,5,2.92,122,2.64,1134,2.73,18,2.92
15:00:01-16:00:00,6,6.98,129,5.32,1119,5.25,21.6,6.98,4,4.71,103,4.69,953,4.7,14.4,4.71,10,5.85,232,5.02,2072,4.98,36,5.84
16:00:01-17:00:00,3,3.49,125,5.16,1070,5.02,10.8,3.49,7,8.24,113,5.15,920,4.54,25.2,8.24,10,5.85,238,5.15,1990,4.79,36,5.84
17:00:01-18:00:00,5,5.81,185,7.63,1546,7.26,18,5.81,6,7.06,158,7.2,1435,7.07,6.6,2.16,11,6.43,343,7.43,2981,7.17,25,4.06
18:00:01-19:00:00,4,4.65,235,9.69,2182,10.25,14.4,4.65,4,4.71,171,7.79,1576,7.77,12.8,4.18,8,4.68,406,8.79,3758,9.04,27,4.38
19:00:01-20:00:00,5,5.81,224,9.24,2127,9.99,18,5.81,4,4.71,128,5.83,1141,5.62,9.6,3.14,9,5.26,352,7.62,3268,7.86,28,4.55
20:00:01-21:00:00,4,4.65,215,8.87,2003,9.41,14.4,4.65,4,4.71,84,3.83,707,3.49,14.4,4.71,8,4.68,299,6.47,2710,6.52,29,4.71
21:00:01-22:00:00,6,6.98,260,10.73,2328,10.93,21.6,6.98,5,5.88,53,2.42,401,1.98,18,5.88,11,6.43,313,6.78,2729,6.56,40,6.49
22:00:01-23:00:00,5,5.81,160,6.6,1384,6.5,18,5.81,4,4.71,33,1.5,245,1.21,14.4,4.71,9,5.26,193,4.18,1629,3.92,32,5.19
23:00:01-24:00:00,7,8.14,43,1.77,342,1.61,25.2,8.14,4,4.71,4,0.18,20,0.1,14.4,4.71,11,6.43,47,1.02,362,0.87,40,6.49
,86,,2424,,21295,,309.6,,85,,2194,,20285,,306,,171,,4618,,41580,,616,
