Route:- 6040,Date:- 10/09/2017,,,,,,,,Day:- Monday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,1,1.75,0,0,0,0,3.5,1.75,0,0,0,0,0,0,0,0,1,0.9,0,0,0,0,4,1.03
06:00:01-07:00:00,5,8.77,62,5.44,225,2.54,17.5,8.77,4,7.41,35,2.45,153,1.33,14,7.41,9,8.11,97,3.78,378,1.86,32,8.25
07:00:01-08:00:00,4,7.02,39,3.42,276,3.12,14,7.02,5,9.26,64,4.48,424,3.68,11,5.82,9,8.11,103,4.01,700,3.44,25,6.44
08:00:01-09:00:00,4,7.02,96,8.42,870,9.83,14,7.02,2,3.7,60,4.2,564,4.9,7,3.7,6,5.41,156,6.08,1434,7.04,21,5.41
09:00:01-10:00:00,3,5.26,103,9.04,834,9.42,7.5,3.76,4,7.41,112,7.85,984,8.54,14,7.41,7,6.31,215,8.38,1818,8.93,22,5.67
10:00:01-11:00:00,3,5.26,82,7.19,672,7.59,10.5,5.26,2,3.7,78,5.47,755,6.56,5,2.65,5,4.5,160,6.23,1427,7.01,16,4.12
11:00:01-12:00:00,3,5.26,49,4.3,456,5.15,10.5,5.26,4,7.41,102,7.15,873,7.58,14,7.41,7,6.31,151,5.88,1329,6.53,24,6.19
12:00:01-13:00:00,3,5.26,41,3.6,274,3.1,10.5,5.26,2,3.7,58,4.06,416,3.61,7,3.7,5,4.5,99,3.86,690,3.39,18,4.64
13:00:01-14:00:00,2,3.51,30,2.63,270,3.05,7,3.51,1,1.85,69,4.84,635,5.51,2.5,1.32,3,2.7,99,3.86,905,4.44,10,2.58
14:00:01-15:00:00,3,5.26,50,4.39,384,4.34,10.5,5.26,4,7.41,44,3.08,377,3.27,14,7.41,7,6.31,94,3.66,761,3.74,24,6.19
15:00:01-16:00:00,2,3.51,7,0.61,60,0.68,7,3.51,1,1.85,33,2.31,274,2.38,2.2,1.16,3,2.7,40,1.56,334,1.64,9,2.32
16:00:01-17:00:00,4,7.02,12,1.05,96,1.08,14,7.02,1,1.85,5,0.35,40,0.35,1.7,0.9,5,4.5,17,0.66,136,0.67,16,4.12
17:00:01-18:00:00,1,1.75,51,4.47,364,4.11,1.7,0.85,3,5.56,41,2.87,336,2.92,10.5,5.56,4,3.6,92,3.58,700,3.44,12,3.09
18:00:01-19:00:00,3,5.26,158,13.86,1204,13.61,10.5,5.26,4,7.41,141,9.88,1084,9.41,14,7.41,7,6.31,299,11.65,2288,11.23,24,6.19
19:00:01-20:00:00,2,3.51,90,7.89,736,8.32,7,3.51,4,7.41,121,8.48,990,8.6,14,7.41,6,5.41,211,8.22,1726,8.47,21,5.41
20:00:01-21:00:00,5,8.77,132,11.58,1052,11.89,17.5,8.77,4,7.41,176,12.33,1360,11.81,14,7.41,9,8.11,308,12,2412,11.84,32,8.25
21:00:01-22:00:00,6,10.53,104,9.12,814,9.2,21,10.53,4,7.41,122,8.55,940,8.16,10,5.29,10,9.01,226,8.8,1754,8.61,31,7.99
22:00:01-23:00:00,2,3.51,33,2.89,254,2.87,7,3.51,3,5.56,125,8.76,984,8.54,7.5,3.97,5,4.5,158,6.16,1238,6.08,14,3.61
23:00:01-24:00:00,1,1.75,1,0.09,8,0.09,3.5,1.75,2,3.7,41,2.87,328,2.85,7,3.7,3,2.7,42,1.64,336,1.65,10,2.58
,57,,1140,,8849,,199.5,,54,,1427,,11517,,189,,111,,2567,,20366,,388,
