Route:- 0071,Date:- 10/09/2017,,,,,,,,Day:- Monday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,2,9.52,148,8.28,2192,10,60.8,9.52,2,11.76,131,5.97,1516,5.42,60.8,11.76,4,10.53,279,7.01,3708,7.43,122,10.56
05:00:01-06:00:00,1,4.76,7,0.39,54,0.25,4.1,0.64,0,0,0,0,0,0,0,0,1,2.63,7,0.18,54,0.11,4,0.35
06:00:01-07:00:00,0,0,0,0,0,0,0,0,1,5.88,1,0.05,0,0,30.4,5.88,1,2.63,1,0.03,0,0,30,2.6
07:00:01-08:00:00,0,0,0,0,0,0,0,0,3,17.65,102,4.65,1508,5.39,91.2,17.65,3,7.89,102,2.56,1508,3.02,91,7.88
08:00:01-09:00:00,1,4.76,10,0.56,112,0.51,30.4,4.76,1,5.88,222,10.11,3182,11.38,8.6,1.66,2,5.26,232,5.83,3294,6.6,39,3.38
09:00:01-10:00:00,2,9.52,121,6.77,1387,6.33,5.8,0.91,1,5.88,152,6.92,2235,7.99,8.2,1.59,3,7.89,273,6.86,3622,7.26,14,1.21
10:00:01-11:00:00,1,4.76,217,12.14,2252,10.27,4.2,0.66,2,11.76,259,11.8,3276,11.71,60.8,11.76,3,7.89,476,11.95,5528,11.08,65,5.63
11:00:01-12:00:00,0,0,116,6.49,1348,6.15,0,0,1,5.88,203,9.25,2733,9.77,12.2,2.36,1,2.63,319,8.01,4081,8.18,12,1.04
12:00:01-13:00:00,3,14.29,82,4.59,811,3.7,91.2,14.29,1,5.88,215,9.79,2867,10.25,8.2,1.59,4,10.53,297,7.46,3678,7.37,99,8.57
13:00:01-14:00:00,1,4.76,63,3.53,762,3.48,4.8,0.75,1,5.88,143,6.51,1709,6.11,30.4,5.88,2,5.26,206,5.17,2471,4.95,35,3.03
14:00:01-15:00:00,1,4.76,183,10.24,2244,10.24,14,2.19,1,5.88,151,6.88,1690,6.04,15.1,2.92,2,5.26,334,8.39,3934,7.88,29,2.51
15:00:01-16:00:00,2,9.52,107,5.99,1494,6.82,5.8,0.91,0,0,84,3.83,938,3.35,0,0,2,5.26,191,4.8,2432,4.87,6,0.52
16:00:01-17:00:00,0,0,119,6.66,1546,7.05,0,0,1,5.88,82,3.74,986,3.52,2.9,0.56,1,2.63,201,5.05,2532,5.07,3,0.26
17:00:01-18:00:00,1,4.76,181,10.13,2150,9.81,14,2.19,1,5.88,194,8.84,2535,9.06,3.4,0.66,2,5.26,375,9.42,4685,9.39,17,1.47
18:00:01-19:00:00,0,0,96,5.37,1195,5.45,0,0,0,0,103,4.69,1100,3.93,0,0,0,0,199,5,2295,4.6,0,0
19:00:01-20:00:00,1,4.76,45,2.52,622,2.84,15.6,2.44,0,0,76,3.46,748,2.67,0,0,1,2.63,121,3.04,1370,2.75,16,1.39
20:00:01-21:00:00,1,4.76,159,8.9,2085,9.51,5.8,0.91,1,5.88,61,2.78,762,2.72,30.4,5.88,2,5.26,220,5.52,2847,5.71,36,3.12
21:00:01-22:00:00,1,4.76,58,3.25,674,3.07,30.4,4.76,0,0,16,0.73,188,0.67,0,0,1,2.63,74,1.86,862,1.73,30,2.6
22:00:01-23:00:00,2,9.52,17,0.95,272,1.24,60.8,9.52,0,0,0,0,0,0,0,0,2,5.26,17,0.43,272,0.55,61,5.28
23:00:01-24:00:00,1,4.76,58,3.25,722,3.29,12,1.88,0,0,0,0,0,0,0,0,1,2.63,58,1.46,722,1.45,12,1.04
,21,,1787,,21922,,638.4,,17,,2195,,27973,,516.8,,38,,3982,,49895,,1155,
