Route:- 3310,Date:- 10/09/2017,,,,,,,,Day:- Monday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,3.45,69,4.3,900,5.25,9,3.45,0,0,0,0,0,0,0,0,1,1.79,69,2.44,900,2.99,9,1.79
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,3,10.34,48,2.99,512,2.98,27,10.34,2,7.41,54,4.43,630,4.88,18,7.41,5,8.93,102,3.61,1142,3.8,45,8.93
07:00:01-08:00:00,2,6.9,160,9.98,1736,10.12,18,6.9,1,3.7,67,5.5,734,5.68,2.8,1.15,3,5.36,227,8.04,2470,8.21,21,4.17
08:00:01-09:00:00,1,3.45,85,5.3,938,5.47,7.2,2.76,2,7.41,101,8.29,1217,9.42,18,7.41,3,5.36,186,6.59,2155,7.16,25,4.96
09:00:01-10:00:00,2,6.9,181,11.28,2074,12.09,18,6.9,1,3.7,64,5.25,638,4.94,1.8,0.74,3,5.36,245,8.68,2712,9.02,20,3.97
10:00:01-11:00:00,1,3.45,93,5.8,1128,6.57,9,3.45,2,7.41,57,4.68,544,4.21,18,7.41,3,5.36,150,5.31,1672,5.56,27,5.36
11:00:01-12:00:00,1,3.45,23,1.43,252,1.47,9,3.45,2,7.41,119,9.76,802,6.21,18,7.41,3,5.36,142,5.03,1054,3.5,27,5.36
12:00:01-13:00:00,2,6.9,156,9.73,1608,9.37,18,6.9,0,0,22,1.8,176,1.36,0,0,2,3.57,178,6.31,1784,5.93,18,3.57
13:00:01-14:00:00,1,3.45,72,4.49,917,5.34,4.4,1.69,3,11.11,66,5.41,729,5.64,27,11.11,4,7.14,138,4.89,1646,5.47,31,6.15
14:00:01-15:00:00,5,17.24,81,5.05,628,3.66,45,17.24,1,3.7,50,4.1,625,4.84,9,3.7,6,10.71,131,4.64,1253,4.17,54,10.71
15:00:01-16:00:00,0,0,73,4.55,746,4.35,0,0,1,3.7,52,4.27,682,5.28,9,3.7,1,1.79,125,4.43,1428,4.75,9,1.79
16:00:01-17:00:00,2,6.9,73,4.55,734,4.28,18,6.9,2,7.41,97,7.96,1158,8.96,8,3.29,4,7.14,170,6.02,1892,6.29,26,5.16
17:00:01-18:00:00,1,3.45,63,3.93,702,4.09,9,3.45,2,7.41,136,11.16,1500,11.61,18,7.41,3,5.36,199,7.05,2202,7.32,27,5.36
18:00:01-19:00:00,2,6.9,27,1.68,254,1.48,4.8,1.84,1,3.7,52,4.27,410,3.17,1.8,0.74,3,5.36,79,2.8,664,2.21,7,1.39
19:00:01-20:00:00,0,0,85,5.3,866,5.05,0,0,1,3.7,75,6.15,914,7.07,9,3.7,1,1.79,160,5.67,1780,5.92,9,1.79
20:00:01-21:00:00,3,10.34,105,6.55,1029,6,27,10.34,2,7.41,60,4.92,742,5.74,2.2,0.91,5,8.93,165,5.84,1771,5.89,29,5.75
21:00:01-22:00:00,2,6.9,150,9.35,1504,8.77,18,6.9,2,7.41,60,4.92,624,4.83,14.4,5.93,4,7.14,210,7.44,2128,7.07,32,6.35
22:00:01-23:00:00,0,0,60,3.74,630,3.67,0,0,2,7.41,86,7.05,790,6.11,18,7.41,2,3.57,146,5.17,1420,4.72,18,3.57
23:00:01-24:00:00,0,0,0,0,0,0,0,0,0,0,1,0.08,8,0.06,0,0,0,0,1,0.04,8,0.03,0,0
,29,,1604,,17158,,261,,27,,1219,,12923,,243,,56,,2823,,30081,,504,
