Route:- 3870,Date:- 10/09/2017,,,,,,,,Day:- Monday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,3,3.3,127,4.53,1196,5,10.8,3.3,4,4.21,112,4.96,1188,5.69,14.4,4.21,7,3.76,239,4.72,2384,5.32,25,3.73
05:00:01-06:00:00,2,2.2,3,0.11,20,0.08,7.2,2.2,4,4.21,26,1.15,242,1.16,14.4,4.21,6,3.23,29,0.57,262,0.58,22,3.28
06:00:01-07:00:00,4,4.4,8,0.29,58,0.24,14.4,4.4,6,6.32,124,5.49,1087,5.2,21.6,6.32,10,5.38,132,2.61,1145,2.56,36,5.37
07:00:01-08:00:00,5,5.49,35,1.25,264,1.1,18,5.49,8,8.42,170,7.53,1579,7.56,28.8,8.42,13,6.99,205,4.05,1843,4.11,47,7.01
08:00:01-09:00:00,5,5.49,58,2.07,365,1.53,18,5.49,5,5.26,248,10.98,2554,12.23,18,5.26,10,5.38,306,6.05,2919,6.51,36,5.37
09:00:01-10:00:00,4,4.4,139,4.96,1271,5.31,14.4,4.4,5,5.26,326,14.44,3380,16.18,18,5.26,9,4.84,465,9.19,4651,10.38,32,4.78
10:00:01-11:00:00,5,5.49,218,7.78,1965,8.21,18,5.49,4,4.21,155,6.86,1660,7.95,4.4,1.29,9,4.84,373,7.37,3625,8.09,22,3.28
11:00:01-12:00:00,5,5.49,131,4.68,1152,4.82,18,5.49,2,2.11,56,2.48,621,2.97,7.2,2.11,7,3.76,187,3.7,1773,3.96,25,3.73
12:00:01-13:00:00,4,4.4,113,4.03,1094,4.57,14.4,4.4,2,2.11,82,3.63,898,4.3,7.2,2.11,6,3.23,195,3.85,1992,4.45,22,3.28
13:00:01-14:00:00,3,3.3,91,3.25,872,3.65,10.8,3.3,8,8.42,94,4.16,920,4.4,8.8,2.57,11,5.91,185,3.66,1792,4,20,2.99
14:00:01-15:00:00,4,4.4,170,6.07,1064,4.45,14.4,4.4,3,3.16,105,4.65,432,2.07,7.2,2.11,7,3.76,275,5.43,1496,3.34,22,3.28
15:00:01-16:00:00,4,4.4,182,6.5,1356,5.67,14.4,4.4,5,5.26,91,4.03,739,3.54,18,5.26,9,4.84,273,5.4,2095,4.68,32,4.78
16:00:01-17:00:00,6,6.59,183,6.53,1452,6.07,21.6,6.59,9,9.47,93,4.12,717,3.43,32.4,9.47,15,8.06,276,5.45,2169,4.84,54,8.06
17:00:01-18:00:00,6,6.59,209,7.46,1757,7.35,21.6,6.59,3,3.16,108,4.78,927,4.44,10.8,3.16,9,4.84,317,6.26,2684,5.99,32,4.78
18:00:01-19:00:00,6,6.59,203,7.24,1856,7.76,21.6,6.59,3,3.16,158,7,1432,6.86,10.8,3.16,9,4.84,361,7.13,3288,7.34,32,4.78
19:00:01-20:00:00,3,3.3,278,9.92,2485,10.39,10.8,3.3,5,5.26,111,4.92,953,4.56,18,5.26,8,4.3,389,7.69,3438,7.67,29,4.33
20:00:01-21:00:00,6,6.59,206,7.35,1931,8.07,21.6,6.59,5,5.26,108,4.78,879,4.21,18,5.26,11,5.91,314,6.21,2810,6.27,40,5.97
21:00:01-22:00:00,5,5.49,228,8.14,2032,8.49,18,5.49,6,6.32,50,2.21,375,1.8,21.6,6.32,11,5.91,278,5.49,2407,5.37,40,5.97
22:00:01-23:00:00,7,7.69,185,6.6,1424,5.95,25.2,7.69,5,5.26,33,1.46,244,1.17,18,5.26,12,6.45,218,4.31,1668,3.72,43,6.42
23:00:01-24:00:00,4,4.4,35,1.25,306,1.28,14.4,4.4,3,3.16,8,0.35,60,0.29,10.8,3.16,7,3.76,43,0.85,366,0.82,25,3.73
,91,,2802,,23920,,327.6,,95,,2258,,20887,,342,,186,,5060,,44807,,670,
