Route:- 6020,Date:- 10/21/2017,,,,,,,,Day:- Saturday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,4,2.68,7,0.25,100,0.37,20.8,2.68,0,0,0,0,0,0,0,0,4,1.35,7,0.14,100,0.22,21,1.36
06:00:01-07:00:00,5,3.36,186,6.7,1742,6.52,15,1.94,6,4.08,60,2.8,474,2.4,31.2,4.08,11,3.72,246,5,2216,4.76,46,2.99
07:00:01-08:00:00,12,8.05,255,9.19,2480,9.28,62.4,8.05,7,4.76,107,5,918,4.64,36.4,4.76,19,6.42,362,7.36,3398,7.31,99,6.43
08:00:01-09:00:00,11,7.38,273,9.83,2714,10.16,57.2,7.38,11,7.48,112,5.23,1080,5.46,57.2,7.48,22,7.43,385,7.83,3794,8.16,114,7.41
09:00:01-10:00:00,10,6.71,236,8.5,2392,8.95,52,6.71,11,7.48,78,3.64,722,3.65,57.2,7.48,21,7.09,314,6.39,3114,6.7,109,7.08
10:00:01-11:00:00,7,4.7,248,8.93,2480,9.28,36.4,4.7,10,6.8,82,3.83,794,4.01,52,6.8,17,5.74,330,6.71,3274,7.04,88,5.72
11:00:01-12:00:00,8,5.37,165,5.94,1682,6.29,41.6,5.37,7,4.76,102,4.76,901,4.55,36.4,4.76,15,5.07,267,5.43,2583,5.55,78,5.07
12:00:01-13:00:00,10,6.71,171,6.16,1654,6.19,52,6.71,10,6.8,93,4.34,910,4.6,52,6.8,20,6.76,264,5.37,2564,5.51,104,6.76
13:00:01-14:00:00,8,5.37,140,5.04,1322,4.95,41.6,5.37,9,6.12,138,6.45,1339,6.77,27,3.53,17,5.74,278,5.65,2661,5.72,69,4.48
14:00:01-15:00:00,11,7.38,125,4.5,1096,4.1,57.2,7.38,8,5.44,116,5.42,1078,5.45,33.6,4.4,19,6.42,241,4.9,2174,4.67,91,5.91
15:00:01-16:00:00,12,8.05,113,4.07,1056,3.95,36,4.65,11,7.48,212,9.9,2000,10.11,57.2,7.48,23,7.77,325,6.61,3056,6.57,93,6.04
16:00:01-17:00:00,9,6.04,134,4.83,1300,4.86,46.8,6.04,9,6.12,193,9.01,1618,8.18,46.8,6.12,18,6.08,327,6.65,2918,6.27,94,6.11
17:00:01-18:00:00,10,6.71,130,4.68,1196,4.48,52,6.71,13,8.84,200,9.34,1932,9.77,67.6,8.84,23,7.77,330,6.71,3128,6.73,120,7.8
18:00:01-19:00:00,8,5.37,179,6.45,1720,6.44,41.6,5.37,8,5.44,212,9.9,2128,10.76,12.8,1.67,16,5.41,391,7.95,3848,8.27,54,3.51
19:00:01-20:00:00,9,6.04,126,4.54,1178,4.41,46.8,6.04,6,4.08,109,5.09,992,5.01,25.2,3.3,15,5.07,235,4.78,2170,4.67,72,4.68
20:00:01-21:00:00,6,4.03,66,2.38,577,2.16,31.2,4.03,9,6.12,146,6.82,1332,6.73,46.8,6.12,15,5.07,212,4.31,1909,4.1,78,5.07
21:00:01-22:00:00,6,4.03,172,6.2,1563,5.85,31.2,4.03,6,4.08,102,4.76,858,4.34,25.2,3.3,12,4.05,274,5.57,2421,5.21,56,3.64
22:00:01-23:00:00,3,2.01,50,1.8,470,1.76,15.6,2.01,6,4.08,67,3.13,598,3.02,18,2.35,9,3.04,117,2.38,1068,2.3,34,2.21
23:00:01-24:00:00,0,0,0,0,0,0,0,0,0,0,12,0.56,110,0.56,0,0,0,0,12,0.24,110,0.24,0,0
,149,,2776,,26722,,774.8,,147,,2141,,19784,,764.4,,296,,4917,,46506,,1539,
