,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,,
2,06:00:01-07:00:00,1,0
3,07:00:01-08:00:00,5,23
4,08:00:01-09:00:00,9,80
5,09:00:01-10:00:00,11,99
6,10:00:01-11:00:00,12,65
7,11:00:01-12:00:00,8,60
8,12:00:01-13:00:00,9,90
9,13:00:01-14:00:00,7,37
10,14:00:01-15:00:00,7,48
11,15:00:01-16:00:00,7,70
12,16:00:01-17:00:00,8,122
13,17:00:01-18:00:00,5,160
14,18:00:01-19:00:00,9,353
15,19:00:01-20:00:00,2,65
16,20:00:01-21:00:00,,
17,21:00:01-22:00:00,,
18,22:00:01-23:00:00,,
19,23:00:01-24:00:00,,
