,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,0,1
1,05:00:01-06:00:00,2,15
2,06:00:01-07:00:00,6,93
3,07:00:01-08:00:00,5,116
4,08:00:01-09:00:00,6,121
5,09:00:01-10:00:00,5,116
6,10:00:01-11:00:00,4,52
7,11:00:01-12:00:00,3,59
8,12:00:01-13:00:00,4,35
9,13:00:01-14:00:00,3,34
10,14:00:01-15:00:00,1,9
11,15:00:01-16:00:00,3,10
12,16:00:01-17:00:00,3,18
13,17:00:01-18:00:00,3,38
14,18:00:01-19:00:00,3,21
15,19:00:01-20:00:00,5,24
16,20:00:01-21:00:00,3,19
17,21:00:01-22:00:00,4,18
18,22:00:01-23:00:00,2,7
19,23:00:01-24:00:00,3,5
