Route:- 4781,Date:- 10/17/2017,,,,,,,,Day:- Tuesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,2.38,0,0,0,0,26.8,2.38,0,0,1,0.05,8,0.04,0,0,1,1.22,1,0.02,8,0.02,27,1.23
05:00:01-06:00:00,2,4.76,16,0.73,134,0.57,53.6,4.76,0,0,0,0,0,0,0,0,2,2.44,16,0.39,134,0.3,54,2.46
06:00:01-07:00:00,2,4.76,66,3,665,2.81,8.8,0.78,2,5,13,0.7,118,0.58,53.6,5,4,4.88,79,1.94,783,1.78,62,2.82
07:00:01-08:00:00,3,7.14,121,5.49,1053,4.45,53.4,4.74,2,5,94,5.05,1170,5.72,14,1.31,5,6.1,215,5.29,2223,5.04,67,3.05
08:00:01-09:00:00,1,2.38,135,6.13,1307,5.53,26.8,2.38,3,7.5,167,8.96,1972,9.65,29.7,2.77,4,4.88,302,7.43,3279,7.44,56,2.55
09:00:01-10:00:00,2,4.76,147,6.67,1392,5.89,8.4,0.75,1,2.5,182,9.77,2175,10.64,8.2,0.76,3,3.66,329,8.09,3567,8.09,17,0.77
10:00:01-11:00:00,4,9.52,108,4.9,1048,4.43,58,5.15,1,2.5,127,6.82,1281,6.27,26.8,2.5,5,6.1,235,5.78,2329,5.28,85,3.87
11:00:01-12:00:00,2,4.76,156,7.08,1707,7.22,7.6,0.68,5,12.5,76,4.08,784,3.84,45,4.2,7,8.54,232,5.71,2491,5.65,53,2.41
12:00:01-13:00:00,2,4.76,133,6.04,1385,5.86,10.6,0.94,3,7.5,149,8,1472,7.2,31.5,2.94,5,6.1,282,6.94,2857,6.48,42,1.91
13:00:01-14:00:00,2,4.76,99,4.49,1261,5.33,8.4,0.75,1,2.5,88,4.72,976,4.77,4.4,0.41,3,3.66,187,4.6,2237,5.07,13,0.59
14:00:01-15:00:00,2,4.76,80,3.63,989,4.18,14,1.24,4,10,119,6.39,1533,7.5,11.2,1.04,6,7.32,199,4.89,2522,5.72,25,1.14
15:00:01-16:00:00,3,7.14,98,4.45,1037,4.38,80.4,7.14,3,7.5,133,7.14,1415,6.92,16.5,1.54,6,7.32,231,5.68,2452,5.56,97,4.41
16:00:01-17:00:00,3,7.14,117,5.31,1176,4.97,80.4,7.14,2,5,85,4.56,1042,5.1,19.8,1.85,5,6.1,202,4.97,2218,5.03,100,4.55
17:00:01-18:00:00,5,11.9,113,5.13,1248,5.28,14,1.24,2,5,133,7.14,1654,8.09,53.6,5,7,8.54,246,6.05,2902,6.58,68,3.09
18:00:01-19:00:00,0,0,181,8.22,2226,9.41,0,0,0,0,126,6.76,1348,6.59,0,0,0,0,307,7.55,3574,8.11,0,0
19:00:01-20:00:00,1,2.38,139,6.31,1672,7.07,26.8,2.38,1,2.5,56,3.01,518,2.53,7,0.65,2,2.44,195,4.8,2190,4.97,34,1.55
20:00:01-21:00:00,3,7.14,290,13.16,3304,13.97,80.4,7.14,2,5,32,1.72,456,2.23,53.6,5,5,6.1,322,7.92,3760,8.53,134,6.1
21:00:01-22:00:00,2,4.76,145,6.58,1506,6.37,53.6,4.76,4,10,87,4.67,774,3.79,107.2,10,6,7.32,232,5.71,2280,5.17,161,7.32
22:00:01-23:00:00,2,4.76,58,2.63,526,2.22,5.6,0.5,3,7.5,125,6.71,1132,5.54,8.7,0.81,5,6.1,183,4.5,1658,3.76,14,0.64
23:00:01-24:00:00,0,0,1,0.05,14,0.06,0,0,1,2.5,70,3.76,612,2.99,6.5,0.61,1,1.22,71,1.75,626,1.42,6,0.27
,42,,2203,,23650,,1125.6,,40,,1863,,20440,,1072,,82,,4066,,44090,,2198,
