Route:- 0071,Date:- 10/10/2017,,,,,,,,Day:- Tuesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,5,11,0.74,98,0.55,4.1,0.67,1,5.88,2,0.1,0,0,30.4,5.88,2,5.41,13,0.38,98,0.24,34,3.02
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,1,5,1,0.07,0,0,30.4,5,1,5.88,8,0.42,102,0.43,30.4,5.88,2,5.41,9,0.26,102,0.24,61,5.42
07:00:01-08:00:00,0,0,0,0,0,0,0,0,5,29.41,184,9.56,2425,10.22,152,29.41,5,13.51,184,5.4,2425,5.82,152,13.51
08:00:01-09:00:00,1,5,32,2.16,340,1.9,30.4,5,0,0,206,10.7,2897,12.21,0,0,1,2.7,238,6.98,3237,7.77,30,2.67
09:00:01-10:00:00,3,15,85,5.73,969,5.4,91.2,15,2,11.76,201,10.44,2394,10.09,5,0.97,5,13.51,286,8.39,3363,8.07,96,8.53
10:00:01-11:00:00,2,10,220,14.82,2549,14.22,60.8,10,1,5.88,239,12.42,2984,12.58,30.4,5.88,3,8.11,459,13.46,5533,13.28,91,8.09
11:00:01-12:00:00,0,0,122,8.22,1136,6.34,0,0,0,0,193,10.03,2494,10.51,0,0,0,0,315,9.24,3630,8.71,0,0
12:00:01-13:00:00,2,10,86,5.8,1062,5.92,11,1.81,0,0,56,2.91,582,2.45,0,0,2,5.41,142,4.17,1644,3.95,11,0.98
13:00:01-14:00:00,1,5,157,10.58,2063,11.51,9.3,1.53,3,17.65,48,2.49,472,1.99,91.2,17.65,4,10.81,205,6.01,2535,6.09,100,8.89
14:00:01-15:00:00,1,5,193,13.01,2438,13.6,2.4,0.39,0,0,173,8.99,2337,9.85,0,0,1,2.7,366,10.74,4775,11.46,2,0.18
15:00:01-16:00:00,1,5,119,8.02,1158,6.46,5,0.82,0,0,104,5.4,1060,4.47,0,0,1,2.7,223,6.54,2218,5.32,5,0.44
16:00:01-17:00:00,1,5,135,9.1,1929,10.76,30.4,5,1,5.88,30,1.56,430,1.81,6.6,1.28,2,5.41,165,4.84,2359,5.66,37,3.29
17:00:01-18:00:00,0,0,10,0.67,104,0.58,0,0,1,5.88,62,3.22,724,3.05,30.4,5.88,1,2.7,72,2.11,828,1.99,30,2.67
18:00:01-19:00:00,0,0,0,0,0,0,0,0,2,11.76,115,5.97,1463,6.17,60.8,11.76,2,5.41,115,3.37,1463,3.51,61,5.42
19:00:01-20:00:00,1,5,14,0.94,160,0.89,30.4,5,0,0,188,9.77,2157,9.09,0,0,1,2.7,202,5.93,2317,5.56,30,2.67
20:00:01-21:00:00,0,0,29,1.95,346,1.93,0,0,0,0,100,5.19,1024,4.32,0,0,0,0,129,3.78,1370,3.29,0,0
21:00:01-22:00:00,3,15,145,9.77,2099,11.71,91.2,15,0,0,16,0.83,184,0.78,0,0,3,8.11,161,4.72,2283,5.48,91,8.09
22:00:01-23:00:00,0,0,104,7.01,1314,7.33,0,0,0,0,0,0,0,0,0,0,0,0,104,3.05,1314,3.15,0,0
23:00:01-24:00:00,2,10,21,1.42,164,0.91,5.4,0.89,0,0,0,0,0,0,0,0,2,5.41,21,0.62,164,0.39,5,0.44
,20,,1484,,17929,,608,,17,,1925,,23729,,516.8,,37,,3409,,41658,,1125,
