Route:- 6064,Date:- 10/18/2017,,,,,,,,Day:- Wednesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,7,3.85,128,1.18,1048,1.16,30.8,3.85,0,0,0,0,0,0,0,0,7,3.85,128,1.18,1048,1.16,31,3.87
05:00:01-06:00:00,8,4.4,75,0.69,530,0.59,35.2,4.4,0,0,0,0,0,0,0,0,8,4.4,75,0.69,530,0.59,35,4.37
06:00:01-07:00:00,13,7.14,171,1.57,1159,1.28,57.2,7.14,0,0,0,0,0,0,0,0,13,7.14,171,1.57,1159,1.28,57,7.12
07:00:01-08:00:00,14,7.69,522,4.79,4667,5.17,43.4,5.42,0,0,0,0,0,0,0,0,14,7.69,522,4.79,4667,5.17,43,5.37
08:00:01-09:00:00,13,7.14,1012,9.29,9124,10.1,57.2,7.14,0,0,0,0,0,0,0,0,13,7.14,1012,9.29,9124,10.1,57,7.12
09:00:01-10:00:00,11,6.04,1075,9.87,9608,10.63,48.4,6.04,0,0,0,0,0,0,0,0,11,6.04,1075,9.87,9608,10.63,48,5.99
10:00:01-11:00:00,10,5.49,755,6.93,6403,7.09,20,2.5,0,0,0,0,0,0,0,0,10,5.49,755,6.93,6403,7.09,20,2.5
11:00:01-12:00:00,7,3.85,541,4.97,4658,5.16,30.8,3.85,0,0,0,0,0,0,0,0,7,3.85,541,4.97,4658,5.16,31,3.87
12:00:01-13:00:00,7,3.85,379,3.48,3038,3.36,14,1.75,0,0,0,0,0,0,0,0,7,3.85,379,3.48,3038,3.36,14,1.75
13:00:01-14:00:00,6,3.3,439,4.03,3681,4.07,26.4,3.3,0,0,0,0,0,0,0,0,6,3.3,439,4.03,3681,4.07,26,3.25
14:00:01-15:00:00,6,3.3,393,3.61,3212,3.55,18.6,2.32,0,0,0,0,0,0,0,0,6,3.3,393,3.61,3212,3.55,19,2.37
15:00:01-16:00:00,8,4.4,447,4.1,3660,4.05,35.2,4.4,0,0,0,0,0,0,0,0,8,4.4,447,4.1,3660,4.05,35,4.37
16:00:01-17:00:00,11,6.04,527,4.84,4314,4.77,26.4,3.3,0,0,0,0,0,0,0,0,11,6.04,527,4.84,4314,4.77,26,3.25
17:00:01-18:00:00,9,4.95,637,5.85,5093,5.64,18,2.25,0,0,0,0,0,0,0,0,9,4.95,637,5.85,5093,5.64,18,2.25
18:00:01-19:00:00,8,4.4,746,6.85,5955,6.59,16,2,0,0,0,0,0,0,0,0,8,4.4,746,6.85,5955,6.59,16,2
19:00:01-20:00:00,8,4.4,801,7.35,6458,7.15,35.2,4.4,0,0,0,0,0,0,0,0,8,4.4,801,7.35,6458,7.15,35,4.37
20:00:01-21:00:00,12,6.59,869,7.98,6917,7.66,28.8,3.6,0,0,0,0,0,0,0,0,12,6.59,869,7.98,6917,7.66,29,3.62
21:00:01-22:00:00,11,6.04,620,5.69,4854,5.37,22,2.75,0,0,0,0,0,0,0,0,11,6.04,620,5.69,4854,5.37,22,2.75
22:00:01-23:00:00,7,3.85,462,4.24,3648,4.04,30.8,3.85,0,0,0,0,0,0,0,0,7,3.85,462,4.24,3648,4.04,31,3.87
23:00:01-24:00:00,6,3.3,294,2.7,2326,2.57,26.4,3.3,0,0,0,0,0,0,0,0,6,3.3,294,2.7,2326,2.57,26,3.25
,182,,10893,,90353,,800.8,,0,,0,,0,,0,,182,,10893,,90353,,801,
