Route:- 6120,Date:- 10/04/2017,,,,,,,,Day:- Wednesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,0,0,0,0,0,0,0,0,1,3.13,0,0,0,0,2.8,3.13,1,1.59,0,0,0,0,3,1.7
06:00:01-07:00:00,2,6.45,2,0.25,8,0.13,5.6,6.45,3,9.38,104,11.13,688,9.28,8.4,9.38,5,7.94,106,6.08,696,5.22,14,7.95
07:00:01-08:00:00,3,9.68,13,1.61,58,0.98,5.4,6.22,2,6.25,58,6.21,538,7.26,5.6,6.25,5,7.94,71,4.08,596,4.47,11,6.25
08:00:01-09:00:00,1,3.23,12,1.49,142,2.39,2.8,3.23,3,9.38,132,14.13,1007,13.58,8.4,9.38,4,6.35,144,8.27,1149,8.61,11,6.25
09:00:01-10:00:00,5,16.13,97,12,533,8.99,14,16.13,3,9.38,182,19.49,1545,20.84,8.4,9.38,8,12.7,279,16.02,2078,15.57,22,12.5
10:00:01-11:00:00,3,9.68,63,7.8,484,8.16,8.4,9.68,4,12.5,130,13.92,1072,14.46,11.2,12.5,7,11.11,193,11.08,1556,11.66,20,11.36
11:00:01-12:00:00,2,6.45,40,4.95,286,4.82,5.6,6.45,2,6.25,115,12.31,905,12.21,5.6,6.25,4,6.35,155,8.9,1191,8.93,11,6.25
12:00:01-13:00:00,1,3.23,27,3.34,236,3.98,2.8,3.23,2,6.25,51,5.46,379,5.11,5.6,6.25,3,4.76,78,4.48,615,4.61,8,4.55
13:00:01-14:00:00,3,9.68,74,9.16,519,8.75,8.4,9.68,1,3.13,24,2.57,206,2.78,1.3,1.45,4,6.35,98,5.63,725,5.43,10,5.68
14:00:01-15:00:00,2,6.45,57,7.05,457,7.71,5.6,6.45,3,9.38,44,4.71,372,5.02,8.4,9.38,5,7.94,101,5.8,829,6.21,14,7.95
15:00:01-16:00:00,2,6.45,66,8.17,546,9.21,5.6,6.45,1,3.13,13,1.39,84,1.13,2.8,3.13,3,4.76,79,4.54,630,4.72,8,4.55
16:00:01-17:00:00,1,3.23,97,12,732,12.34,2.8,3.23,3,9.38,39,4.18,296,3.99,8.4,9.38,4,6.35,136,7.81,1028,7.7,11,6.25
17:00:01-18:00:00,1,3.23,16,1.98,104,1.75,2.8,3.23,1,3.13,10,1.07,68,0.92,2.8,3.13,2,3.17,26,1.49,172,1.29,6,3.41
18:00:01-19:00:00,1,3.23,51,6.31,373,6.29,2.8,3.23,1,3.13,13,1.39,92,1.24,2.8,3.13,2,3.17,64,3.67,465,3.48,6,3.41
19:00:01-20:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
20:00:01-21:00:00,1,3.23,38,4.7,302,5.09,2.8,3.23,0,0,0,0,0,0,0,0,1,1.59,38,2.18,302,2.26,3,1.7
21:00:01-22:00:00,1,3.23,44,5.45,330,5.56,2.8,3.23,1,3.13,14,1.5,116,1.56,2.8,3.13,2,3.17,58,3.33,446,3.34,6,3.41
22:00:01-23:00:00,1,3.23,91,11.26,684,11.53,1.8,2.07,1,3.13,4,0.43,38,0.51,2.8,3.13,2,3.17,95,5.45,722,5.41,5,2.84
23:00:01-24:00:00,1,3.23,20,2.48,136,2.29,2.8,3.23,0,0,1,0.11,8,0.11,0,0,1,1.59,21,1.21,144,1.08,3,1.7
,31,,808,,5930,,86.8,,32,,934,,7414,,89.6,,63,,1742,,13344,,176,
