Route:- 6040,Date:- 10/04/2017,,,,,,,,Day:- Wednesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,1,1.67,0,0,0,0,3.5,1.67,0,0,0,0,0,0,0,0,1,0.85,0,0,0,0,4,0.98
06:00:01-07:00:00,5,8.33,49,4.04,149,1.67,12.5,5.95,4,7.02,20,1.23,102,0.82,14,7.02,9,7.69,69,2.43,251,1.17,26,6.34
07:00:01-08:00:00,4,6.67,100,8.24,752,8.44,14,6.67,4,7.02,60,3.7,540,4.33,8.8,4.41,8,6.84,160,5.64,1292,6.04,23,5.61
08:00:01-09:00:00,2,3.33,78,6.43,719,8.07,3.4,1.62,4,7.02,81,4.99,570,4.57,14,7.02,6,5.13,159,5.6,1289,6.03,17,4.15
09:00:01-10:00:00,3,5,55,4.53,458,5.14,10.5,5,1,1.75,68,4.19,624,5.01,3.5,1.75,4,3.42,123,4.34,1082,5.06,14,3.41
10:00:01-11:00:00,2,3.33,34,2.8,219,2.46,7,3.33,3,5.26,60,3.7,432,3.47,10.5,5.26,5,4.27,94,3.31,651,3.05,18,4.39
11:00:01-12:00:00,2,3.33,44,3.62,425,4.77,3.6,1.71,2,3.51,56,3.45,443,3.55,7,3.51,4,3.42,100,3.52,868,4.06,11,2.68
12:00:01-13:00:00,3,5,94,7.74,594,6.67,10.5,5,3,5.26,111,6.84,841,6.75,10.5,5.26,6,5.13,205,7.23,1435,6.71,21,5.12
13:00:01-14:00:00,3,5,45,3.71,374,4.2,10.5,5,4,7.02,93,5.73,751,6.02,10,5.01,7,5.98,138,4.86,1125,5.26,20,4.88
14:00:01-15:00:00,4,6.67,34,2.8,230,2.58,14,6.67,2,3.51,44,2.71,324,2.6,3.4,1.7,6,5.13,78,2.75,554,2.59,17,4.15
15:00:01-16:00:00,3,5,28,2.31,193,2.17,10.5,5,4,7.02,54,3.33,372,2.98,14,7.02,7,5.98,82,2.89,565,2.64,24,5.85
16:00:01-17:00:00,6,10,48,3.95,301,3.38,21,10,3,5.26,95,5.85,746,5.98,5.1,2.56,9,7.69,143,5.04,1047,4.9,26,6.34
17:00:01-18:00:00,2,3.33,54,4.45,402,4.51,7,3.33,4,7.02,125,7.7,866,6.95,10,5.01,6,5.13,179,6.31,1268,5.93,17,4.15
18:00:01-19:00:00,9,15,166,13.67,1166,13.08,31.5,15,6,10.53,228,14.05,1738,13.94,21,10.53,15,12.82,394,13.89,2904,13.59,52,12.68
19:00:01-20:00:00,2,3.33,120,9.88,995,11.17,7,3.33,3,5.26,138,8.5,1090,8.74,10.5,5.26,5,4.27,258,9.09,2085,9.75,18,4.39
20:00:01-21:00:00,3,5,120,9.88,866,9.72,7.5,3.57,2,3.51,175,10.78,1356,10.88,7,3.51,5,4.27,295,10.4,2222,10.39,14,3.41
21:00:01-22:00:00,4,6.67,116,9.56,892,10.01,14,6.67,2,3.51,89,5.48,708,5.68,7,3.51,6,5.13,205,7.23,1600,7.49,21,5.12
22:00:01-23:00:00,2,3.33,29,2.39,176,1.98,3.4,1.62,4,7.02,73,4.5,544,4.36,14,7.02,6,5.13,102,3.6,720,3.37,17,4.15
23:00:01-24:00:00,0,0,0,0,0,0,0,0,2,3.51,53,3.27,418,3.35,7,3.51,2,1.71,53,1.87,418,1.96,7,1.71
,60,,1214,,8911,,210,,57,,1623,,12465,,199.5,,117,,2837,,21376,,410,
