,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,,
2,06:00:01-07:00:00,0,0
3,07:00:01-08:00:00,3,96
4,08:00:01-09:00:00,3,354
5,09:00:01-10:00:00,1,187
6,10:00:01-11:00:00,1,86
7,11:00:01-12:00:00,2,100
8,12:00:01-13:00:00,3,200
9,13:00:01-14:00:00,0,124
10,14:00:01-15:00:00,4,93
11,15:00:01-16:00:00,3,232
12,16:00:01-17:00:00,4,66
13,17:00:01-18:00:00,1,140
14,18:00:01-19:00:00,1,22
15,19:00:01-20:00:00,1,70
16,20:00:01-21:00:00,2,152
17,21:00:01-22:00:00,2,175
18,22:00:01-23:00:00,2,21
19,23:00:01-24:00:00,1,50
