Route:- 6050,Date:- 10/06/2017,,,,,,,,Day:- Friday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,11,7.01,139,2.7,1118,2.55,28.6,7.01,6,4,122,2.73,1004,2.68,15.6,4,17,5.54,261,2.71,2122,2.61,44,5.51
05:00:01-06:00:00,8,5.1,39,0.76,290,0.66,20.8,5.1,10,6.67,185,4.15,1435,3.82,26,6.67,18,5.86,224,2.33,1725,2.12,47,5.89
06:00:01-07:00:00,11,7.01,76,1.47,452,1.03,28.6,7.01,10,6.67,351,7.87,2154,5.74,26,6.67,21,6.84,427,4.44,2606,3.2,55,6.89
07:00:01-08:00:00,10,6.37,103,2,530,1.21,26,6.37,10,6.67,382,8.56,3006,8.01,26,6.67,20,6.51,485,5.04,3536,4.34,52,6.52
08:00:01-09:00:00,6,3.82,177,3.43,1142,2.6,12,2.94,9,6,476,10.67,4501,12,23.4,6,15,4.89,653,6.79,5643,6.93,35,4.39
09:00:01-10:00:00,10,6.37,241,4.67,1668,3.8,26,6.37,8,5.33,515,11.54,4926,13.13,20.8,5.33,18,5.86,756,7.86,6594,8.1,47,5.89
10:00:01-11:00:00,8,5.1,280,5.43,2209,5.03,20.8,5.1,11,7.33,378,8.47,3329,8.87,28.6,7.33,19,6.19,658,6.84,5538,6.8,49,6.14
11:00:01-12:00:00,8,5.1,242,4.69,2054,4.68,20.8,5.1,6,4,321,7.2,3020,8.05,12,3.08,14,4.56,563,5.85,5074,6.23,33,4.14
12:00:01-13:00:00,5,3.18,198,3.84,1539,3.51,10,2.45,5,3.33,206,4.62,1765,4.7,13,3.33,10,3.26,404,4.2,3304,4.06,23,2.88
13:00:01-14:00:00,5,3.18,258,5,2124,4.84,13,3.18,5,3.33,227,5.09,1725,4.6,10,2.56,10,3.26,485,5.04,3849,4.73,23,2.88
14:00:01-15:00:00,6,3.82,207,4.01,1607,3.66,15.6,3.82,6,4,179,4.01,1515,4.04,15.6,4,12,3.91,386,4.01,3122,3.83,31,3.88
15:00:01-16:00:00,8,5.1,257,4.98,2131,4.85,20.8,5.1,7,4.67,131,2.94,981,2.61,14,3.59,15,4.89,388,4.03,3112,3.82,35,4.39
16:00:01-17:00:00,10,6.37,334,6.48,2828,6.44,26,6.37,8,5.33,192,4.3,1572,4.19,20.8,5.33,18,5.86,526,5.47,4400,5.4,47,5.89
17:00:01-18:00:00,5,3.18,343,6.65,3139,7.15,13,3.18,7,4.67,155,3.47,1303,3.47,18.2,4.67,12,3.91,498,5.18,4442,5.46,31,3.88
18:00:01-19:00:00,8,5.1,498,9.66,4653,10.6,20.8,5.1,4,2.67,115,2.58,975,2.6,10.4,2.67,12,3.91,613,6.37,5628,6.91,31,3.88
19:00:01-20:00:00,9,5.73,455,8.82,4227,9.63,23.4,5.73,9,6,195,4.37,1469,3.92,23.4,6,18,5.86,650,6.76,5696,7,47,5.89
20:00:01-21:00:00,7,4.46,343,6.65,3165,7.21,18.2,4.46,7,4.67,110,2.47,917,2.44,18.2,4.67,14,4.56,453,4.71,4082,5.01,36,4.51
21:00:01-22:00:00,9,5.73,380,7.37,3515,8.01,23.4,5.73,10,6.67,139,3.12,1188,3.17,26,6.67,19,6.19,519,5.4,4703,5.78,49,6.14
22:00:01-23:00:00,7,4.46,347,6.73,3244,7.39,18.2,4.46,8,5.33,65,1.46,603,1.61,20.8,5.33,15,4.89,412,4.28,3847,4.72,39,4.89
23:00:01-24:00:00,6,3.82,240,4.65,2270,5.17,15.6,3.82,4,2.67,17,0.38,130,0.35,10.4,2.67,10,3.26,257,2.67,2400,2.95,26,3.26
,157,,5157,,43905,,408.2,,150,,4461,,37518,,390,,307,,9618,,81423,,798,
