Route:- 4100,Date:- 10/06/2017,,,,,,,,Day:- Friday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,3,9.38,21,0.94,288,1.2,43.5,9.38,0,0,0,0,0,0,0,0,3,4.23,21,0.45,288,0.59,44,4.27
06:00:01-07:00:00,2,6.25,141,6.32,1152,4.81,10,2.16,3,7.69,51,2.13,514,2.07,43.5,7.69,5,7.04,192,4.15,1666,3.41,54,5.24
07:00:01-08:00:00,2,6.25,145,6.5,1514,6.32,29,6.25,2,5.13,161,6.72,1571,6.32,7.2,1.27,4,5.63,306,6.61,3085,6.32,36,3.5
08:00:01-09:00:00,2,6.25,332,14.89,4244,17.73,19.2,4.14,2,5.13,189,7.89,2110,8.49,29,5.13,4,5.63,521,11.26,6354,13.02,48,4.66
09:00:01-10:00:00,2,6.25,320,14.35,3251,13.58,29,6.25,4,10.26,254,10.6,2921,11.75,20,3.54,6,8.45,574,12.41,6172,12.65,49,4.76
10:00:01-11:00:00,0,0,131,5.87,1237,5.17,0,0,1,2.56,166,6.93,2069,8.32,1.1,0.19,1,1.41,297,6.42,3306,6.77,1,0.1
11:00:01-12:00:00,2,6.25,80,3.59,1076,4.49,29,6.25,1,2.56,51,2.13,462,1.86,5.4,0.95,3,4.23,131,2.83,1538,3.15,34,3.3
12:00:01-13:00:00,2,6.25,117,5.25,1269,5.3,8,1.72,3,7.69,92,3.84,962,3.87,43.5,7.69,5,7.04,209,4.52,2231,4.57,52,5.05
13:00:01-14:00:00,1,3.13,113,5.07,1457,6.09,3.8,0.82,1,2.56,111,4.63,1046,4.21,2.8,0.5,2,2.82,224,4.84,2503,5.13,7,0.68
14:00:01-15:00:00,4,12.5,95,4.26,1119,4.67,58,12.5,4,10.26,121,5.05,1174,4.72,7.6,1.34,8,11.27,216,4.67,2293,4.7,66,6.41
15:00:01-16:00:00,3,9.38,66,2.96,587,2.45,43.5,9.38,3,7.69,92,3.84,1154,4.64,16.2,2.86,6,8.45,158,3.42,1741,3.57,60,5.83
16:00:01-17:00:00,0,0,79,3.54,788,3.29,0,0,1,2.56,104,4.34,1136,4.57,14.5,2.56,1,1.41,183,3.96,1924,3.94,14,1.36
17:00:01-18:00:00,1,3.13,57,2.56,664,2.77,14.5,3.13,1,2.56,142,5.93,1394,5.61,5.5,0.97,2,2.82,199,4.3,2058,4.22,20,1.94
18:00:01-19:00:00,3,9.38,146,6.55,1470,6.14,43.5,9.38,1,2.56,111,4.63,1064,4.28,2.6,0.46,4,5.63,257,5.56,2534,5.19,46,4.47
19:00:01-20:00:00,1,3.13,111,4.98,1264,5.28,2.8,0.6,5,12.82,249,10.39,2491,10.02,72.5,12.82,6,8.45,360,7.78,3755,7.69,75,7.28
20:00:01-21:00:00,2,6.25,114,5.11,1074,4.49,29,6.25,3,7.69,178,7.43,1766,7.1,13.8,2.44,5,7.04,292,6.31,2840,5.82,43,4.17
21:00:01-22:00:00,2,6.25,146,6.55,1354,5.66,3.2,0.69,4,10.26,224,9.35,2155,8.67,14.8,2.62,6,8.45,370,8,3509,7.19,18,1.75
22:00:01-23:00:00,0,0,16,0.72,130,0.54,0,0,0,0,100,4.17,873,3.51,0,0,0,0,116,2.51,1003,2.06,0,0
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,32,,2230,,23938,,464,,39,,2396,,24862,,565.5,,71,,4626,,48800,,1030,
