Route:- 6034,Date:- 10/06/2017,,,,,,,,Day:- Friday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,3.7,32,1.9,342,2.16,20.2,3.7,0,0,0,0,0,0,0,0,1,3.7,32,1.9,342,2.16,20,3.67
05:00:01-06:00:00,1,3.7,6,0.36,20,0.13,20.2,3.7,0,0,0,0,0,0,0,0,1,3.7,6,0.36,20,0.13,20,3.67
06:00:01-07:00:00,4,14.81,112,6.65,784,4.95,80.8,14.81,0,0,0,0,0,0,0,0,4,14.81,112,6.65,784,4.95,81,14.86
07:00:01-08:00:00,2,7.41,149,8.85,1266,7.99,5.6,1.03,0,0,0,0,0,0,0,0,2,7.41,149,8.85,1266,7.99,6,1.1
08:00:01-09:00:00,1,3.7,204,12.11,1979,12.49,11.2,2.05,0,0,0,0,0,0,0,0,1,3.7,204,12.11,1979,12.49,11,2.02
09:00:01-10:00:00,2,7.41,168,9.98,1780,11.23,9.2,1.69,0,0,0,0,0,0,0,0,2,7.41,168,9.98,1780,11.23,9,1.65
10:00:01-11:00:00,2,7.41,99,5.88,1046,6.6,8.8,1.61,0,0,0,0,0,0,0,0,2,7.41,99,5.88,1046,6.6,9,1.65
11:00:01-12:00:00,2,7.41,101,6,909,5.73,6.6,1.21,0,0,0,0,0,0,0,0,2,7.41,101,6,909,5.73,7,1.28
12:00:01-13:00:00,2,7.41,107,6.35,1190,7.51,12.6,2.31,0,0,0,0,0,0,0,0,2,7.41,107,6.35,1190,7.51,13,2.39
13:00:01-14:00:00,2,7.41,94,5.58,887,5.6,8.8,1.61,0,0,0,0,0,0,0,0,2,7.41,94,5.58,887,5.6,9,1.65
14:00:01-15:00:00,3,11.11,62,3.68,496,3.13,8.1,1.49,0,0,0,0,0,0,0,0,3,11.11,62,3.68,496,3.13,8,1.47
15:00:01-16:00:00,2,7.41,120,7.13,995,6.28,6.6,1.21,0,0,0,0,0,0,0,0,2,7.41,120,7.13,995,6.28,7,1.28
16:00:01-17:00:00,0,0,127,7.54,1016,6.41,0,0,0,0,0,0,0,0,0,0,0,0,127,7.54,1016,6.41,0,0
17:00:01-18:00:00,2,7.41,96,5.7,928,5.85,5.8,1.06,0,0,0,0,0,0,0,0,2,7.41,96,5.7,928,5.85,6,1.1
18:00:01-19:00:00,0,0,88,5.23,969,6.11,0,0,0,0,0,0,0,0,0,0,0,0,88,5.23,969,6.11,0,0
19:00:01-20:00:00,0,0,66,3.92,656,4.14,0,0,0,0,0,0,0,0,0,0,0,0,66,3.92,656,4.14,0,0
20:00:01-21:00:00,1,3.7,33,1.96,360,2.27,4.4,0.81,0,0,0,0,0,0,0,0,1,3.7,33,1.96,360,2.27,4,0.73
21:00:01-22:00:00,0,0,20,1.19,228,1.44,0,0,0,0,0,0,0,0,0,0,0,0,20,1.19,228,1.44,0,0
22:00:01-23:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,27,,1684,,15851,,545.4,,0,,0,,0,,0,,27,,1684,,15851,,545,
