,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,1,7
2,06:00:01-07:00:00,3,85
3,07:00:01-08:00:00,6,72
4,08:00:01-09:00:00,3,85
5,09:00:01-10:00:00,2,58
6,10:00:01-11:00:00,1,31
7,11:00:01-12:00:00,1,18
8,12:00:01-13:00:00,2,72
9,13:00:01-14:00:00,1,17
10,14:00:01-15:00:00,1,16
11,15:00:01-16:00:00,1,6
12,16:00:01-17:00:00,3,17
13,17:00:01-18:00:00,2,38
14,18:00:01-19:00:00,1,40
15,19:00:01-20:00:00,0,0
16,20:00:01-21:00:00,3,11
17,21:00:01-22:00:00,1,21
18,22:00:01-23:00:00,2,10
19,23:00:01-24:00:00,0,3
