,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,5,0,2
Up,2,5,30.0,1
Up,3,5.0,50.0,3.0
Up,4,5.0,55.0,4.0
Up,5,6.0,15.0,5.0
Up,6,6.0,30.0,6.0
Up,7,6.0,45.0,7.0
Up,8,7.0,0.0,3.0
Up,9,7.0,5.0,2.0
Up,10,7.0,10.0,6.0
Up,11,7.0,13.0,1.0
Up,12,7.0,30.0,4.0
Up,13,7.0,45.0,5.0
Up,14,7.0,57.0,8.0
Up,15,8.0,0.0,7.0
Up,16,8.0,30.0,3.0
Up,17,8.0,45.0,2.0
Up,18,8.0,53.0,6.0
Up,19,8.0,58.0,9.0
Up,20,8.0,59.0,10.0
Up,21,9.0,0.0,5.0
Up,22,9.0,10.0,3.0
Up,23,9.0,19.0,1.0
Up,24,9.0,30.0,8.0
Up,25,9.0,45.0,7.0
Up,26,10.0,0.0,4.0
Up,27,10.0,30.0,11.0
Up,28,10.0,45.0,2.0
Up,29,10.0,53.0,6.0
Up,30,11.0,0.0,9.0
Up,31,11.0,30.0,10.0
Up,32,11.0,45.0,5.0
Up,33,11.0,53.0,7.0
Up,34,11.0,57.0,4.0
Up,35,12.0,0.0,3.0
Up,36,12.0,30.0,1.0
Up,37,12.0,45.0,8.0
Up,38,13.0,0.0,2.0
Up,39,14.0,0.0,6.0
Up,40,14.0,30.0,9.0
Up,41,14.0,45.0,11.0
Up,42,14.0,53.0,5.0
Up,43,15.0,0.0,7.0
Up,44,15.0,30.0,10.0
Up,45,16.0,0.0,4.0
Up,46,17.0,0.0,3.0
Up,47,18.0,0.0,1.0
Up,48,18.0,30.0,8.0
Up,49,18.0,45.0,2.0
Up,50,18.0,53.0,6.0
Up,51,19.0,0.0,9.0
Up,52,19.0,30.0,11.0
Up,53,19.0,45.0,5.0
Up,54,20.0,0.0,7.0
Up,55,20.0,30.0,10.0
Up,56,20.0,45.0,4.0
Up,57,20.0,53.0,1.0
Up,58,21.0,0.0,8.0
Up,59,21.0,30.0,3.0
Up,60,,Total Buses required:,9.0
Down,0,4,0,2
Down,1,4,20,1
Down,2,6.0,10.0,3.0
Down,3,6.0,15.0,4.0
Down,4,6.0,35.0,5.0
Down,5,6,45.0,2
Down,6,6.0,50.0,6.0
Down,7,6,53.0,1.0
Down,8,7.0,5.0,7.0
Down,9,7.0,20.0,3.0
Down,10,7.0,25.0,2.0
Down,11,7.0,30.0,6.0
Down,12,8.0,5.0,5.0
Down,13,8.0,17.0,8.0
Down,14,8.0,20.0,7.0
Down,15,8.0,50.0,3.0
Down,16,8,59.0,1.0
Down,17,8,60.0,4.0
Down,18,8.0,60.0,11.0
Down,19,9.0,5.0,2.0
Down,20,9.0,13.0,6.0
Down,21,9.0,18.0,9.0
Down,22,9.0,19.0,10.0
Down,23,9.0,20.0,5.0
Down,24,10.0,5.0,7.0
Down,25,10.0,20.0,4.0
Down,26,10,57.0,3.0
Down,27,10,59.0,1.0
Down,28,10,60.0,8.0
Down,29,11.0,5.0,2.0
Down,30,11.0,13.0,6.0
Down,31,11.0,20.0,9.0
Down,32,11,59.0,11.0
Down,33,12.0,5.0,5.0
Down,34,12.0,13.0,7.0
Down,35,12,53.0,10.0
Down,36,13,30.0,4.0
Down,37,13,45.0,3.0
Down,38,13,53.0,1.0
Down,39,14,57.0,8.0
Down,40,14,59.0,2.0
Down,41,15,45.0,6.0
Down,42,15,53.0,9.0
Down,43,16,30.0,11.0
Down,44,16,45.0,5.0
Down,45,17,30.0,7.0
Down,46,17,45.0,10.0
Down,47,17,53.0,4.0
Down,48,18.0,20.0,1.0
Down,49,18.0,50.0,8.0
Down,50,18,57.0,3.0
Down,51,18.0,60.0,12.0
Down,52,19.0,5.0,2.0
Down,53,19.0,13.0,6.0
Down,54,19.0,20.0,9.0
Down,55,20.0,5.0,5.0
Down,56,20.0,20.0,7.0
Down,57,20.0,50.0,10.0
Down,58,20,57.0,11.0
Down,59,20.0,60.0,13.0
Down,60,21.0,5.0,4.0
Down,61,21.0,13.0,1.0
Down,62,21.0,20.0,8.0
Down,63,21.0,50.0,3.0
Down,64,21.0,53.0,14.0
Down,65,23.0,30.0,15.0
Down,66,,Total Buses required:,6.0
Summary,0,,Total Buses required on route:,15.0
