,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,2,12
2,06:00:01-07:00:00,8,292
3,07:00:01-08:00:00,8,377
4,08:00:01-09:00:00,13,710
5,09:00:01-10:00:00,8,431
6,10:00:01-11:00:00,8,427
7,11:00:01-12:00:00,7,322
8,12:00:01-13:00:00,6,273
9,13:00:01-14:00:00,7,364
10,14:00:01-15:00:00,6,188
11,15:00:01-16:00:00,9,166
12,16:00:01-17:00:00,8,111
13,17:00:01-18:00:00,9,150
14,18:00:01-19:00:00,10,225
15,19:00:01-20:00:00,4,240
16,20:00:01-21:00:00,7,227
17,21:00:01-22:00:00,5,145
18,22:00:01-23:00:00,1,59
19,23:00:01-24:00:00,0,0
