,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,2,4
2,06:00:01-07:00:00,8,260
3,07:00:01-08:00:00,12,443
4,08:00:01-09:00:00,11,533
5,09:00:01-10:00:00,11,593
6,10:00:01-11:00:00,9,485
7,11:00:01-12:00:00,10,375
8,12:00:01-13:00:00,8,305
9,13:00:01-14:00:00,9,322
10,14:00:01-15:00:00,10,278
11,15:00:01-16:00:00,7,150
12,16:00:01-17:00:00,12,187
13,17:00:01-18:00:00,12,213
14,18:00:01-19:00:00,9,276
15,19:00:01-20:00:00,9,229
16,20:00:01-21:00:00,10,238
17,21:00:01-22:00:00,5,168
18,22:00:01-23:00:00,1,22
19,23:00:01-24:00:00,,
