Route:- 3860,Date:- 10/08/2017,,,,,,,,Day:- Sunday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,3,7.32,5,0.71,30,0.45,21,7.32,4,9.09,16,2.95,132,2.53,28,9.09,7,8.24,21,1.68,162,1.37,49,8.24
07:00:01-08:00:00,4,9.76,25,3.54,274,4.14,17.6,6.13,4,9.09,29,5.35,190,3.63,28,9.09,8,9.41,54,4.33,464,3.92,46,7.73
08:00:01-09:00:00,4,9.76,45,6.37,470,7.11,24,8.36,4,9.09,42,7.75,483,9.24,28,9.09,8,9.41,87,6.97,953,8.05,52,8.74
09:00:01-10:00:00,4,9.76,45,6.37,406,6.14,28,9.76,3,6.82,53,9.78,481,9.2,21,6.82,7,8.24,98,7.85,887,7.49,49,8.24
10:00:01-11:00:00,2,4.88,50,7.08,427,6.46,14,4.88,4,9.09,38,7.01,357,6.83,28,9.09,6,7.06,88,7.05,784,6.62,42,7.06
11:00:01-12:00:00,4,9.76,41,5.81,405,6.13,28,9.76,3,6.82,31,5.72,355,6.79,21,6.82,7,8.24,72,5.77,760,6.42,49,8.24
12:00:01-13:00:00,2,4.88,41,5.81,373,5.64,11.8,4.11,3,6.82,30,5.54,291,5.57,21,6.82,5,5.88,71,5.69,664,5.61,33,5.55
13:00:01-14:00:00,1,2.44,24,3.4,249,3.77,5.6,1.95,2,4.55,22,4.06,242,4.63,14,4.55,3,3.53,46,3.69,491,4.15,20,3.36
14:00:01-15:00:00,2,4.88,62,8.78,555,8.39,14,4.88,2,4.55,27,4.98,286,5.47,14,4.55,4,4.71,89,7.13,841,7.1,28,4.71
15:00:01-16:00:00,3,7.32,32,4.53,314,4.75,21,7.32,3,6.82,37,6.83,346,6.62,21,6.82,6,7.06,69,5.53,660,5.57,42,7.06
16:00:01-17:00:00,3,7.32,40,5.67,382,5.78,21,7.32,2,4.55,24,4.43,246,4.71,4.8,1.56,5,5.88,64,5.13,628,5.3,26,4.37
17:00:01-18:00:00,0,0,18,2.55,156,2.36,0,0,2,4.55,39,7.2,418,8,13.4,4.35,2,2.35,57,4.57,574,4.85,13,2.18
18:00:01-19:00:00,2,4.88,88,12.46,862,13.04,14,4.88,1,2.27,52,9.59,444,8.49,4,1.3,3,3.53,140,11.22,1306,11.03,18,3.03
19:00:01-20:00:00,2,4.88,69,9.77,603,9.12,14,4.88,3,6.82,37,6.83,338,6.47,21,6.82,5,5.88,106,8.49,941,7.95,35,5.88
20:00:01-21:00:00,3,7.32,78,11.05,701,10.6,21,7.32,2,4.55,59,10.89,568,10.87,4.8,1.56,5,5.88,137,10.98,1269,10.72,26,4.37
21:00:01-22:00:00,1,2.44,30,4.25,277,4.19,7,2.44,2,4.55,6,1.11,50,0.96,2.2,0.71,3,3.53,36,2.88,327,2.76,9,1.51
22:00:01-23:00:00,1,2.44,13,1.84,128,1.94,7,2.44,0,0,0,0,0,0,0,0,1,1.18,13,1.04,128,1.08,7,1.18
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,41,,706,,6612,,287,,44,,542,,5227,,308,,85,,1248,,11839,,595,
