Route:- 4100,Date:- 10/08/2017,,,,,,,,Day:- Sunday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,1,3.23,3,0.26,46,0.39,14.5,3.23,0,0,0,0,0,0,0,0,1,1.67,3,0.14,46,0.2,14,1.61
06:00:01-07:00:00,3,9.68,39,3.38,308,2.63,16.2,3.6,1,3.45,8,0.75,56,0.5,14.5,3.45,4,6.67,47,2.12,364,1.59,31,3.56
07:00:01-08:00:00,1,3.23,42,3.64,446,3.8,6.2,1.38,2,6.9,35,3.29,344,3.07,11.2,2.66,3,5,77,3.47,790,3.44,17,1.95
08:00:01-09:00:00,2,6.45,49,4.25,514,4.38,29,6.45,0,0,23,2.16,300,2.67,0,0,2,3.33,72,3.25,814,3.55,29,3.33
09:00:01-10:00:00,1,3.23,53,4.6,542,4.62,4.6,1.02,2,6.9,67,6.3,820,7.31,29,6.9,3,5,120,5.42,1362,5.94,34,3.91
10:00:01-11:00:00,3,9.68,46,3.99,602,5.14,43.5,9.68,1,3.45,29,2.73,390,3.48,3.7,0.88,4,6.67,75,3.38,992,4.32,47,5.4
11:00:01-12:00:00,3,9.68,70,6.07,905,7.72,43.5,9.68,3,10.34,51,4.8,656,5.85,3.3,0.78,6,10,121,5.46,1561,6.8,47,5.4
12:00:01-13:00:00,1,3.23,44,3.82,492,4.2,8.8,1.96,2,6.9,68,6.4,828,7.38,29,6.9,3,5,112,5.05,1320,5.75,38,4.37
13:00:01-14:00:00,1,3.23,28,2.43,258,2.2,14.5,3.23,1,3.45,55,5.17,621,5.54,3.8,0.9,2,3.33,83,3.75,879,3.83,18,2.07
14:00:01-15:00:00,2,6.45,65,5.64,813,6.94,14.6,3.25,3,10.34,53,4.99,654,5.83,43.5,10.34,5,8.33,118,5.32,1467,6.39,58,6.67
15:00:01-16:00:00,3,9.68,59,5.12,674,5.75,43.5,9.68,1,3.45,88,8.28,961,8.57,7.2,1.71,4,6.67,147,6.63,1635,7.13,51,5.86
16:00:01-17:00:00,2,6.45,53,4.6,580,4.95,29,6.45,2,6.9,66,6.21,769,6.86,9.2,2.19,4,6.67,119,5.37,1349,5.88,38,4.37
17:00:01-18:00:00,2,6.45,68,5.9,566,4.83,29,6.45,1,3.45,112,10.54,893,7.96,14.5,3.45,3,5,180,8.12,1459,6.36,44,5.06
18:00:01-19:00:00,1,3.23,186,16.13,1806,15.41,2.8,0.62,3,10.34,128,12.04,1238,11.04,43.5,10.34,4,6.67,314,14.17,3044,13.27,46,5.29
19:00:01-20:00:00,3,9.68,134,11.62,1195,10.19,43.5,9.68,1,3.45,123,11.57,1186,10.57,3.7,0.88,4,6.67,257,11.6,2381,10.38,47,5.4
20:00:01-21:00:00,1,3.23,117,10.15,1054,8.99,2.7,0.6,2,6.9,35,3.29,370,3.3,29,6.9,3,5,152,6.86,1424,6.21,32,3.68
21:00:01-22:00:00,1,3.23,69,5.98,672,5.73,3.7,0.82,2,6.9,89,8.37,819,7.3,29,6.9,3,5,158,7.13,1491,6.5,33,3.79
22:00:01-23:00:00,0,0,28,2.43,250,2.13,0,0,2,6.9,33,3.1,312,2.78,5.2,1.24,2,3.33,61,2.75,562,2.45,5,0.57
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,31,,1153,,11723,,449.5,,29,,1063,,11217,,420.5,,60,,2216,,22940,,870,
