Route:- 3400,Date:- 10/08/2017,,,,,,,,Day:- Sunday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
07:00:01-08:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
08:00:01-09:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
09:00:01-10:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
10:00:01-11:00:00,3,9.09,201,9.86,2502,11.42,25.8,9.09,0,0,0,0,0,0,0,0,3,4.55,201,5.45,2502,6.22,26,4.58
11:00:01-12:00:00,5,15.15,201,9.86,2257,10.3,43,15.15,4,12.12,158,9.58,1940,10.61,34.4,12.12,9,13.64,359,9.73,4197,10.44,77,13.56
12:00:01-13:00:00,2,6.06,128,6.28,1437,6.56,13.6,4.79,4,12.12,169,10.24,1933,10.57,34.4,12.12,6,9.09,297,8.05,3370,8.38,48,8.45
13:00:01-14:00:00,5,15.15,140,6.87,1437,6.56,43,15.15,3,9.09,85,5.15,941,5.15,12,4.23,8,12.12,225,6.1,2378,5.92,55,9.68
14:00:01-15:00:00,1,3.03,139,6.82,1679,7.66,8.6,3.03,1,3.03,145,8.79,1602,8.76,6.2,2.18,2,3.03,284,7.7,3281,8.16,15,2.64
15:00:01-16:00:00,4,12.12,152,7.46,1685,7.69,34.4,12.12,4,12.12,81,4.91,877,4.8,34.4,12.12,8,12.12,233,6.32,2562,6.37,69,12.15
16:00:01-17:00:00,2,6.06,61,2.99,626,2.86,3.6,1.27,0,0,134,8.12,1437,7.86,0,0,2,3.03,195,5.29,2063,5.13,4,0.7
17:00:01-18:00:00,2,6.06,240,11.78,2431,11.09,7.2,2.54,3,9.09,154,9.33,1674,9.16,25.8,9.09,5,7.58,394,10.68,4105,10.21,33,5.81
18:00:01-19:00:00,2,6.06,145,7.11,1586,7.24,4.8,1.69,2,6.06,290,17.58,3236,17.7,8,2.82,4,6.06,435,11.8,4822,11.99,13,2.29
19:00:01-20:00:00,1,3.03,178,8.73,1830,8.35,4,1.41,2,6.06,92,5.58,988,5.4,9.2,3.24,3,4.55,270,7.32,2818,7.01,13,2.29
20:00:01-21:00:00,3,9.09,274,13.44,2741,12.51,25.8,9.09,3,9.09,144,8.73,1615,8.83,13.8,4.86,6,9.09,418,11.33,4356,10.84,40,7.04
21:00:01-22:00:00,2,6.06,112,5.5,1068,4.87,7.2,2.54,2,6.06,94,5.7,982,5.37,17.2,6.06,4,6.06,206,5.59,2050,5.1,24,4.23
22:00:01-23:00:00,1,3.03,67,3.29,638,2.91,8.6,3.03,5,15.15,92,5.58,992,5.43,11,3.88,6,9.09,159,4.31,1630,4.05,20,3.52
23:00:01-24:00:00,0,0,0,0,0,0,0,0,0,0,12,0.73,68,0.37,0,0,0,0,12,0.33,68,0.17,0,0
,33,,2038,,21917,,283.8,,33,,1650,,18285,,283.8,,66,,3688,,40202,,568,
