Route:- 0071,Date:- 10/19/2017,,,,,,,,Day:- Thursday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,7.69,26,3.58,203,2.1,3.5,0.89,1,14.29,2,0.59,0,0,30.4,14.29,2,10,28,2.63,203,1.44,34,5.59
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,0,0,0,0,0,0,0,0,1,14.29,8,2.36,162,3.65,30.4,14.29,1,5,8,0.75,162,1.15,30,4.93
07:00:01-08:00:00,1,7.69,0,0,0,0,30.4,7.69,0,0,13,3.83,212,4.78,0,0,1,5,13,1.22,212,1.5,30,4.93
08:00:01-09:00:00,0,0,33,4.55,436,4.52,0,0,0,0,0,0,0,0,0,0,0,0,33,3.1,436,3.1,0,0
09:00:01-10:00:00,1,7.69,40,5.51,491,5.09,5,1.27,0,0,0,0,0,0,0,0,1,5,40,3.76,491,3.49,5,0.82
10:00:01-11:00:00,0,0,34,4.68,506,5.24,0,0,1,14.29,0,0,0,0,30.4,14.29,1,5,34,3.19,506,3.59,30,4.93
11:00:01-12:00:00,0,0,0,0,0,0,0,0,0,0,59,17.4,844,19.04,0,0,0,0,59,5.54,844,5.99,0,0
12:00:01-13:00:00,2,15.38,7,0.96,110,1.14,60.8,15.38,0,0,20,5.9,182,4.11,0,0,2,10,27,2.54,292,2.07,61,10.03
13:00:01-14:00:00,0,0,58,7.99,786,8.14,0,0,1,14.29,14,4.13,176,3.97,30.4,14.29,1,5,72,6.76,962,6.83,30,4.93
14:00:01-15:00:00,1,7.69,70,9.64,919,9.52,2.9,0.73,1,14.29,86,25.37,1269,28.63,8.3,3.9,2,10,156,14.65,2188,15.53,11,1.81
15:00:01-16:00:00,1,7.69,54,7.44,818,8.47,12,3.04,0,0,26,7.67,234,5.28,0,0,1,5,80,7.51,1052,7.47,12,1.97
16:00:01-17:00:00,1,7.69,65,8.95,771,7.99,7.1,1.8,0,0,0,0,0,0,0,0,1,5,65,6.1,771,5.47,7,1.15
17:00:01-18:00:00,1,7.69,66,9.09,860,8.91,30.4,7.69,0,0,0,0,0,0,0,0,1,5,66,6.2,860,6.1,30,4.93
18:00:01-19:00:00,1,7.69,54,7.44,692,7.17,4.3,1.09,1,14.29,26,7.67,284,6.41,30.4,14.29,2,10,80,7.51,976,6.93,35,5.76
19:00:01-20:00:00,0,0,30,4.13,287,2.97,0,0,1,14.29,69,20.35,890,20.08,5,2.35,1,5,99,9.3,1177,8.36,5,0.82
20:00:01-21:00:00,2,15.38,46,6.34,694,7.19,60.8,15.38,0,0,16,4.72,180,4.06,0,0,2,10,62,5.82,874,6.2,61,10.03
21:00:01-22:00:00,0,0,57,7.85,864,8.95,0,0,0,0,0,0,0,0,0,0,0,0,57,5.35,864,6.13,0,0
22:00:01-23:00:00,1,7.69,32,4.41,380,3.94,13.1,3.31,0,0,0,0,0,0,0,0,1,5,32,3,380,2.7,13,2.14
23:00:01-24:00:00,0,0,54,7.44,837,8.67,0,0,0,0,0,0,0,0,0,0,0,0,54,5.07,837,5.94,0,0
,13,,726,,9654,,395.2,,7,,339,,4433,,212.8,,20,,1065,,14087,,608,
