Route:- 3860,Date:- 10/19/2017,,,,,,,,Day:- Thursday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,0,0,0,0,0,0,0,0,1,2.04,0,0,0,0,7,2.04,1,1.04,0,0,0,0,7,1.04
06:00:01-07:00:00,3,6.38,5,0.73,30,0.48,21,6.38,4,8.16,16,2.82,178,3.18,28,8.16,7,7.29,21,1.68,208,1.75,49,7.29
07:00:01-08:00:00,4,8.51,23,3.37,226,3.58,22.4,6.81,5,10.2,28,4.93,402,7.19,35,10.2,9,9.38,51,4.08,628,5.28,57,8.48
08:00:01-09:00:00,5,10.64,25,3.66,168,2.66,35,10.64,3,6.12,32,5.63,244,4.37,21,6.12,8,8.33,57,4.56,412,3.46,56,8.33
09:00:01-10:00:00,3,6.38,40,5.86,363,5.75,21,6.38,5,10.2,39,6.87,356,6.37,35,10.2,8,8.33,79,6.31,719,6.04,56,8.33
10:00:01-11:00:00,3,6.38,37,5.42,330,5.23,21,6.38,3,6.12,24,4.23,230,4.12,10.8,3.15,6,6.25,61,4.88,560,4.71,32,4.76
11:00:01-12:00:00,4,8.51,42,6.15,360,5.7,28,8.51,2,4.08,36,6.34,361,6.46,12,3.5,6,6.25,78,6.24,721,6.06,40,5.95
12:00:01-13:00:00,2,4.26,25,3.66,240,3.8,14,4.26,2,4.08,25,4.4,222,3.97,14,4.08,4,4.17,50,4,462,3.88,28,4.17
13:00:01-14:00:00,3,6.38,35,5.12,308,4.88,7.2,2.19,4,8.16,33,5.81,295,5.28,28,8.16,7,7.29,68,5.44,603,5.07,35,5.21
14:00:01-15:00:00,3,6.38,68,9.96,669,10.6,12,3.65,2,4.08,23,4.05,217,3.88,14,4.08,5,5.21,91,7.27,886,7.44,26,3.87
15:00:01-16:00:00,2,4.26,39,5.71,364,5.77,14,4.26,3,6.12,39,6.87,433,7.75,21,6.12,5,5.21,78,6.24,797,6.7,35,5.21
16:00:01-17:00:00,3,6.38,50,7.32,472,7.48,21,6.38,2,4.08,31,5.46,303,5.42,14,4.08,5,5.21,81,6.47,775,6.51,35,5.21
17:00:01-18:00:00,1,2.13,46,6.73,443,7.02,4,1.22,3,6.12,124,21.83,1205,21.56,21,6.12,4,4.17,170,13.59,1648,13.85,25,3.72
18:00:01-19:00:00,3,6.38,88,12.88,843,13.35,21,6.38,2,4.08,45,7.92,446,7.98,14,4.08,5,5.21,133,10.63,1289,10.83,35,5.21
19:00:01-20:00:00,2,4.26,55,8.05,495,7.84,14,4.26,3,6.12,57,10.04,549,9.82,14.7,4.29,5,5.21,112,8.95,1044,8.77,29,4.32
20:00:01-21:00:00,3,6.38,49,7.17,476,7.54,21,6.38,2,4.08,10,1.76,90,1.61,14,4.08,5,5.21,59,4.72,566,4.76,35,5.21
21:00:01-22:00:00,2,4.26,31,4.54,298,4.72,14,4.26,1,2.04,2,0.35,20,0.36,7,2.04,3,3.13,33,2.64,318,2.67,21,3.13
22:00:01-23:00:00,1,2.13,25,3.66,228,3.61,4,1.22,2,4.08,4,0.7,38,0.68,14,4.08,3,3.13,29,2.32,266,2.23,18,2.68
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,47,,683,,6313,,329,,49,,568,,5589,,343,,96,,1251,,11902,,672,
