Route:- 6050,Date:- 01/01/2018,,,,,,,,Day:- Monday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,8,5.63,155,4.13,1357,4.07,20.8,5.63,5,3.97,89,2.96,712,2.61,13,3.97,13,4.85,244,3.61,2069,3.41,34,4.88
05:00:01-06:00:00,8,5.63,53,1.41,464,1.39,20.8,5.63,9,7.14,133,4.42,1292,4.73,23.4,7.14,17,6.34,186,2.75,1756,2.89,44,6.31
06:00:01-07:00:00,9,6.34,55,1.47,498,1.49,23.4,6.34,10,7.94,199,6.62,1870,6.84,26,7.94,19,7.09,254,3.76,2368,3.9,49,7.03
07:00:01-08:00:00,7,4.93,27,0.72,214,0.64,18.2,4.93,11,8.73,225,7.48,2086,7.63,28.6,8.73,18,6.72,252,3.73,2300,3.79,47,6.74
08:00:01-09:00:00,8,5.63,69,1.84,579,1.74,20.8,5.63,5,3.97,162,5.39,1532,5.61,13,3.97,13,4.85,231,3.42,2111,3.48,34,4.88
09:00:01-10:00:00,7,4.93,124,3.31,1002,3,14,3.79,8,6.35,199,6.62,1811,6.63,20.8,6.35,15,5.6,323,4.78,2813,4.64,35,5.02
10:00:01-11:00:00,5,3.52,128,3.41,1126,3.37,13,3.52,7,5.56,260,8.65,2354,8.62,18.2,5.56,12,4.48,388,5.74,3480,5.73,31,4.45
11:00:01-12:00:00,6,4.23,94,2.51,842,2.52,15.6,4.23,3,2.38,167,5.55,1748,6.4,6,1.83,9,3.36,261,3.86,2590,4.27,22,3.16
12:00:01-13:00:00,4,2.82,155,4.13,1393,4.18,10.4,2.82,3,2.38,99,3.29,1053,3.85,7.8,2.38,7,2.61,254,3.76,2446,4.03,18,2.58
13:00:01-14:00:00,5,3.52,133,3.55,1159,3.47,13,3.52,3,2.38,153,5.09,1422,5.2,7.8,2.38,8,2.99,286,4.23,2581,4.25,21,3.01
14:00:01-15:00:00,7,4.93,206,5.49,1886,5.65,18.2,4.93,6,4.76,126,4.19,1200,4.39,15.6,4.76,13,4.85,332,4.91,3086,5.09,34,4.88
15:00:01-16:00:00,9,6.34,258,6.88,2291,6.87,23.4,6.34,6,4.76,181,6.02,1612,5.9,15.6,4.76,15,5.6,439,6.5,3903,6.43,39,5.6
16:00:01-17:00:00,6,4.23,358,9.55,3162,9.48,15.6,4.23,6,4.76,152,5.05,1409,5.16,15.6,4.76,12,4.48,510,7.55,4571,7.53,31,4.45
17:00:01-18:00:00,11,7.75,344,9.18,3122,9.36,28.6,7.75,10,7.94,244,8.11,2107,7.71,26,7.94,21,7.84,588,8.7,5229,8.62,55,7.89
18:00:01-19:00:00,9,6.34,420,11.2,3805,11.4,23.4,6.34,7,5.56,259,8.61,2171,7.95,18.2,5.56,16,5.97,679,10.05,5976,9.85,42,6.03
19:00:01-20:00:00,7,4.93,226,6.03,2100,6.29,18.2,4.93,5,3.97,118,3.92,936,3.43,10,3.05,12,4.48,344,5.09,3036,5,28,4.02
20:00:01-21:00:00,6,4.23,299,7.98,2609,7.82,15.6,4.23,6,4.76,146,4.86,1210,4.43,15.6,4.76,12,4.48,445,6.59,3819,6.29,31,4.45
21:00:01-22:00:00,5,3.52,233,6.21,2089,6.26,13,3.52,6,4.76,57,1.9,481,1.76,15.6,4.76,11,4.1,290,4.29,2570,4.23,29,4.16
22:00:01-23:00:00,6,4.23,196,5.23,1724,5.17,15.6,4.23,5,3.97,30,1,246,0.9,13,3.97,11,4.1,226,3.35,1970,3.25,29,4.16
23:00:01-24:00:00,9,6.34,216,5.76,1941,5.82,23.4,6.34,5,3.97,8,0.27,72,0.26,13,3.97,14,5.22,224,3.32,2013,3.32,36,5.16
,142,,3749,,33363,,369.2,,126,,3007,,27324,,327.6,,268,,6756,,60687,,697,
