Route:- 3310,Date:- 10/20/2017,,,,,,,,Day:- Friday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,1,3.45,7,0.67,62,0.58,9,3.45,0,0,0,0,0,0,0,0,1,1.72,7,0.36,62,0.29,9,1.72
06:00:01-07:00:00,3,10.34,108,10.38,820,7.61,27,10.34,2,6.9,33,3.65,308,2.92,18,6.9,5,8.62,141,7.25,1128,5.29,45,8.62
07:00:01-08:00:00,2,6.9,109,10.48,1310,12.15,15.2,5.82,3,10.34,86,9.51,1060,10.06,27,10.34,5,8.62,195,10.03,2370,11.12,42,8.05
08:00:01-09:00:00,2,6.9,89,8.56,1043,9.67,18,6.9,1,3.45,69,7.63,856,8.13,4,1.53,3,5.17,158,8.13,1899,8.91,22,4.21
09:00:01-10:00:00,1,3.45,58,5.58,686,6.36,9,3.45,2,6.9,38,4.2,490,4.65,8,3.07,3,5.17,96,4.94,1176,5.52,17,3.26
10:00:01-11:00:00,2,6.9,36,3.46,444,4.12,18,6.9,3,10.34,43,4.76,406,3.85,27,10.34,5,8.62,79,4.06,850,3.99,45,8.62
11:00:01-12:00:00,1,3.45,12,1.15,108,1,9,3.45,1,3.45,51,5.64,726,6.89,9,3.45,2,3.45,63,3.24,834,3.91,18,3.45
12:00:01-13:00:00,3,10.34,53,5.1,636,5.9,27,10.34,1,3.45,40,4.42,465,4.42,7.6,2.91,4,6.9,93,4.78,1101,5.17,35,6.7
13:00:01-14:00:00,1,3.45,73,7.02,831,7.71,9,3.45,2,6.9,25,2.77,290,2.75,12.6,4.83,3,5.17,98,5.04,1121,5.26,22,4.21
14:00:01-15:00:00,3,10.34,43,4.13,362,3.36,21.6,8.28,2,6.9,77,8.52,801,7.61,18,6.9,5,8.62,120,6.17,1163,5.46,40,7.66
15:00:01-16:00:00,0,0,54,5.19,529,4.91,0,0,1,3.45,89,9.85,904,8.58,4,1.53,1,1.72,143,7.36,1433,6.72,4,0.77
16:00:01-17:00:00,3,10.34,38,3.65,343,3.18,27,10.34,2,6.9,88,9.73,1094,10.39,18,6.9,5,8.62,126,6.48,1437,6.74,45,8.62
17:00:01-18:00:00,1,3.45,50,4.81,527,4.89,9,3.45,2,6.9,59,6.53,718,6.82,4.6,1.76,3,5.17,109,5.61,1245,5.84,14,2.68
18:00:01-19:00:00,2,6.9,71,6.83,712,6.6,3.6,1.38,1,3.45,35,3.87,458,4.35,9,3.45,3,5.17,106,5.45,1170,5.49,13,2.49
19:00:01-20:00:00,1,3.45,97,9.33,912,8.46,9,3.45,1,3.45,41,4.54,396,3.76,6.3,2.41,2,3.45,138,7.1,1308,6.14,15,2.87
20:00:01-21:00:00,2,6.9,45,4.33,482,4.47,8.8,3.37,2,6.9,49,5.42,554,5.26,18,6.9,4,6.9,94,4.84,1036,4.86,27,5.17
21:00:01-22:00:00,1,3.45,45,4.33,428,3.97,4,1.53,2,6.9,43,4.76,518,4.92,18,6.9,3,5.17,88,4.53,946,4.44,22,4.21
22:00:01-23:00:00,0,0,52,5,546,5.06,0,0,1,3.45,38,4.2,488,4.63,3,1.15,1,1.72,90,4.63,1034,4.85,3,0.57
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,29,,1040,,10781,,261,,29,,904,,10532,,261,,58,,1944,,21313,,522,
