Route:- 3400,Date:- 10/11/2017,,,,,,,,Day:- Wednesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,3,8.33,113,3.88,1206,3.99,25.8,8.33,1,2.7,6,0.23,50,0.18,8.6,2.7,4,5.48,119,2.14,1256,2.19,34,5.41
07:00:01-08:00:00,3,8.33,274,9.4,2762,9.14,24.6,7.95,2,5.41,138,5.23,1396,5.13,9.2,2.89,5,6.85,412,7.42,4158,7.24,34,5.41
08:00:01-09:00:00,2,5.56,188,6.45,2026,6.7,17.2,5.56,5,13.51,452,17.13,4762,17.51,20,6.29,7,9.59,640,11.53,6788,11.82,37,5.89
09:00:01-10:00:00,3,8.33,216,7.41,2318,7.67,13.8,4.46,1,2.7,249,9.44,2669,9.82,8.6,2.7,4,5.48,465,8.37,4987,8.69,22,3.5
10:00:01-11:00:00,3,8.33,297,10.19,3217,10.64,25.8,8.33,2,5.41,103,3.9,974,3.58,8,2.51,5,6.85,400,7.2,4191,7.3,34,5.41
11:00:01-12:00:00,1,2.78,230,7.89,2556,8.46,4,1.29,5,13.51,232,8.79,2559,9.41,43,13.51,6,8.22,462,8.32,5115,8.91,47,7.48
12:00:01-13:00:00,3,8.33,146,5.01,1584,5.24,25.8,8.33,2,5.41,331,12.55,3440,12.65,4.4,1.38,5,6.85,477,8.59,5024,8.75,30,4.78
13:00:01-14:00:00,4,11.11,173,5.93,1852,6.13,34.4,11.11,2,5.41,112,4.25,1051,3.87,8.8,2.77,6,8.22,285,5.13,2903,5.06,43,6.85
14:00:01-15:00:00,1,2.78,112,3.84,1254,4.15,4.6,1.49,3,8.11,153,5.8,1606,5.91,25.8,8.11,4,5.48,265,4.77,2860,4.98,30,4.78
15:00:01-16:00:00,3,8.33,119,4.08,1185,3.92,5.4,1.74,1,2.7,102,3.87,1090,4.01,1.8,0.57,4,5.48,221,3.98,2275,3.96,7,1.11
16:00:01-17:00:00,3,8.33,331,11.36,3313,10.96,25.8,8.33,2,5.41,66,2.5,668,2.46,17.2,5.41,5,6.85,397,7.15,3981,6.93,43,6.85
17:00:01-18:00:00,0,0,131,4.49,1326,4.39,0,0,2,5.41,187,7.09,1786,6.57,17.2,5.41,2,2.74,318,5.73,3112,5.42,17,2.71
18:00:01-19:00:00,1,2.78,118,4.05,1230,4.07,7.5,2.42,0,0,66,2.5,701,2.58,0,0,1,1.37,184,3.31,1931,3.36,8,1.27
19:00:01-20:00:00,2,5.56,136,4.67,1292,4.27,6.4,2.07,1,2.7,60,2.27,646,2.38,8.6,2.7,3,4.11,196,3.53,1938,3.38,15,2.39
20:00:01-21:00:00,1,2.78,124,4.25,1099,3.64,8.6,2.78,3,8.11,194,7.35,2044,7.52,12.6,3.96,4,5.48,318,5.73,3143,5.47,21,3.34
21:00:01-22:00:00,3,8.33,180,6.17,1718,5.68,13.8,4.46,2,5.41,93,3.53,922,3.39,17.2,5.41,5,6.85,273,4.92,2640,4.6,31,4.94
22:00:01-23:00:00,0,0,27,0.93,292,0.97,0,0,2,5.41,59,2.24,534,1.96,9.2,2.89,2,2.74,86,1.55,826,1.44,9,1.43
23:00:01-24:00:00,0,0,0,0,0,0,0,0,1,2.7,35,1.33,292,1.07,8.6,2.7,1,1.37,35,0.63,292,0.51,9,1.43
,36,,2915,,30230,,309.6,,37,,2638,,27190,,318.2,,73,,5553,,57420,,628,
