Route:- 0071,Date:- 10/01/2017,,,,,,,,Day:- Sunday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,7.69,9,1.67,46,0.68,2.7,0.68,1,20,4,1.61,0,0,30.4,20,2,11.11,13,1.65,46,0.46,33,6.03
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
07:00:01-08:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
08:00:01-09:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
09:00:01-10:00:00,2,15.38,72,13.33,1018,14.95,60.8,15.38,0,0,0,0,0,0,0,0,2,11.11,72,9.14,1018,10.27,61,11.15
10:00:01-11:00:00,0,0,70,12.96,817,12,0,0,0,0,0,0,0,0,0,0,0,0,70,8.88,817,8.24,0,0
11:00:01-12:00:00,0,0,24,4.44,252,3.7,0,0,0,0,0,0,0,0,0,0,0,0,24,3.05,252,2.54,0,0
12:00:01-13:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
13:00:01-14:00:00,1,7.69,5,0.93,104,1.53,30.4,7.69,1,20,16,6.45,220,7.09,30.4,20,2,11.11,21,2.66,324,3.27,61,11.15
14:00:01-15:00:00,1,7.69,49,9.07,720,10.57,11.7,2.96,0,0,20,8.06,224,7.21,0,0,1,5.56,69,8.76,944,9.52,12,2.19
15:00:01-16:00:00,2,15.38,70,12.96,1058,15.54,11.6,2.94,1,20,0,0,0,0,30.4,20,3,16.67,70,8.88,1058,10.67,42,7.68
16:00:01-17:00:00,0,0,36,6.67,332,4.88,0,0,0,0,40,16.13,594,19.13,0,0,0,0,76,9.64,926,9.34,0,0
17:00:01-18:00:00,1,7.69,34,6.3,491,7.21,30.4,7.69,1,20,40,16.13,522,16.81,30.4,20,2,11.11,74,9.39,1013,10.22,61,11.15
18:00:01-19:00:00,0,0,52,9.63,590,8.67,0,0,0,0,64,25.81,883,28.44,0,0,0,0,116,14.72,1473,14.86,0,0
19:00:01-20:00:00,1,7.69,14,2.59,148,2.17,30.4,7.69,0,0,16,6.45,144,4.64,0,0,1,5.56,30,3.81,292,2.95,30,5.48
20:00:01-21:00:00,1,7.69,57,10.56,687,10.09,30.4,7.69,1,20,13,5.24,132,4.25,30.4,20,2,11.11,70,8.88,819,8.26,61,11.15
21:00:01-22:00:00,1,7.69,13,2.41,152,2.23,4.6,1.16,0,0,35,14.11,386,12.43,0,0,1,5.56,48,6.09,538,5.43,5,0.91
22:00:01-23:00:00,1,7.69,8,1.48,72,1.06,30.4,7.69,0,0,0,0,0,0,0,0,1,5.56,8,1.02,72,0.73,30,5.48
23:00:01-24:00:00,1,7.69,27,5,322,4.73,2.7,0.68,0,0,0,0,0,0,0,0,1,5.56,27,3.43,322,3.25,3,0.55
,13,,540,,6809,,395.2,,5,,248,,3105,,152,,18,,788,,9914,,547,
