,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,4.0,7.0,3.0
Up,2,4.0,14.0,4.0
Up,3,4,20,2
Up,4,4.0,21.0,5.0
Up,5,4.0,28.0,6.0
Up,6,4.0,35.0,7.0
Up,7,4.0,42.0,8.0
Up,8,4.0,49.0,9.0
Up,9,5,0,1
Up,10,5,0,2
Up,11,5.0,1.0,5.0
Up,12,5.0,8.0,6.0
Up,13,5,30.0,3.0
Up,14,5,45.0,4.0
Up,15,5.0,55.0,10.0
Up,16,5.0,57.0,11.0
Up,17,6.0,0.0,8.0
Up,18,6.0,10.0,3.0
Up,19,6.0,17.0,7.0
Up,20,6.0,30.0,9.0
Up,21,6.0,45.0,1.0
Up,22,6.0,53.0,2.0
Up,23,6.0,57.0,5.0
Up,24,6.0,59.0,6.0
Up,25,7.0,0.0,4.0
Up,26,7.0,10.0,9.0
Up,27,7.0,20.0,12.0
Up,28,7.0,20.0,13.0
Up,29,7.0,30.0,10.0
Up,30,7.0,45.0,11.0
Up,31,7.0,53.0,8.0
Up,32,7.0,57.0,3.0
Up,33,7.0,59.0,7.0
Up,34,8.0,0.0,1.0
Up,35,8.0,0.0,12.0
Up,36,8.0,0.0,13.0
Up,37,8.0,30.0,2.0
Up,38,8.0,45.0,5.0
Up,39,8.0,53.0,6.0
Up,40,8.0,57.0,4.0
Up,41,8.0,59.0,9.0
Up,42,9.0,0.0,10.0
Up,43,9.0,30.0,14.0
Up,44,9.0,45.0,11.0
Up,45,9.0,53.0,8.0
Up,46,9.0,57.0,3.0
Up,47,9.0,59.0,7.0
Up,48,9.0,60.0,1.0
Up,49,9.0,60.0,12.0
Up,50,10.0,0.0,13.0
Up,51,10.0,10.0,14.0
Up,52,10.0,20.0,2.0
Up,53,10.0,30.0,5.0
Up,54,10.0,45.0,6.0
Up,55,10.0,53.0,4.0
Up,56,10.0,57.0,9.0
Up,57,10.0,59.0,10.0
Up,58,11.0,0.0,15.0
Up,59,11.0,30.0,11.0
Up,60,11.0,45.0,8.0
Up,61,11.0,53.0,3.0
Up,62,11.0,57.0,7.0
Up,63,11.0,59.0,1.0
Up,64,12.0,0.0,12.0
Up,65,12.0,30.0,13.0
Up,66,12.0,45.0,14.0
Up,67,12.0,53.0,6.0
Up,68,12.0,57.0,4.0
Up,69,12.0,59.0,9.0
Up,70,13.0,0.0,10.0
Up,71,13.0,30.0,2.0
Up,72,13.0,45.0,5.0
Up,73,13.0,53.0,8.0
Up,74,13.0,57.0,3.0
Up,75,14.0,0.0,7.0
Up,76,14.0,30.0,1.0
Up,77,14.0,45.0,12.0
Up,78,14.0,53.0,15.0
Up,79,14.0,57.0,11.0
Up,80,15.0,0.0,14.0
Up,81,15.0,30.0,6.0
Up,82,15.0,45.0,4.0
Up,83,15.0,53.0,9.0
Up,84,15.0,57.0,13.0
Up,85,15.0,59.0,5.0
Up,86,15.0,60.0,8.0
Up,87,16.0,0.0,10.0
Up,88,16.0,30.0,2.0
Up,89,16.0,45.0,12.0
Up,90,16.0,53.0,15.0
Up,91,16.0,57.0,11.0
Up,92,16.0,59.0,14.0
Up,93,17.0,0.0,3.0
Up,94,17.0,30.0,7.0
Up,95,17.0,45.0,1.0
Up,96,17.0,53.0,4.0
Up,97,17.0,57.0,9.0
Up,98,17.0,59.0,13.0
Up,99,18.0,0.0,5.0
Up,100,18.0,30.0,8.0
Up,101,18.0,45.0,10.0
Up,102,18.0,53.0,2.0
Up,103,18.0,57.0,6.0
Up,104,18.0,59.0,12.0
Up,105,19.0,0.0,15.0
Up,106,19.0,30.0,11.0
Up,107,19.0,45.0,14.0
Up,108,19.0,53.0,3.0
Up,109,19.0,57.0,7.0
Up,110,19.0,59.0,16.0
Up,111,19.0,60.0,1.0
Up,112,20.0,0.0,4.0
Up,113,20.0,30.0,9.0
Up,114,20.0,45.0,13.0
Up,115,20.0,53.0,5.0
Up,116,20.0,57.0,8.0
Up,117,20.0,59.0,10.0
Up,118,21.0,0.0,2.0
Up,119,21.0,30.0,6.0
Up,120,21.0,45.0,12.0
Up,121,21.0,53.0,15.0
Up,122,21.0,57.0,11.0
Up,123,21.0,59.0,17.0
Up,124,22.0,0.0,18.0
Up,125,22.0,30.0,14.0
Up,126,22.0,45.0,3.0
Up,127,22.0,53.0,7.0
Up,128,22.0,57.0,16.0
Up,129,,Total Buses required:,10.0
Down,0,4,0,2
Down,1,4,20,1
Down,2,4.0,27.0,3.0
Down,3,4.0,34.0,4.0
Down,4,4,40,2
Down,5,4.0,41.0,5.0
Down,6,4.0,48.0,6.0
Down,7,5.0,2.0,8.0
Down,8,5.0,9.0,9.0
Down,9,5,20,1
Down,10,5,20,2
Down,11,5.0,21.0,5.0
Down,12,5.0,28.0,6.0
Down,13,5.0,50.0,3.0
Down,14,5,57.0,7.0
Down,15,6.0,5.0,4.0
Down,16,6.0,15.0,10.0
Down,17,6.0,17.0,11.0
Down,18,6.0,20.0,8.0
Down,19,6.0,30.0,3.0
Down,20,6.0,37.0,7.0
Down,21,6.0,50.0,9.0
Down,22,6.0,60.0,12.0
Down,23,6.0,60.0,13.0
Down,24,7.0,5.0,1.0
Down,25,7.0,13.0,2.0
Down,26,7.0,17.0,5.0
Down,27,7.0,19.0,6.0
Down,28,7.0,20.0,4.0
Down,29,7.0,30.0,9.0
Down,30,7.0,40.0,12.0
Down,31,7.0,40.0,13.0
Down,32,7.0,50.0,10.0
Down,33,7.0,60.0,14.0
Down,34,8.0,5.0,11.0
Down,35,8.0,13.0,8.0
Down,36,8.0,17.0,3.0
Down,37,8.0,19.0,7.0
Down,38,8.0,20.0,1.0
Down,39,8.0,20.0,12.0
Down,40,8.0,20.0,13.0
Down,41,9.0,5.0,5.0
Down,42,9.0,13.0,6.0
Down,43,9.0,17.0,4.0
Down,44,9.0,19.0,9.0
Down,45,9.0,20.0,10.0
Down,46,9.0,50.0,14.0
Down,47,9,60.0,2.0
Down,48,9.0,60.0,15.0
Down,49,10.0,5.0,11.0
Down,50,10.0,13.0,8.0
Down,51,10.0,17.0,3.0
Down,52,10.0,19.0,7.0
Down,53,10.0,20.0,1.0
Down,54,10.0,20.0,12.0
Down,55,10.0,20.0,13.0
Down,56,10.0,30.0,14.0
Down,57,11.0,5.0,6.0
Down,58,11.0,13.0,4.0
Down,59,11.0,17.0,9.0
Down,60,11.0,19.0,10.0
Down,61,11,60.0,2.0
Down,62,11,60.0,5.0
Down,63,12.0,5.0,8.0
Down,64,12.0,13.0,3.0
Down,65,12.0,17.0,7.0
Down,66,12.0,19.0,1.0
Down,67,12.0,20.0,12.0
Down,68,12,60.0,15.0
Down,69,12,60.0,11.0
Down,70,13.0,5.0,14.0
Down,71,13.0,13.0,6.0
Down,72,13.0,17.0,4.0
Down,73,13.0,19.0,9.0
Down,74,13,59.0,13.0
Down,75,14.0,5.0,5.0
Down,76,14.0,13.0,8.0
Down,77,14,59.0,10.0
