,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,5,0,2
Up,2,5.0,45.0,3.0
Up,3,6.0,6.0,4.0
Up,4,6.0,12.0,5.0
Up,5,6.0,18.0,6.0
Up,6,6.0,24.0,7.0
Up,7,6.0,30.0,8.0
Up,8,6.0,36.0,9.0
Up,9,6.0,42.0,10.0
Up,10,6.0,48.0,11.0
Up,11,6.0,54.0,12.0
Up,12,7.0,0.0,3.0
Up,13,7.0,14.0,1.0
Up,14,7.0,17.0,2.0
Up,15,7.0,30.0,4.0
Up,16,7.0,45.0,5.0
Up,17,7.0,54.0,13.0
Up,18,7.0,55.0,14.0
Up,19,7.0,56.0,15.0
Up,20,7.0,57.0,16.0
Up,21,7.0,58.0,17.0
Up,22,8.0,0.0,10.0
Up,23,8.0,18.0,6.0
Up,24,8.0,19.0,7.0
Up,25,8.0,20.0,8.0
Up,26,8.0,20.0,9.0
Up,27,8.0,30.0,11.0
Up,28,8.0,45.0,12.0
Up,29,8.0,53.0,3.0
Up,30,8.0,57.0,1.0
Up,31,8.0,59.0,18.0
Up,32,8.0,59.0,19.0
Up,33,9.0,0.0,5.0
Up,34,9.0,19.0,2.0
Up,35,9.0,30.0,13.0
Up,36,9.0,45.0,14.0
Up,37,9.0,53.0,15.0
Up,38,9.0,57.0,16.0
Up,39,9.0,59.0,17.0
Up,40,9.0,60.0,10.0
Up,41,9.0,60.0,6.0
Up,42,10.0,0.0,4.0
Up,43,10.0,20.0,7.0
Up,44,10.0,20.0,8.0
Up,45,10.0,30.0,12.0
Up,46,10.0,45.0,3.0
Up,47,10.0,53.0,1.0
Up,48,10.0,57.0,18.0
Up,49,10.0,59.0,19.0
Up,50,11.0,0.0,9.0
Up,51,11.0,30.0,11.0
Up,52,11.0,45.0,14.0
Up,53,11.0,53.0,15.0
Up,54,11.0,57.0,16.0
Up,55,11.0,59.0,17.0
Up,56,12.0,0.0,10.0
Up,57,12.0,30.0,6.0
Up,58,12.0,45.0,4.0
Up,59,12.0,53.0,5.0
Up,60,12.0,57.0,2.0
Up,61,12.0,59.0,13.0
Up,62,12.0,60.0,3.0
Up,63,12.0,60.0,1.0
Up,64,13.0,0.0,18.0
Up,65,13.0,30.0,19.0
Up,66,13.0,45.0,9.0
Up,67,13.0,53.0,11.0
Up,68,13.0,57.0,7.0
Up,69,13.0,59.0,8.0
Up,70,13.0,60.0,12.0
Up,71,13.0,60.0,14.0
Up,72,13.0,60.0,15.0
Up,73,14.0,0.0,16.0
Up,74,14.0,30.0,17.0
Up,75,14.0,45.0,10.0
Up,76,14.0,53.0,6.0
Up,77,14.0,57.0,20.0
Up,78,14.0,59.0,21.0
Up,79,14.0,60.0,4.0
Up,80,14.0,60.0,5.0
Up,81,15.0,0.0,2.0
Up,82,15.0,30.0,13.0
Up,83,15.0,45.0,3.0
Up,84,15.0,53.0,1.0
Up,85,15.0,57.0,18.0
Up,86,15.0,59.0,9.0
Up,87,15.0,60.0,11.0
Up,88,15.0,60.0,7.0
Up,89,16.0,0.0,8.0
Up,90,16.0,30.0,12.0
Up,91,16.0,45.0,19.0
Up,92,16.0,53.0,10.0
Up,93,16.0,57.0,6.0
Up,94,16.0,59.0,20.0
Up,95,16.0,60.0,21.0
Up,96,17.0,0.0,14.0
Up,97,17.0,20.0,4.0
Up,98,17.0,20.0,5.0
Up,99,17.0,20.0,2.0
Up,100,17.0,30.0,15.0
Up,101,17.0,45.0,16.0
Up,102,17.0,53.0,17.0
Up,103,17.0,57.0,3.0
Up,104,17.0,59.0,1.0
Up,105,17.0,60.0,18.0
Up,106,18.0,0.0,13.0
Up,107,18.0,20.0,9.0
Up,108,18.0,20.0,11.0
Up,109,18.0,20.0,7.0
Up,110,18.0,20.0,8.0
Up,111,18.0,20.0,12.0
Up,112,18.0,30.0,19.0
Up,113,18.0,45.0,10.0
Up,114,18.0,53.0,6.0
Up,115,18.0,59.0,22.0
Up,116,19.0,0.0,16.0
Up,117,19.0,19.0,20.0
Up,118,19.0,20.0,21.0
Up,119,19.0,20.0,14.0
Up,120,19.0,20.0,4.0
Up,121,19.0,20.0,5.0
Up,122,19.0,20.0,2.0
Up,123,20.0,0.0,15.0
Up,124,20.0,5.0,3.0
Up,125,20.0,13.0,1.0
Up,126,20.0,17.0,18.0
Up,127,20.0,19.0,13.0
Up,128,20.0,20.0,9.0
Up,129,20.0,20.0,11.0
Up,130,20.0,30.0,17.0
Up,131,21.0,0.0,7.0
Up,132,21.0,5.0,12.0
Up,133,21.0,13.0,19.0
Up,134,21.0,17.0,10.0
Up,135,21.0,30.0,8.0
Up,136,22.0,0.0,6.0
Up,137,22.0,30.0,22.0
Up,138,,Total Buses required:,19.0
Down,0,4,0,2
Down,1,6.0,5.0,3.0
Down,2,6.0,26.0,4.0
Down,3,6.0,32.0,5.0
Down,4,6,54.0,1
Down,5,6,57.0,2
Down,6,7.0,2.0,10.0
Down,7,7.0,8.0,11.0
Down,8,7.0,14.0,12.0
Down,9,7.0,20.0,3.0
Down,10,7.0,34.0,1.0
Down,11,7,58.0,6.0
Down,12,7,59.0,7.0
Down,13,7,60.0,8.0
Down,14,7,60.0,9.0
Down,15,8.0,5.0,5.0
Down,16,8.0,14.0,13.0
Down,17,8.0,15.0,14.0
Down,18,8.0,16.0,15.0
Down,19,8.0,17.0,16.0
Down,20,8.0,18.0,17.0
Down,21,8.0,20.0,10.0
Down,22,8.0,38.0,6.0
Down,23,8,59.0,2.0
Down,24,8,60.0,4.0
Down,25,9.0,5.0,12.0
Down,26,9.0,13.0,3.0
Down,27,9.0,17.0,1.0
Down,28,9.0,19.0,18.0
Down,29,9.0,19.0,19.0
Down,30,9,60.0,7.0
Down,31,9,60.0,8.0
Down,32,9,60.0,9.0
Down,33,9,60.0,11.0
Down,34,10.0,5.0,14.0
Down,35,10.0,13.0,15.0
Down,36,10.0,17.0,16.0
Down,37,10.0,19.0,17.0
Down,38,10.0,20.0,10.0
Down,39,10.0,20.0,6.0
Down,40,10.0,20.0,4.0
Down,41,10,60.0,5.0
Down,42,10,60.0,2.0
Down,43,10,60.0,13.0
Down,44,11.0,5.0,3.0
Down,45,11.0,13.0,1.0
Down,46,11.0,17.0,18.0
Down,47,11.0,19.0,19.0
Down,48,11.0,20.0,9.0
Down,49,11.0,50.0,11.0
Down,50,11,60.0,7.0
Down,51,11,60.0,8.0
Down,52,11,60.0,12.0
Down,53,12.0,5.0,14.0
Down,54,12.0,13.0,15.0
Down,55,12.0,17.0,16.0
Down,56,12.0,19.0,17.0
Down,57,12.0,20.0,10.0
Down,58,12.0,50.0,6.0
Down,59,12.0,60.0,20.0
Down,60,12.0,60.0,21.0
Down,61,13.0,5.0,4.0
Down,62,13.0,13.0,5.0
Down,63,13.0,17.0,2.0
Down,64,13.0,19.0,13.0
Down,65,13.0,20.0,3.0
Down,66,13.0,20.0,1.0
Down,67,13.0,20.0,18.0
Down,68,14.0,5.0,9.0
Down,69,14.0,13.0,11.0
Down,70,14.0,17.0,7.0
Down,71,14.0,19.0,8.0
Down,72,14.0,20.0,12.0
Down,73,14,60.0,19.0
Down,74,15.0,5.0,10.0
Down,75,15.0,13.0,6.0
Down,76,15.0,17.0,20.0
Down,77,15.0,19.0,21.0
Down,78,15,60.0,14.0
Down,79,15,60.0,15.0
Down,80,15,60.0,16.0
Down,81,15,60.0,17.0
Down,82,16.0,5.0,3.0
Down,83,16.0,13.0,1.0
Down,84,16.0,17.0,18.0
Down,85,16,60.0,4.0
Down,86,16,60.0,5.0
Down,87,16,60.0,2.0
Down,88,16,60.0,13.0
Down,89,17.0,5.0,19.0
Down,90,17.0,13.0,10.0
Down,91,17.0,17.0,6.0
Down,92,17,60.0,9.0
Down,93,17,60.0,11.0
Down,94,17,60.0,7.0
Down,95,17,60.0,8.0
Down,96,17,60.0,12.0
Down,97,18.0,5.0,16.0
Down,98,18,59.0,20.0
Down,99,18,60.0,21.0
Down,100,18,60.0,14.0
Down,101,18,60.0,4.0
Down,102,18,60.0,5.0
Down,103,18,60.0,2.0
Down,104,18,60.0,15.0
Down,105,19,30.0,17.0
Down,106,19,45.0,3.0
Down,107,19,53.0,1.0
Down,108,19,57.0,18.0
Down,109,19,59.0,13.0
Down,110,19,60.0,9.0
Down,111,19,60.0,11.0
Down,112,19,60.0,7.0
Down,113,19,60.0,8.0
Down,114,20,45.0,12.0
Down,115,20,53.0,19.0
Down,116,20,57.0,10.0
Down,117,20,59.0,6.0
Down,118,20,60.0,22.0
Down,119,20,60.0,16.0
Down,120,20,60.0,20.0
Down,121,20,60.0,21.0
Down,122,21,45.0,14.0
Down,123,21,53.0,4.0
Down,124,21,57.0,5.0
Down,125,21,59.0,2.0
Down,126,21,60.0,15.0
Down,127,21,60.0,3.0
Down,128,22,45.0,1.0
Down,129,22,53.0,18.0
Down,130,22,57.0,13.0
Down,131,,Total Buses required:,3.0
Summary,0,,Total Buses required on route:,22.0
