Route:- 6040,Date:- 10/03/2017,,,,,,,,Day:- Tuesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,6,8.57,76,6.28,247,2.78,21,8.57,4,7.02,36,2.4,195,1.78,14,7.02,10,7.87,112,4.13,442,2.23,35,7.88
07:00:01-08:00:00,3,4.29,73,6.03,512,5.77,10.5,4.29,4,7.02,86,5.74,446,4.07,14,7.02,7,5.51,159,5.87,958,4.83,24,5.41
08:00:01-09:00:00,3,4.29,52,4.3,312,3.52,7.5,3.06,4,7.02,98,6.54,686,6.26,14,7.02,7,5.51,150,5.54,998,5.03,22,4.95
09:00:01-10:00:00,3,4.29,65,5.37,532,6,7.5,3.06,2,3.51,81,5.4,637,5.81,7,3.51,5,3.94,146,5.39,1169,5.89,14,3.15
10:00:01-11:00:00,3,4.29,49,4.05,337,3.8,7.5,3.06,3,5.26,74,4.94,626,5.71,6.6,3.31,6,4.72,123,4.54,963,4.86,14,3.15
11:00:01-12:00:00,4,5.71,40,3.31,400,4.51,14,5.71,4,7.02,105,7,777,7.09,14,7.02,8,6.3,145,5.35,1177,5.93,28,6.31
12:00:01-13:00:00,3,4.29,101,8.35,676,7.62,10.5,4.29,5,8.77,96,6.4,677,6.18,17.5,8.77,8,6.3,197,7.27,1353,6.82,28,6.31
13:00:01-14:00:00,5,7.14,56,4.63,350,3.94,17.5,7.14,5,8.77,104,6.94,592,5.4,12.5,6.27,10,7.87,160,5.91,942,4.75,30,6.76
14:00:01-15:00:00,3,4.29,19,1.57,152,1.71,10.5,4.29,2,3.51,33,2.2,280,2.55,3.4,1.7,5,3.94,52,1.92,432,2.18,14,3.15
15:00:01-16:00:00,2,2.86,15,1.24,122,1.37,4.4,1.8,2,3.51,26,1.73,208,1.9,7,3.51,4,3.15,41,1.51,330,1.66,11,2.48
16:00:01-17:00:00,4,5.71,15,1.24,130,1.47,14,5.71,3,5.26,30,2,242,2.21,10.5,5.26,7,5.51,45,1.66,372,1.88,24,5.41
17:00:01-18:00:00,5,7.14,111,9.17,800,9.02,17.5,7.14,3,5.26,150,10.01,1071,9.77,7.5,3.76,8,6.3,261,9.63,1871,9.43,25,5.63
18:00:01-19:00:00,6,8.57,134,11.07,1154,13.01,21,8.57,2,3.51,155,10.34,1217,11.1,7,3.51,8,6.3,289,10.67,2371,11.95,28,6.31
19:00:01-20:00:00,5,7.14,57,4.71,469,5.29,17.5,7.14,2,3.51,141,9.41,1112,10.14,7,3.51,7,5.51,198,7.31,1581,7.97,24,5.41
20:00:01-21:00:00,7,10,151,12.48,1154,13.01,24.5,10,6,10.53,143,9.54,1096,10,21,10.53,13,10.24,294,10.85,2250,11.34,46,10.36
21:00:01-22:00:00,6,8.57,140,11.57,1078,12.15,21,8.57,2,3.51,19,1.27,140,1.28,7,3.51,8,6.3,159,5.87,1218,6.14,28,6.31
22:00:01-23:00:00,2,2.86,55,4.55,440,4.96,3.4,1.39,3,5.26,79,5.27,624,5.69,10.5,5.26,5,3.94,134,4.95,1064,5.36,14,3.15
23:00:01-24:00:00,0,0,1,0.08,8,0.09,0,0,1,1.75,43,2.87,336,3.07,3.5,1.75,1,0.79,44,1.62,344,1.73,4,0.9
,70,,1210,,8873,,245,,57,,1499,,10962,,199.5,,127,,2709,,19835,,444,
