Route:- 6064,Date:- 10/29/2017,,,,,,,,Day:- Sunday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,7,5.22,86,1.02,668,0.95,30.8,5.22,0,0,0,0,0,0,0,0,7,5.22,86,1.02,668,0.95,31,5.25
05:00:01-06:00:00,4,2.99,71,0.84,524,0.74,9.6,1.63,0,0,0,0,0,0,0,0,4,2.99,71,0.84,524,0.74,10,1.69
06:00:01-07:00:00,9,6.72,135,1.6,1032,1.46,27.9,4.73,0,0,0,0,0,0,0,0,9,6.72,135,1.6,1032,1.46,28,4.75
07:00:01-08:00:00,11,8.21,246,2.92,2169,3.07,22,3.73,0,0,0,0,0,0,0,0,11,8.21,246,2.92,2169,3.07,22,3.73
08:00:01-09:00:00,12,8.96,321,3.81,2758,3.91,24,4.07,0,0,0,0,0,0,0,0,12,8.96,321,3.81,2758,3.91,24,4.07
09:00:01-10:00:00,9,6.72,404,4.79,3668,5.19,18,3.05,0,0,0,0,0,0,0,0,9,6.72,404,4.79,3668,5.19,18,3.05
10:00:01-11:00:00,7,5.22,488,5.79,4640,6.57,14,2.37,0,0,0,0,0,0,0,0,7,5.22,488,5.79,4640,6.57,14,2.37
11:00:01-12:00:00,7,5.22,487,5.77,4645,6.58,16.8,2.85,0,0,0,0,0,0,0,0,7,5.22,487,5.77,4645,6.58,17,2.88
12:00:01-13:00:00,5,3.73,301,3.57,2526,3.58,12,2.04,0,0,0,0,0,0,0,0,5,3.73,301,3.57,2526,3.58,12,2.03
13:00:01-14:00:00,6,4.48,437,5.18,3564,5.05,26.4,4.48,0,0,0,0,0,0,0,0,6,4.48,437,5.18,3564,5.05,26,4.41
14:00:01-15:00:00,4,2.99,430,5.1,3593,5.09,9.6,1.63,0,0,0,0,0,0,0,0,4,2.99,430,5.1,3593,5.09,10,1.69
15:00:01-16:00:00,3,2.24,505,5.99,4358,6.17,6,1.02,0,0,0,0,0,0,0,0,3,2.24,505,5.99,4358,6.17,6,1.02
16:00:01-17:00:00,7,5.22,610,7.23,5164,7.31,30.8,5.22,0,0,0,0,0,0,0,0,7,5.22,610,7.23,5164,7.31,31,5.25
17:00:01-18:00:00,9,6.72,709,8.41,5722,8.1,39.6,6.72,0,0,0,0,0,0,0,0,9,6.72,709,8.41,5722,8.1,40,6.78
18:00:01-19:00:00,7,5.22,716,8.49,5799,8.21,16.8,2.85,0,0,0,0,0,0,0,0,7,5.22,716,8.49,5799,8.21,17,2.88
19:00:01-20:00:00,6,4.48,729,8.64,5843,8.28,26.4,4.48,0,0,0,0,0,0,0,0,6,4.48,729,8.64,5843,8.28,26,4.41
20:00:01-21:00:00,6,4.48,610,7.23,4765,6.75,26.4,4.48,0,0,0,0,0,0,0,0,6,4.48,610,7.23,4765,6.75,26,4.41
21:00:01-22:00:00,7,5.22,549,6.51,4342,6.15,21.7,3.68,0,0,0,0,0,0,0,0,7,5.22,549,6.51,4342,6.15,22,3.73
22:00:01-23:00:00,4,2.99,386,4.58,3103,4.39,17.6,2.99,0,0,0,0,0,0,0,0,4,2.99,386,4.58,3103,4.39,18,3.05
23:00:01-24:00:00,4,2.99,213,2.53,1726,2.44,17.6,2.99,0,0,0,0,0,0,0,0,4,2.99,213,2.53,1726,2.44,18,3.05
,134,,8433,,70609,,589.6,,0,,0,,0,,0,,134,,8433,,70609,,590,
