Route:- 6064,Date:- 01/01/2018,,,,,,,,Day:- Monday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,6,3.66,95,1.1,694,1.02,26.4,3.66,0,0,0,0,0,0,0,0,6,3.66,95,1.1,694,1.02,26,3.6
05:00:01-06:00:00,8,4.88,100,1.16,658,0.96,35.2,4.88,0,0,0,0,0,0,0,0,8,4.88,100,1.16,658,0.96,35,4.85
06:00:01-07:00:00,15,9.15,194,2.25,1264,1.85,30,4.16,0,0,0,0,0,0,0,0,15,9.15,194,2.25,1264,1.85,30,4.16
07:00:01-08:00:00,13,7.93,359,4.16,2835,4.16,57.2,7.93,0,0,0,0,0,0,0,0,13,7.93,359,4.16,2835,4.16,57,7.89
08:00:01-09:00:00,13,7.93,650,7.53,5137,7.53,40.3,5.58,0,0,0,0,0,0,0,0,13,7.93,650,7.53,5137,7.53,40,5.54
09:00:01-10:00:00,15,9.15,606,7.02,5083,7.45,66,9.15,0,0,0,0,0,0,0,0,15,9.15,606,7.02,5083,7.45,66,9.14
10:00:01-11:00:00,12,7.32,394,4.57,3210,4.7,52.8,7.32,0,0,0,0,0,0,0,0,12,7.32,394,4.57,3210,4.7,53,7.34
11:00:01-12:00:00,7,4.27,478,5.54,4054,5.94,30.8,4.27,0,0,0,0,0,0,0,0,7,4.27,478,5.54,4054,5.94,31,4.29
12:00:01-13:00:00,5,3.05,502,5.82,3858,5.65,12,1.66,0,0,0,0,0,0,0,0,5,3.05,502,5.82,3858,5.65,12,1.66
13:00:01-14:00:00,6,3.66,276,3.2,2182,3.2,26.4,3.66,0,0,0,0,0,0,0,0,6,3.66,276,3.2,2182,3.2,26,3.6
14:00:01-15:00:00,3,1.83,328,3.8,2598,3.81,7.2,1,0,0,0,0,0,0,0,0,3,1.83,328,3.8,2598,3.81,7,0.97
15:00:01-16:00:00,3,1.83,362,4.2,2967,4.35,7.2,1,0,0,0,0,0,0,0,0,3,1.83,362,4.2,2967,4.35,7,0.97
16:00:01-17:00:00,8,4.88,538,6.23,4242,6.22,35.2,4.88,0,0,0,0,0,0,0,0,8,4.88,538,6.23,4242,6.22,35,4.85
17:00:01-18:00:00,8,4.88,594,6.88,4665,6.84,16,2.22,0,0,0,0,0,0,0,0,8,4.88,594,6.88,4665,6.84,16,2.22
18:00:01-19:00:00,8,4.88,571,6.62,4570,6.7,19.2,2.66,0,0,0,0,0,0,0,0,8,4.88,571,6.62,4570,6.7,19,2.63
19:00:01-20:00:00,6,3.66,724,8.39,5799,8.5,14.4,2,0,0,0,0,0,0,0,0,6,3.66,724,8.39,5799,8.5,14,1.94
20:00:01-21:00:00,8,4.88,719,8.33,5643,8.27,19.2,2.66,0,0,0,0,0,0,0,0,8,4.88,719,8.33,5643,8.27,19,2.63
21:00:01-22:00:00,6,3.66,455,5.27,3522,5.16,18.6,2.58,0,0,0,0,0,0,0,0,6,3.66,455,5.27,3522,5.16,19,2.63
22:00:01-23:00:00,10,6.1,491,5.69,3743,5.49,20,2.77,0,0,0,0,0,0,0,0,10,6.1,491,5.69,3743,5.49,20,2.77
23:00:01-24:00:00,4,2.44,193,2.24,1504,2.2,12.4,1.72,0,0,0,0,0,0,0,0,4,2.44,193,2.24,1504,2.2,12,1.66
,164,,8629,,68228,,721.6,,0,,0,,0,,0,,164,,8629,,68228,,722,
