,,Hour,Minutes,Bus Tag
Up,0,4,0,1
Up,1,5,0,2
Up,2,6.0,0.0,2.0
Up,3,6.0,7.0,3.0
Up,4,6.0,9.0,4.0
Up,5,6.0,11.0,5.0
Up,6,6.0,30.0,1.0
Up,7,7.0,0.0,6.0
Up,8,7.0,30.0,7.0
Up,9,7.0,45.0,8.0
Up,10,7.0,53.0,2.0
Up,11,8.0,0.0,3.0
Up,12,8.0,30.0,4.0
Up,13,9.0,0.0,5.0
Up,14,9.0,30.0,6.0
Up,15,10.0,0.0,7.0
Up,16,10.0,30.0,1.0
Up,17,11.0,0.0,8.0
Up,18,11.0,30.0,2.0
Up,19,12.0,0.0,3.0
Up,20,12.0,30.0,4.0
Up,21,13.0,0.0,5.0
Up,22,13.0,30.0,6.0
Up,23,13.0,45.0,9.0
Up,24,14.0,0.0,7.0
Up,25,14.0,30.0,1.0
Up,26,15.0,0.0,10.0
Up,27,15.0,30.0,8.0
Up,28,15.0,45.0,2.0
Up,29,16.0,0.0,11.0
Up,30,16.0,30.0,3.0
Up,31,16.0,45.0,4.0
Up,32,16.0,53.0,12.0
Up,33,17.0,0.0,13.0
Up,34,17.0,30.0,5.0
Up,35,17.0,45.0,6.0
Up,36,18.0,0.0,9.0
Up,37,18.0,30.0,7.0
Up,38,18.0,45.0,10.0
Up,39,18.0,53.0,1.0
Up,40,19.0,0.0,2.0
Up,41,19.0,30.0,11.0
Up,42,19.0,45.0,8.0
Up,43,19.0,53.0,4.0
Up,44,20.0,0.0,12.0
Up,45,20.0,30.0,13.0
Up,46,20.0,45.0,5.0
Up,47,20.0,53.0,3.0
Up,48,21.0,0.0,6.0
Up,49,21.0,30.0,9.0
Up,50,21.0,45.0,7.0
Up,51,22.0,0.0,10.0
Up,52,,Total Buses required:,1.0
Down,0,4,0,2
Down,1,5,20,2
Down,2,5,30.0,1
Down,3,5.0,47.0,3.0
Down,4,5.0,49.0,4.0
Down,5,5.0,51.0,5.0
Down,6,5.0,53.0,6.0
Down,7,5.0,55.0,7.0
Down,8,5.0,57.0,8.0
Down,9,6.0,20.0,2.0
Down,10,6.0,27.0,3.0
Down,11,6.0,29.0,4.0
Down,12,6.0,31.0,5.0
Down,13,7.0,20.0,6.0
Down,14,7.0,50.0,7.0
Down,15,7.0,57.0,1.0
Down,16,8.0,5.0,8.0
Down,17,8.0,13.0,2.0
Down,18,8.0,20.0,3.0
Down,19,8.0,50.0,4.0
Down,20,9.0,20.0,5.0
Down,21,9.0,50.0,6.0
Down,22,9.0,53.0,9.0
Down,23,10.0,20.0,7.0
Down,24,10.0,50.0,1.0
Down,25,10.0,53.0,10.0
Down,26,11.0,20.0,8.0
Down,27,11.0,50.0,2.0
Down,28,11.0,53.0,11.0
Down,29,12.0,20.0,3.0
Down,30,12.0,50.0,4.0
Down,31,12.0,50.0,12.0
Down,32,12.0,55.0,13.0
Down,33,13.0,20.0,5.0
Down,34,13.0,50.0,6.0
Down,35,14.0,5.0,9.0
Down,36,14.0,20.0,7.0
Down,37,15.0,20.0,10.0
Down,38,15.0,53.0,1.0
Down,39,16.0,5.0,2.0
Down,40,16.0,20.0,11.0
Down,41,16.0,57.0,8.0
Down,42,17.0,5.0,4.0
Down,43,17.0,13.0,12.0
Down,44,17.0,20.0,13.0
Down,45,17.0,50.0,5.0
Down,46,17.0,53.0,3.0
Down,47,18.0,5.0,6.0
Down,48,18.0,20.0,9.0
Down,49,18.0,50.0,7.0
Down,50,19.0,5.0,10.0
Down,51,19.0,13.0,1.0
Down,52,19.0,20.0,2.0
Down,53,19.0,50.0,11.0
Down,54,20.0,5.0,8.0
Down,55,20.0,13.0,4.0
Down,56,20.0,20.0,12.0
Down,57,21.0,5.0,5.0
Down,58,21.0,53.0,13.0
Down,59,22.0,5.0,7.0
Down,60,22.0,20.0,10.0
Down,61,22.0,30.0,3.0
Down,62,22.0,45.0,6.0
Down,63,22.0,53.0,9.0
Down,64,,Total Buses required:,12.0
Summary,0,,Total Buses required on route:,13.0
