Route:- 3400,Date:- 10/14/2017,,,,,,,,Day:- Saturday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,1,3.45,35,1.88,342,1.74,8.6,3.45,1,3.23,18,1.18,164,1.02,8.6,3.23,2,3.33,53,1.57,506,1.42,17,3.29
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,3,10.34,102,5.49,1000,5.09,25.8,10.34,0,0,0,0,0,0,0,0,3,5,102,3.01,1000,2.8,26,5.04
07:00:01-08:00:00,3,10.34,248,13.34,2569,13.06,25.8,10.34,4,12.9,168,11.01,1647,10.27,34.4,12.9,7,11.67,416,12.29,4216,11.81,60,11.63
08:00:01-09:00:00,3,10.34,211,11.35,2222,11.3,25.8,10.34,5,16.13,253,16.58,2724,16.98,43,16.13,8,13.33,464,13.71,4946,13.85,69,13.37
09:00:01-10:00:00,2,6.9,80,4.3,1071,5.45,17.2,6.9,2,6.45,178,11.66,1870,11.66,17.2,6.45,4,6.67,258,7.62,2941,8.24,34,6.59
10:00:01-11:00:00,3,10.34,292,15.71,3252,16.54,25.8,10.34,2,6.45,27,1.77,306,1.91,17.2,6.45,5,8.33,319,9.42,3558,9.97,43,8.33
11:00:01-12:00:00,1,3.45,38,2.04,472,2.4,3.2,1.28,2,6.45,157,10.29,1857,11.58,17.2,6.45,3,5,195,5.76,2329,6.52,20,3.88
12:00:01-13:00:00,4,13.79,151,8.12,1467,7.46,34.4,13.79,3,9.68,93,6.09,987,6.15,12,4.5,7,11.67,244,7.21,2454,6.87,46,8.91
13:00:01-14:00:00,2,6.9,108,5.81,1089,5.54,3.6,1.44,1,3.23,56,3.67,442,2.76,1.8,0.68,3,5,164,4.84,1531,4.29,5,0.97
14:00:01-15:00:00,2,6.9,142,7.64,1558,7.92,8,3.21,3,9.68,36,2.36,310,1.93,5.4,2.03,5,8.33,178,5.26,1868,5.23,13,2.52
15:00:01-16:00:00,1,3.45,121,6.51,1299,6.61,8.6,3.45,2,6.45,135,8.85,1336,8.33,7,2.63,3,5,256,7.56,2635,7.38,16,3.1
16:00:01-17:00:00,1,3.45,108,5.81,1140,5.8,4.6,1.84,1,3.23,59,3.87,756,4.71,3.6,1.35,2,3.33,167,4.93,1896,5.31,8,1.55
17:00:01-18:00:00,2,6.9,79,4.25,770,3.92,17.2,6.9,1,3.23,85,5.57,937,5.84,4.6,1.73,3,5,164,4.84,1707,4.78,22,4.26
18:00:01-19:00:00,0,0,49,2.64,501,2.55,0,0,1,3.23,146,9.57,1541,9.61,8.6,3.23,1,1.67,195,5.76,2042,5.72,9,1.74
19:00:01-20:00:00,0,0,57,3.07,570,2.9,0,0,0,0,0,0,0,0,0,0,0,0,57,1.68,570,1.6,0,0
20:00:01-21:00:00,0,0,9,0.48,78,0.4,0,0,1,3.23,59,3.87,616,3.84,8.6,3.23,1,1.67,68,2.01,694,1.94,9,1.74
21:00:01-22:00:00,1,3.45,29,1.56,264,1.34,8.6,3.45,0,0,9,0.59,78,0.49,0,0,1,1.67,38,1.12,342,0.96,9,1.74
22:00:01-23:00:00,0,0,0,0,0,0,0,0,1,3.23,12,0.79,116,0.72,8.6,3.23,1,1.67,12,0.35,116,0.32,9,1.74
23:00:01-24:00:00,0,0,0,0,0,0,0,0,1,3.23,35,2.29,352,2.19,8.6,3.23,1,1.67,35,1.03,352,0.99,9,1.74
,29,,1859,,19664,,249.4,,31,,1526,,16039,,266.6,,60,,3385,,35703,,516,
