Route:- 6064,Date:- 10/14/2017,,,,,,,,Day:- Saturday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,4,2.56,33,0.32,240,0.29,17.6,2.56,0,0,0,0,0,0,0,0,4,2.55,33,0.32,240,0.29,18,2.6
05:00:01-06:00:00,5,3.21,68,0.67,452,0.54,12,1.75,0,0,0,0,0,0,0,0,5,3.18,68,0.67,452,0.54,12,1.74
06:00:01-07:00:00,8,5.13,242,2.37,1456,1.75,35.2,5.13,0,0,0,0,0,0,0,0,8,5.1,242,2.37,1456,1.75,35,5.07
07:00:01-08:00:00,13,8.33,479,4.69,3784,4.55,57.2,8.33,0,0,0,0,0,0,0,0,13,8.28,479,4.69,3784,4.55,57,8.25
08:00:01-09:00:00,14,8.97,716,7.01,5959,7.17,61.6,8.97,0,0,0,0,0,0,0,0,14,8.92,716,7.01,5959,7.17,62,8.97
09:00:01-10:00:00,10,6.41,704,6.89,6189,7.45,20,2.91,0,0,0,0,0,0,0,0,10,6.37,704,6.89,6189,7.45,20,2.89
10:00:01-11:00:00,9,5.77,654,6.4,5416,6.52,18,2.62,0,0,0,0,0,0,0,0,9,5.73,654,6.4,5416,6.52,18,2.6
11:00:01-12:00:00,6,3.85,525,5.14,4583,5.51,12,1.75,0,0,0,0,0,0,0,0,6,3.82,525,5.14,4583,5.51,12,1.74
12:00:01-13:00:00,6,3.85,594,5.81,5060,6.09,12,1.75,0,0,0,0,0,0,0,0,6,3.82,594,5.81,5060,6.09,12,1.74
13:00:01-14:00:00,5,3.21,452,4.42,3837,4.62,10,1.46,0,0,0,0,0,0,0,0,5,3.18,452,4.42,3837,4.62,10,1.45
14:00:01-15:00:00,6,3.85,461,4.51,3899,4.69,14.4,2.1,0,0,0,0,0,0,0,0,6,3.82,461,4.51,3899,4.69,14,2.03
15:00:01-16:00:00,13,8.33,545,5.33,4383,5.27,57.2,8.33,0,0,0,0,0,0,0,0,13,8.28,545,5.33,4383,5.27,57,8.25
16:00:01-17:00:00,5,3.21,542,5.3,4383,5.27,22,3.21,0,0,0,0,0,0,0,0,5,3.18,542,5.3,4383,5.27,22,3.18
17:00:01-18:00:00,9,5.77,654,6.4,5256,6.32,39.6,5.77,0,0,0,0,0,0,0,0,9,5.73,654,6.4,5256,6.32,40,5.79
18:00:01-19:00:00,9,5.77,786,7.69,6253,7.52,27.9,4.06,0,0,0,0,0,0,0,0,9,5.73,786,7.69,6253,7.52,28,4.05
19:00:01-20:00:00,11,7.05,837,8.19,6659,8.01,22,3.21,0,0,0,0,0,0,0,0,11,7.01,837,8.19,6659,8.01,22,3.18
20:00:01-21:00:00,11,7.05,751,7.35,6075,7.31,22,3.21,0,0,0,0,0,0,0,0,11,7.01,751,7.35,6075,7.31,22,3.18
21:00:01-22:00:00,6,3.85,561,5.49,4357,5.24,18.6,2.71,0,0,0,0,0,0,0,0,6,3.82,561,5.49,4357,5.24,19,2.75
22:00:01-23:00:00,4,2.56,378,3.7,3007,3.62,8,1.17,1,100,0,0,0,0,4.4,100,5,3.18,378,3.7,3007,3.62,12,1.74
23:00:01-24:00:00,2,1.28,237,2.32,1866,2.25,4.8,0.7,0,0,0,0,0,0,0,0,2,1.27,237,2.32,1866,2.25,5,0.72
,156,,10219,,83114,,686.4,,1,,0,,0,,4.4,,157,,10219,,83114,,691,
