Route:- 3860,Date:- 10/14/2017,,,,,,,,Day:- Saturday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,1,2.13,0,0,0,0,7,2.13,1,2,0,0,0,0,7,2,2,2.06,0,0,0,0,14,2.06
06:00:01-07:00:00,4,8.51,12,1.05,84,0.78,28,8.51,7,14,73,8,800,8.91,49,14,11,11.34,85,4.14,884,4.46,77,11.34
07:00:01-08:00:00,4,8.51,36,3.16,312,2.88,28,8.51,5,10,64,7.01,700,7.79,35,10,9,9.28,100,4.88,1012,5.11,63,9.28
08:00:01-09:00:00,6,12.77,85,7.47,903,8.34,29.4,8.94,6,12,80,8.76,700,7.79,42,12,12,12.37,165,8.04,1603,8.09,71,10.46
09:00:01-10:00:00,5,10.64,152,13.36,1321,12.2,20,6.08,4,8,69,7.56,720,8.02,16,4.57,9,9.28,221,10.78,2041,10.3,36,5.3
10:00:01-11:00:00,3,6.38,88,7.73,918,8.48,21,6.38,5,10,83,9.09,896,9.98,35,10,8,8.25,171,8.34,1814,9.16,56,8.25
11:00:01-12:00:00,3,6.38,100,8.79,971,8.97,21,6.38,3,6,28,3.07,276,3.07,21,6,6,6.19,128,6.24,1247,6.3,42,6.19
12:00:01-13:00:00,3,6.38,132,11.6,1368,12.64,21,6.38,1,2,40,4.38,364,4.05,2.4,0.69,4,4.12,172,8.39,1732,8.74,23,3.39
13:00:01-14:00:00,4,8.51,52,4.57,466,4.3,28,8.51,3,6,63,6.9,533,5.93,21,6,7,7.22,115,5.61,999,5.04,49,7.22
14:00:01-15:00:00,1,2.13,66,5.8,630,5.82,7,2.13,2,4,22,2.41,210,2.34,4.8,1.37,3,3.09,88,4.29,840,4.24,12,1.77
15:00:01-16:00:00,2,4.26,69,6.06,624,5.76,4.8,1.46,3,6,82,8.98,791,8.81,21,6,5,5.15,151,7.36,1415,7.14,26,3.83
16:00:01-17:00:00,1,2.13,47,4.13,439,4.05,2.4,0.73,2,4,134,14.68,1302,14.5,14,4,3,3.09,181,8.82,1741,8.79,16,2.36
17:00:01-18:00:00,1,2.13,48,4.22,460,4.25,2.5,0.76,1,2,33,3.61,314,3.5,7,2,2,2.06,81,3.95,774,3.91,10,1.47
18:00:01-19:00:00,2,4.26,69,6.06,654,6.04,13.2,4.01,1,2,38,4.16,380,4.23,2.4,0.69,3,3.09,107,5.22,1034,5.22,16,2.36
19:00:01-20:00:00,2,4.26,46,4.04,437,4.04,8,2.43,2,4,68,7.45,644,7.17,8,2.29,4,4.12,114,5.56,1081,5.46,16,2.36
20:00:01-21:00:00,3,6.38,63,5.54,567,5.24,21,6.38,2,4,29,3.18,284,3.16,2.2,0.63,5,5.15,92,4.49,851,4.3,23,3.39
21:00:01-22:00:00,2,4.26,54,4.75,483,4.46,14,4.26,1,2,7,0.77,68,0.76,2.4,0.69,3,3.09,61,2.97,551,2.78,16,2.36
22:00:01-23:00:00,0,0,19,1.67,190,1.75,0,0,1,2,0,0,0,0,7,2,1,1.03,19,0.93,190,0.96,7,1.03
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,47,,1138,,10827,,329,,50,,913,,8982,,350,,97,,2051,,19809,,679,
