Route:- 6034,Date:- 10/25/2017,,,,,,,,Day:- Wednesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,1,3.13,3,0.17,0,0,20.2,3.13,0,0,0,0,0,0,0,0,1,3.13,3,0.17,0,0,20,3.1
06:00:01-07:00:00,6,18.75,48,2.71,316,1.89,121.2,18.75,0,0,0,0,0,0,0,0,6,18.75,48,2.71,316,1.89,121,18.73
07:00:01-08:00:00,2,6.25,148,8.37,964,5.76,40.4,6.25,0,0,0,0,0,0,0,0,2,6.25,148,8.37,964,5.76,40,6.19
08:00:01-09:00:00,2,6.25,175,9.89,1742,10.4,12.6,1.95,0,0,0,0,0,0,0,0,2,6.25,175,9.89,1742,10.4,13,2.01
09:00:01-10:00:00,1,3.13,178,10.06,2174,12.98,17.5,2.71,0,0,0,0,0,0,0,0,1,3.13,178,10.06,2174,12.98,18,2.79
10:00:01-11:00:00,1,3.13,75,4.24,664,3.96,4.4,0.68,0,0,0,0,0,0,0,0,1,3.13,75,4.24,664,3.96,4,0.62
11:00:01-12:00:00,3,9.38,137,7.74,1445,8.63,9.9,1.53,0,0,0,0,0,0,0,0,3,9.38,137,7.74,1445,8.63,10,1.55
12:00:01-13:00:00,3,9.38,132,7.46,1208,7.21,9.3,1.44,0,0,0,0,0,0,0,0,3,9.38,132,7.46,1208,7.21,9,1.39
13:00:01-14:00:00,1,3.13,112,6.33,1128,6.73,4,0.62,0,0,0,0,0,0,0,0,1,3.13,112,6.33,1128,6.73,4,0.62
14:00:01-15:00:00,4,12.5,71,4.01,636,3.8,15.6,2.41,0,0,0,0,0,0,0,0,4,12.5,71,4.01,636,3.8,16,2.48
15:00:01-16:00:00,1,3.13,77,4.35,739,4.41,4.6,0.71,0,0,0,0,0,0,0,0,1,3.13,77,4.35,739,4.41,5,0.77
16:00:01-17:00:00,1,3.13,95,5.37,869,5.19,2.7,0.42,0,0,0,0,0,0,0,0,1,3.13,95,5.37,869,5.19,3,0.46
17:00:01-18:00:00,1,3.13,101,5.71,964,5.76,20.2,3.13,0,0,0,0,0,0,0,0,1,3.13,101,5.71,964,5.76,20,3.1
18:00:01-19:00:00,2,6.25,87,4.92,909,5.43,8.8,1.36,0,0,0,0,0,0,0,0,2,6.25,87,4.92,909,5.43,9,1.39
19:00:01-20:00:00,1,3.13,127,7.18,1184,7.07,3.8,0.59,0,0,0,0,0,0,0,0,1,3.13,127,7.18,1184,7.07,4,0.62
20:00:01-21:00:00,0,0,117,6.61,1069,6.38,0,0,0,0,0,0,0,0,0,0,0,0,117,6.61,1069,6.38,0,0
21:00:01-22:00:00,2,6.25,54,3.05,434,2.59,4,0.62,0,0,0,0,0,0,0,0,2,6.25,54,3.05,434,2.59,4,0.62
22:00:01-23:00:00,0,0,32,1.81,304,1.82,0,0,0,0,0,0,0,0,0,0,0,0,32,1.81,304,1.82,0,0
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,32,,1769,,16749,,646.4,,0,,0,,0,,0,,32,,1769,,16749,,646,
