Route:- 4781,Date:- 10/25/2017,,,,,,,,Day:- Wednesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,3,9.38,77,4.41,946,5.06,80.4,9.38,1,2.86,96,5.44,1100,5.79,6.5,0.69,4,5.97,173,4.92,2046,5.43,87,4.84
05:00:01-06:00:00,1,3.13,13,0.74,114,0.61,17.3,2.02,1,2.86,27,1.53,248,1.31,26.8,2.86,2,2.99,40,1.14,362,0.96,44,2.45
06:00:01-07:00:00,3,9.38,95,5.43,598,3.2,59.4,6.93,1,2.86,29,1.64,250,1.32,9.9,1.06,4,5.97,124,3.53,848,2.25,69,3.84
07:00:01-08:00:00,3,9.38,157,8.98,1570,8.4,12,1.4,4,11.43,101,5.72,864,4.55,9.6,1.02,7,10.45,258,7.34,2434,6.46,22,1.22
08:00:01-09:00:00,1,3.13,168,9.61,1526,8.17,26.8,3.13,2,5.71,201,11.39,2110,11.11,18,1.92,3,4.48,369,10.5,3636,9.65,45,2.51
09:00:01-10:00:00,1,3.13,23,1.32,202,1.08,26.8,3.13,1,2.86,282,15.98,3372,17.76,2.8,0.3,2,2.99,305,8.68,3574,9.49,30,1.67
10:00:01-11:00:00,1,3.13,78,4.46,980,5.25,26.8,3.13,0,0,16,0.91,172,0.91,0,0,1,1.49,94,2.68,1152,3.06,27,1.5
11:00:01-12:00:00,1,3.13,95,5.43,1141,6.11,6.4,0.75,7,20,87,4.93,828,4.36,187.6,20,8,11.94,182,5.18,1969,5.23,194,10.8
12:00:01-13:00:00,2,6.25,68,3.89,646,3.46,5.4,0.63,2,5.71,131,7.42,1324,6.97,18,1.92,4,5.97,199,5.66,1970,5.23,23,1.28
13:00:01-14:00:00,3,9.38,78,4.46,793,4.24,80.4,9.38,2,5.71,74,4.19,829,4.37,5.8,0.62,5,7.46,152,4.33,1622,4.31,86,4.79
14:00:01-15:00:00,1,3.13,89,5.09,833,4.46,4.4,0.51,2,5.71,91,5.16,1050,5.53,5.6,0.6,3,4.48,180,5.12,1883,5,10,0.56
15:00:01-16:00:00,2,6.25,14,0.8,176,0.94,53.6,6.25,1,2.86,56,3.17,558,2.94,7,0.75,3,4.48,70,1.99,734,1.95,61,3.4
16:00:01-17:00:00,2,6.25,84,4.81,977,5.23,53.6,6.25,1,2.86,37,2.1,448,2.36,2.9,0.31,3,4.48,121,3.44,1425,3.78,56,3.12
17:00:01-18:00:00,1,3.13,34,1.95,456,2.44,7,0.82,1,2.86,94,5.33,1245,6.56,26.8,2.86,2,2.99,128,3.64,1701,4.52,34,1.89
18:00:01-19:00:00,3,9.38,248,14.19,2943,15.75,80.4,9.38,1,2.86,85,4.82,1132,5.96,8.5,0.91,4,5.97,333,9.48,4075,10.82,89,4.96
19:00:01-20:00:00,0,0,194,11.1,2396,12.83,0,0,2,5.71,73,4.14,744,3.92,53.6,5.71,2,2.99,267,7.6,3140,8.34,54,3.01
20:00:01-21:00:00,1,3.13,155,8.87,1634,8.75,17.8,2.08,2,5.71,166,9.41,1688,8.89,5.8,0.62,3,4.48,321,9.14,3322,8.82,24,1.34
21:00:01-22:00:00,2,6.25,17,0.97,238,1.27,53.6,6.25,1,2.86,73,4.14,666,3.51,9.9,1.06,3,4.48,90,2.56,904,2.4,64,3.56
22:00:01-23:00:00,1,3.13,61,3.49,512,2.74,2.9,0.34,2,5.71,5,0.28,52,0.27,53.6,5.71,3,4.48,66,1.88,564,1.5,56,3.12
23:00:01-24:00:00,0,0,0,0,0,0,0,0,1,2.86,41,2.32,310,1.63,1.8,0.19,1,1.49,41,1.17,310,0.82,2,0.11
,32,,1748,,18681,,857.6,,35,,1765,,18990,,938,,67,,3513,,37671,,1796,
