Route:- 4100,Date:- 10/23/2017,,,,,,,,Day:- Monday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,2,5.88,15,0.83,134,0.67,29,5.88,0,0,0,0,0,0,0,0,2,2.99,15,0.39,134,0.32,29,2.98
06:00:01-07:00:00,3,8.82,70,3.87,600,3,10.8,2.19,1,3.03,22,1.08,280,1.29,7.2,1.5,4,5.97,92,2.39,880,2.11,18,1.85
07:00:01-08:00:00,5,14.71,136,7.51,1774,8.86,72.5,14.71,3,9.09,94,4.6,1052,4.84,5.7,1.19,8,11.94,230,5.97,2826,6.77,78,8.02
08:00:01-09:00:00,1,2.94,282,15.57,3467,17.32,14.5,2.94,3,9.09,226,11.06,2564,11.79,43.5,9.09,4,5.97,508,13.18,6031,14.44,58,5.97
09:00:01-10:00:00,2,5.88,196,10.82,2381,11.89,11.4,2.31,3,9.09,199,9.74,2081,9.57,12.6,2.63,5,7.46,395,10.25,4462,10.68,24,2.47
10:00:01-11:00:00,2,5.88,96,5.3,1052,5.25,10.8,2.19,2,6.06,115,5.63,1536,7.07,29,6.06,4,5.97,211,5.47,2588,6.2,40,4.12
11:00:01-12:00:00,2,5.88,102,5.63,1406,7.02,29,5.88,1,3.03,94,4.6,1192,5.48,10.3,2.15,3,4.48,196,5.08,2598,6.22,39,4.01
12:00:01-13:00:00,2,5.88,91,5.02,1152,5.75,9.2,1.87,3,9.09,111,5.43,1313,6.04,43.5,9.09,5,7.46,202,5.24,2465,5.9,53,5.45
13:00:01-14:00:00,3,8.82,121,6.68,1341,6.7,12,2.43,2,6.06,118,5.77,1241,5.71,5.6,1.17,5,7.46,239,6.2,2582,6.18,18,1.85
14:00:01-15:00:00,1,2.94,63,3.48,732,3.66,14.5,2.94,3,9.09,127,6.21,1297,5.97,9.9,2.07,4,5.97,190,4.93,2029,4.86,24,2.47
15:00:01-16:00:00,2,5.88,46,2.54,534,2.67,29,5.88,1,3.03,36,1.76,407,1.87,2.6,0.54,3,4.48,82,2.13,941,2.25,32,3.29
16:00:01-17:00:00,1,2.94,56,3.09,525,2.62,6.2,1.26,1,3.03,59,2.89,679,3.12,3.7,0.77,2,2.99,115,2.98,1204,2.88,10,1.03
17:00:01-18:00:00,1,2.94,68,3.75,617,3.08,2.8,0.57,1,3.03,62,3.03,582,2.68,9.5,1.99,2,2.99,130,3.37,1199,2.87,12,1.23
18:00:01-19:00:00,1,2.94,91,5.02,867,4.33,14.5,2.94,1,3.03,136,6.65,1474,6.78,2.4,0.5,2,2.99,227,5.89,2341,5.61,17,1.75
19:00:01-20:00:00,2,5.88,101,5.58,1038,5.18,7.6,1.54,2,6.06,180,8.81,1580,7.27,29,6.06,4,5.97,281,7.29,2618,6.27,37,3.81
20:00:01-21:00:00,1,2.94,156,8.61,1383,6.91,4,0.81,2,6.06,140,6.85,1409,6.48,29,6.06,3,4.48,296,7.68,2792,6.69,33,3.4
21:00:01-22:00:00,2,5.88,101,5.58,827,4.13,29,5.88,4,12.12,137,6.7,1352,6.22,16,3.34,6,8.96,238,6.17,2179,5.22,45,4.63
22:00:01-23:00:00,1,2.94,20,1.1,192,0.96,14.5,2.94,0,0,188,9.2,1700,7.82,0,0,1,1.49,208,5.4,1892,4.53,14,1.44
23:00:01-24:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,34,,1811,,20022,,493,,33,,2044,,21739,,478.5,,67,,3855,,41761,,972,
