Route:- 6040,Date:- 10/24/2017,,,,,,,,Day:- Tuesday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,1,2.13,0,0,0,0,3.5,2.13,0,0,0,0,0,0,0,0,1,1.04,0,0,0,0,4,1.19
06:00:01-07:00:00,5,10.64,41,5.22,121,2.05,17.5,10.64,4,8.16,12,0.99,122,1.29,14,8.16,9,9.38,53,2.66,243,1.58,32,9.52
07:00:01-08:00:00,5,10.64,50,6.36,342,5.79,12.5,7.6,5,10.2,47,3.88,246,2.61,17.5,10.2,10,10.42,97,4.86,588,3.83,30,8.93
08:00:01-09:00:00,3,6.38,57,7.25,372,6.29,10.5,6.38,5,10.2,71,5.87,694,7.36,17.5,10.2,8,8.33,128,6.41,1066,6.95,28,8.33
09:00:01-10:00:00,2,4.26,36,4.58,380,6.43,7,4.26,1,2.04,49,4.05,348,3.69,2.5,1.46,3,3.13,85,4.26,728,4.75,10,2.98
10:00:01-11:00:00,0,0,17,2.16,118,2,0,0,2,4.08,32,2.64,254,2.69,7,4.08,2,2.08,49,2.45,372,2.43,7,2.08
11:00:01-12:00:00,4,8.51,31,3.94,220,3.72,14,8.51,3,6.12,34,2.81,231,2.45,10.5,6.12,7,7.29,65,3.26,451,2.94,24,7.14
12:00:01-13:00:00,3,6.38,21,2.67,163,2.76,6.6,4.01,4,8.16,50,4.13,438,4.65,10,5.83,7,7.29,71,3.56,601,3.92,17,5.06
13:00:01-14:00:00,2,4.26,31,3.94,269,4.55,7,4.26,2,4.08,18,1.49,138,1.46,5,2.92,4,4.17,49,2.45,407,2.65,12,3.57
14:00:01-15:00:00,1,2.13,6,0.76,48,0.81,3.5,2.13,1,2.04,10,0.83,82,0.87,1.2,0.7,2,2.08,16,0.8,130,0.85,5,1.49
15:00:01-16:00:00,2,4.26,13,1.65,80,1.35,7,4.26,1,2.04,12,0.99,80,0.85,3.5,2.04,3,3.13,25,1.25,160,1.04,10,2.98
16:00:01-17:00:00,2,4.26,23,2.93,176,2.98,7,4.26,3,6.12,23,1.9,176,1.87,10.5,6.12,5,5.21,46,2.3,352,2.3,18,5.36
17:00:01-18:00:00,4,8.51,81,10.31,542,9.17,14,8.51,3,6.12,122,10.08,984,10.44,7.5,4.37,7,7.29,203,10.17,1526,9.95,22,6.55
18:00:01-19:00:00,4,8.51,95,12.09,796,13.47,14,8.51,4,8.16,208,17.19,1600,16.98,14,8.16,8,8.33,303,15.18,2396,15.62,28,8.33
19:00:01-20:00:00,3,6.38,112,14.25,950,16.07,10.5,6.38,3,6.12,162,13.39,1236,13.11,10.5,6.12,6,6.25,274,13.73,2186,14.25,21,6.25
20:00:01-21:00:00,3,6.38,74,9.41,546,9.24,10.5,6.38,3,6.12,185,15.29,1432,15.19,10.5,6.12,6,6.25,259,12.98,1978,12.9,21,6.25
21:00:01-22:00:00,1,2.13,92,11.7,746,12.62,3.5,2.13,2,4.08,76,6.28,576,6.11,3.4,1.98,3,3.13,168,8.42,1322,8.62,7,2.08
22:00:01-23:00:00,2,4.26,5,0.64,34,0.58,7,4.26,2,4.08,79,6.53,628,6.66,5,2.92,4,4.17,84,4.21,662,4.32,12,3.57
23:00:01-24:00:00,0,0,1,0.13,8,0.14,0,0,1,2.04,20,1.65,160,1.7,3.5,2.04,1,1.04,21,1.05,168,1.1,4,1.19
,47,,786,,5911,,164.5,,49,,1210,,9425,,171.5,,96,,1996,,15336,,336,
