Route:- 4781,Date:- 10/27/2017,,,,,,,,Day:- Friday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,2,5.71,0,0,0,0,53.6,5.71,0,0,1,0.06,8,0.04,0,0,2,2.78,1,0.03,8,0.02,54,2.8
05:00:01-06:00:00,1,2.86,20,1.21,188,1.01,3.5,0.37,0,0,0,0,0,0,0,0,1,1.39,20,0.61,188,0.51,4,0.21
06:00:01-07:00:00,2,5.71,61,3.69,424,2.27,29,3.09,2,5.41,45,2.8,370,2.03,53.6,5.41,4,5.56,106,3.25,794,2.15,83,4.3
07:00:01-08:00:00,4,11.43,128,7.73,1874,10.02,107.2,11.43,1,2.7,64,3.98,590,3.24,9,0.91,5,6.94,192,5.88,2464,6.67,116,6.01
08:00:01-09:00:00,0,0,100,6.04,1344,7.19,0,0,5,13.51,177,11.01,2226,12.22,27.5,2.77,5,6.94,277,8.49,3570,9.67,28,1.45
09:00:01-10:00:00,1,2.86,97,5.86,926,4.95,7.6,0.81,0,0,233,14.49,3034,16.65,0,0,1,1.39,330,10.11,3960,10.73,8,0.41
10:00:01-11:00:00,2,5.71,60,3.63,669,3.58,53.6,5.71,1,2.7,84,5.22,892,4.9,26.8,2.7,3,4.17,144,4.41,1561,4.23,80,4.15
11:00:01-12:00:00,1,2.86,70,4.23,790,4.22,8.2,0.87,6,16.22,90,5.6,1018,5.59,59.4,5.99,7,9.72,160,4.9,1808,4.9,68,3.52
12:00:01-13:00:00,2,5.71,74,4.47,690,3.69,5.2,0.55,2,5.41,47,2.92,559,3.07,18,1.82,4,5.56,121,3.71,1249,3.38,23,1.19
13:00:01-14:00:00,3,8.57,71,4.29,678,3.63,8.7,0.93,1,2.7,67,4.17,838,4.6,1.8,0.18,4,5.56,138,4.23,1516,4.11,10,0.52
14:00:01-15:00:00,3,8.57,117,7.07,1222,6.53,6,0.64,2,5.41,48,2.99,563,3.09,18,1.82,5,6.94,165,5.06,1785,4.83,24,1.24
15:00:01-16:00:00,2,5.71,83,5.02,850,4.54,14.2,1.51,4,10.81,71,4.42,785,4.31,14,1.41,6,8.33,154,4.72,1635,4.43,28,1.45
16:00:01-17:00:00,3,8.57,84,5.08,1080,5.77,80.4,8.57,1,2.7,111,6.9,1096,6.02,2.8,0.28,4,5.56,195,5.98,2176,5.89,83,4.3
17:00:01-18:00:00,2,5.71,95,5.74,1012,5.41,5.4,0.58,2,5.41,107,6.65,1429,7.84,5.8,0.58,4,5.56,202,6.19,2441,6.61,11,0.57
18:00:01-19:00:00,1,2.86,119,7.19,1430,7.65,26.8,2.86,2,5.41,114,7.09,1317,7.23,12.8,1.29,3,4.17,233,7.14,2747,7.44,40,2.07
19:00:01-20:00:00,2,5.71,231,13.96,2660,14.22,15.2,1.62,1,2.7,99,6.16,934,5.13,4.8,0.48,3,4.17,330,10.11,3594,9.73,20,1.04
20:00:01-21:00:00,1,2.86,123,7.43,1424,7.61,8.8,0.94,2,5.41,94,5.85,886,4.86,53.6,5.41,3,4.17,217,6.65,2310,6.26,62,3.21
21:00:01-22:00:00,2,5.71,81,4.89,1014,5.42,5.8,0.62,2,5.41,69,4.29,622,3.41,5.8,0.58,4,5.56,150,4.6,1636,4.43,12,0.62
22:00:01-23:00:00,1,2.86,37,2.24,366,1.96,4.4,0.47,2,5.41,55,3.42,700,3.84,10.2,1.03,3,4.17,92,2.82,1066,2.89,15,0.78
23:00:01-24:00:00,0,0,4,0.24,62,0.33,0,0,1,2.7,32,1.99,350,1.92,4.8,0.48,1,1.39,36,1.1,412,1.12,5,0.26
,35,,1655,,18703,,938,,37,,1608,,18217,,991.6,,72,,3263,,36920,,1930,
