Route:- 6040,Date:- 10/15/2017,,,,,,,,Day:- Sunday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
06:00:01-07:00:00,4,8.89,14,2.43,74,1.71,14,8.89,3,6.38,15,1.48,100,1.32,10.5,6.38,7,7.61,29,1.83,174,1.46,24,7.45
07:00:01-08:00:00,3,6.67,18,3.13,140,3.23,10.5,6.67,3,6.38,46,4.54,202,2.66,6.6,4.01,6,6.52,64,4.03,342,2.87,17,5.28
08:00:01-09:00:00,2,4.44,15,2.61,86,1.98,5,3.17,4,8.51,28,2.76,188,2.48,14,8.51,6,6.52,43,2.71,274,2.3,19,5.9
09:00:01-10:00:00,2,4.44,17,2.96,166,3.83,7,4.44,2,4.26,28,2.76,192,2.53,4.4,2.67,4,4.35,45,2.83,358,3,11,3.42
10:00:01-11:00:00,1,2.22,18,3.13,76,1.75,3.5,2.22,1,2.13,16,1.58,114,1.5,3.5,2.13,2,2.17,34,2.14,190,1.59,7,2.17
11:00:01-12:00:00,3,6.67,36,6.26,258,5.95,10.5,6.67,2,4.26,34,3.36,262,3.45,3.4,2.07,5,5.43,70,4.41,520,4.36,14,4.35
12:00:01-13:00:00,1,2.22,23,4,203,4.68,1.7,1.08,1,2.13,32,3.16,258,3.4,2.2,1.34,2,2.17,55,3.46,461,3.86,4,1.24
13:00:01-14:00:00,2,4.44,18,3.13,134,3.09,3.4,2.16,2,4.26,24,2.37,198,2.61,7,4.26,4,4.35,42,2.64,332,2.78,10,3.11
14:00:01-15:00:00,4,8.89,32,5.57,244,5.63,14,8.89,3,6.38,35,3.46,257,3.38,10.5,6.38,7,7.61,67,4.22,501,4.2,24,7.45
15:00:01-16:00:00,4,8.89,33,5.74,222,5.12,10,6.35,5,10.64,57,5.63,346,4.56,17.5,10.64,9,9.78,90,5.67,568,4.76,28,8.7
16:00:01-17:00:00,2,4.44,15,2.61,120,2.77,7,4.44,2,4.26,38,3.75,311,4.09,5,3.04,4,4.35,53,3.34,431,3.61,12,3.73
17:00:01-18:00:00,3,6.67,40,6.96,328,7.56,10.5,6.67,3,6.38,77,7.6,621,8.18,10.5,6.38,6,6.52,117,7.37,949,7.95,21,6.52
18:00:01-19:00:00,2,4.44,51,8.87,400,9.22,7,4.44,3,6.38,184,18.16,1456,19.17,10.5,6.38,5,5.43,235,14.8,1856,15.55,18,5.59
19:00:01-20:00:00,2,4.44,107,18.61,802,18.49,7,4.44,1,2.13,88,8.69,692,9.11,3.5,2.13,3,3.26,195,12.28,1494,12.52,10,3.11
20:00:01-21:00:00,5,11.11,103,17.91,820,18.91,12.5,7.94,5,10.64,119,11.75,892,11.74,17.5,10.64,10,10.87,222,13.98,1712,14.35,30,9.32
21:00:01-22:00:00,3,6.67,27,4.7,196,4.52,10.5,6.67,3,6.38,93,9.18,718,9.45,10.5,6.38,6,6.52,120,7.56,914,7.66,21,6.52
22:00:01-23:00:00,1,2.22,7,1.22,60,1.38,3.5,2.22,2,4.26,83,8.19,660,8.69,7,4.26,3,3.26,90,5.67,720,6.03,10,3.11
23:00:01-24:00:00,1,2.22,1,0.17,8,0.18,3.5,2.22,2,4.26,16,1.58,128,1.69,7,4.26,3,3.26,17,1.07,136,1.14,10,3.11
,45,,575,,4337,,157.5,,47,,1013,,7595,,164.5,,92,,1588,,11932,,322,
