Route:- 4781,Date:- 10/15/2017,,,,,,,,Day:- Sunday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,2,4.88,0,0,0,0,53.6,4.88,0,0,0,0,0,0,0,0,2,2.5,0,0,0,0,54,2.52
06:00:01-07:00:00,2,4.88,89,6.76,868,5.92,32.2,2.93,1,2.56,0,0,0,0,26.8,2.56,3,3.75,89,3.25,868,2.93,59,2.75
07:00:01-08:00:00,1,2.44,40,3.04,462,3.15,8.2,0.75,2,5.13,78,5.49,648,4.33,11.8,1.13,3,3.75,118,4.31,1110,3.75,20,0.93
08:00:01-09:00:00,3,7.32,99,7.52,990,6.76,11.4,1.04,2,5.13,70,4.93,1026,6.85,18,1.72,5,6.25,169,6.18,2016,6.8,29,1.35
09:00:01-10:00:00,1,2.44,79,6,907,6.19,26.8,2.44,3,7.69,101,7.11,1200,8.01,21.3,2.04,4,5,180,6.58,2107,7.11,48,2.24
10:00:01-11:00:00,4,9.76,37,2.81,374,2.55,15.2,1.38,1,2.56,103,7.25,988,6.6,26.8,2.56,5,6.25,140,5.12,1362,4.6,42,1.96
11:00:01-12:00:00,2,4.88,51,3.88,693,4.73,53.6,4.88,2,5.13,49,3.45,631,4.21,5.8,0.55,4,5,100,3.65,1324,4.47,59,2.75
12:00:01-13:00:00,3,7.32,67,5.09,769,5.25,8.1,0.74,3,7.69,65,4.58,653,4.36,80.4,7.69,6,7.5,132,4.82,1422,4.8,88,4.1
13:00:01-14:00:00,3,7.32,67,5.09,748,5.1,21,1.91,2,5.13,100,7.04,1173,7.83,11.2,1.07,5,6.25,167,6.1,1921,6.48,32,1.49
14:00:01-15:00:00,2,4.88,93,7.07,871,5.94,2.8,0.25,2,5.13,48,3.38,468,3.12,14,1.34,4,5,141,5.15,1339,4.52,17,0.79
15:00:01-16:00:00,3,7.32,80,6.08,949,6.48,45.3,4.12,3,7.69,113,7.96,1089,7.27,80.4,7.69,6,7.5,193,7.05,2038,6.88,126,5.88
16:00:01-17:00:00,4,9.76,119,9.04,1400,9.55,107.2,9.76,2,5.13,73,5.14,792,5.29,8.8,0.84,6,7.5,192,7.02,2192,7.4,116,5.41
17:00:01-18:00:00,2,4.88,98,7.45,1214,8.28,53.6,4.88,3,7.69,158,11.13,1726,11.52,27,2.58,5,6.25,256,9.36,2940,9.92,81,3.78
18:00:01-19:00:00,1,2.44,119,9.04,1428,9.74,9.9,0.9,3,7.69,112,7.89,1341,8.95,80.4,7.69,4,5,231,8.44,2769,9.34,90,4.2
19:00:01-20:00:00,2,4.88,102,7.75,1286,8.78,8.8,0.8,2,5.13,117,8.24,1119,7.47,14,1.34,4,5,219,8,2405,8.12,23,1.07
20:00:01-21:00:00,3,7.32,108,8.21,1121,7.65,8.4,0.76,1,2.56,90,6.34,764,5.1,1.4,0.13,4,5,198,7.24,1885,6.36,10,0.47
21:00:01-22:00:00,3,7.32,44,3.34,366,2.5,59.4,5.41,4,10.26,82,5.77,837,5.59,5.6,0.54,7,8.75,126,4.61,1203,4.06,65,3.03
22:00:01-23:00:00,0,0,24,1.82,208,1.42,0,0,3,7.69,38,2.68,350,2.34,40.2,3.85,3,3.75,62,2.27,558,1.88,40,1.87
23:00:01-24:00:00,0,0,0,0,0,0,0,0,0,0,23,1.62,176,1.17,0,0,0,0,23,0.84,176,0.59,0,0
,41,,1316,,14654,,1098.8,,39,,1420,,14981,,1045.2,,80,,2736,,29635,,2144,
