,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,3,19
2,06:00:01-07:00:00,11,241
3,07:00:01-08:00:00,10,388
4,08:00:01-09:00:00,8,356
5,09:00:01-10:00:00,5,222
6,10:00:01-11:00:00,5,185
7,11:00:01-12:00:00,5,166
8,12:00:01-13:00:00,5,339
9,13:00:01-14:00:00,5,133
10,14:00:01-15:00:00,2,114
11,15:00:01-16:00:00,2,78
12,16:00:01-17:00:00,1,110
13,17:00:01-18:00:00,2,174
14,18:00:01-19:00:00,2,158
15,19:00:01-20:00:00,0,163
16,20:00:01-21:00:00,3,249
17,21:00:01-22:00:00,2,192
18,22:00:01-23:00:00,2,105
19,23:00:01-24:00:00,1,9
