,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,0,1
1,05:00:01-06:00:00,3,30
2,06:00:01-07:00:00,9,251
3,07:00:01-08:00:00,9,383
4,08:00:01-09:00:00,5,284
5,09:00:01-10:00:00,4,203
6,10:00:01-11:00:00,7,194
7,11:00:01-12:00:00,4,162
8,12:00:01-13:00:00,6,255
9,13:00:01-14:00:00,4,171
10,14:00:01-15:00:00,6,118
11,15:00:01-16:00:00,3,121
12,16:00:01-17:00:00,2,131
13,17:00:01-18:00:00,1,142
14,18:00:01-19:00:00,2,176
15,19:00:01-20:00:00,3,218
16,20:00:01-21:00:00,2,239
17,21:00:01-22:00:00,1,155
18,22:00:01-23:00:00,1,97
19,23:00:01-24:00:00,2,22
