Route:- 6020,Date:- 10/26/2017,,,,,,,,Day:- Thursday,,,,,,,,,,,,,,,
,UP,,,,,,,,DOWN,,,,,,,,TOTAL,,,,,,,
Time Slab,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,,Trips,,Passenger,,Revenue,,Run KM,
(HH:MM:SS),Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
00:00:01-05:00:00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
05:00:01-06:00:00,4,3.03,0,0,0,0,20.8,3.03,0,0,0,0,0,0,0,0,4,1.56,0,0,0,0,21,1.57
06:00:01-07:00:00,5,3.79,268,6.06,2604,5.58,15,2.19,5,4,59,1.78,472,1.43,26,4,10,3.89,327,4.23,3076,3.86,41,3.07
07:00:01-08:00:00,11,8.33,376,8.51,3983,8.54,57.2,8.33,7,5.6,93,2.81,720,2.18,36.4,5.6,18,7,469,6.07,4703,5.9,94,7.04
08:00:01-09:00:00,10,7.58,507,11.47,5280,11.31,30,4.37,10,8,159,4.81,1536,4.65,52,8,20,7.78,666,8.62,6816,8.55,82,6.14
09:00:01-10:00:00,9,6.82,537,12.15,5972,12.8,46.8,6.82,10,8,101,3.06,992,3,52,8,19,7.39,638,8.26,6964,8.74,99,7.41
10:00:01-11:00:00,9,6.82,458,10.36,5198,11.14,46.8,6.82,8,6.4,97,2.93,1052,3.18,41.6,6.4,17,6.61,555,7.18,6250,7.84,88,6.59
11:00:01-12:00:00,9,6.82,330,7.47,3714,7.96,46.8,6.82,7,5.6,77,2.33,809,2.45,21,3.23,16,6.23,407,5.27,4523,5.67,68,5.09
12:00:01-13:00:00,8,6.06,298,6.74,3374,7.23,33.6,4.9,9,7.2,86,2.6,989,2.99,32.4,4.98,17,6.61,384,4.97,4363,5.47,66,4.94
13:00:01-14:00:00,10,7.58,241,5.45,2583,5.54,43,6.26,8,6.4,81,2.45,954,2.89,33.6,5.17,18,7,322,4.17,3537,4.44,77,5.76
14:00:01-15:00:00,7,5.3,183,4.14,1913,4.1,36.4,5.3,7,5.6,106,3.21,1070,3.24,21,3.23,14,5.45,289,3.74,2983,3.74,57,4.27
15:00:01-16:00:00,8,6.06,163,3.69,1687,3.62,41.6,6.06,8,6.4,212,6.41,2187,6.62,41.6,6.4,16,6.23,375,4.85,3874,4.86,83,6.21
16:00:01-17:00:00,7,5.3,139,3.14,1390,2.98,21,3.06,5,4,216,6.53,2132,6.45,26,4,12,4.67,355,4.59,3522,4.42,47,3.52
17:00:01-18:00:00,7,5.3,146,3.3,1305,2.8,36.4,5.3,9,7.2,385,11.65,3782,11.45,46.8,7.2,16,6.23,531,6.87,5087,6.38,83,6.21
18:00:01-19:00:00,7,5.3,214,4.84,2090,4.48,21,3.06,8,6.4,422,12.76,4394,13.3,41.6,6.4,15,5.84,636,8.23,6484,8.14,63,4.72
19:00:01-20:00:00,8,6.06,207,4.68,2140,4.59,41.6,6.06,6,4.8,437,13.22,4311,13.05,31.2,4.8,14,5.45,644,8.34,6451,8.09,73,5.46
20:00:01-21:00:00,7,5.3,159,3.6,1542,3.3,36.4,5.3,10,8,437,13.22,4432,13.42,52,8,17,6.61,596,7.71,5974,7.5,88,6.59
21:00:01-22:00:00,4,3.03,147,3.33,1432,3.07,20.8,3.03,4,3.2,216,6.53,2020,6.11,20.8,3.2,8,3.11,363,4.7,3452,4.33,42,3.14
22:00:01-23:00:00,2,1.52,47,1.06,458,0.98,10.4,1.52,4,3.2,121,3.66,1174,3.55,20.8,3.2,6,2.33,168,2.17,1632,2.05,31,2.32
23:00:01-24:00:00,0,0,0,0,0,0,0,0,0,0,1,0.03,10,0.03,0,0,0,0,1,0.01,10,0.01,0,0
,132,,4420,,46665,,686.4,,125,,3306,,33036,,650,,257,,7726,,79701,,1336,
