,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,5,46
1,05:00:01-06:00:00,7,208
2,06:00:01-07:00:00,11,296
3,07:00:01-08:00:00,13,336
4,08:00:01-09:00:00,10,379
5,09:00:01-10:00:00,8,395
6,10:00:01-11:00:00,8,301
7,11:00:01-12:00:00,7,239
8,12:00:01-13:00:00,8,307
9,13:00:01-14:00:00,5,179
10,14:00:01-15:00:00,8,144
11,15:00:01-16:00:00,6,74
12,16:00:01-17:00:00,5,107
13,17:00:01-18:00:00,8,94
14,18:00:01-19:00:00,5,179
15,19:00:01-20:00:00,8,133
16,20:00:01-21:00:00,7,125
17,21:00:01-22:00:00,6,136
18,22:00:01-23:00:00,5,36
19,23:00:01-24:00:00,5,15
