,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,10,73
1,05:00:01-06:00:00,8,171
2,06:00:01-07:00:00,9,261
3,07:00:01-08:00:00,14,382
4,08:00:01-09:00:00,6,390
5,09:00:01-10:00:00,8,385
6,10:00:01-11:00:00,8,248
7,11:00:01-12:00:00,8,243
8,12:00:01-13:00:00,5,184
9,13:00:01-14:00:00,5,192
10,14:00:01-15:00:00,4,77
11,15:00:01-16:00:00,4,80
12,16:00:01-17:00:00,7,116
13,17:00:01-18:00:00,7,138
14,18:00:01-19:00:00,7,141
15,19:00:01-20:00:00,5,137
16,20:00:01-21:00:00,7,98
17,21:00:01-22:00:00,6,87
18,22:00:01-23:00:00,5,48
19,23:00:01-24:00:00,5,19
