,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,6,32
1,05:00:01-06:00:00,1,6
2,06:00:01-07:00:00,3,17
3,07:00:01-08:00:00,2,13
4,08:00:01-09:00:00,2,16
5,09:00:01-10:00:00,3,28
6,10:00:01-11:00:00,1,15
7,11:00:01-12:00:00,1,24
8,12:00:01-13:00:00,1,11
9,13:00:01-14:00:00,3,32
10,14:00:01-15:00:00,1,13
11,15:00:01-16:00:00,3,30
12,16:00:01-17:00:00,2,33
13,17:00:01-18:00:00,3,51
14,18:00:01-19:00:00,4,48
15,19:00:01-20:00:00,4,39
16,20:00:01-21:00:00,4,43
17,21:00:01-22:00:00,3,34
18,22:00:01-23:00:00,3,31
19,23:00:01-24:00:00,1,2
