,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,1,3
1,05:00:01-06:00:00,2,32
2,06:00:01-07:00:00,4,65
3,07:00:01-08:00:00,4,70
4,08:00:01-09:00:00,4,62
5,09:00:01-10:00:00,5,98
6,10:00:01-11:00:00,4,78
7,11:00:01-12:00:00,6,110
8,12:00:01-13:00:00,5,96
9,13:00:01-14:00:00,3,75
10,14:00:01-15:00:00,3,81
11,15:00:01-16:00:00,4,110
12,16:00:01-17:00:00,4,95
13,17:00:01-18:00:00,4,132
14,18:00:01-19:00:00,2,94
15,19:00:01-20:00:00,3,113
16,20:00:01-21:00:00,4,75
17,21:00:01-22:00:00,4,75
18,22:00:01-23:00:00,5,98
19,23:00:01-24:00:00,2,8
