,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,7,40
1,05:00:01-06:00:00,9,155
2,06:00:01-07:00:00,13,295
3,07:00:01-08:00:00,12,303
4,08:00:01-09:00:00,10,504
5,09:00:01-10:00:00,11,506
6,10:00:01-11:00:00,9,321
7,11:00:01-12:00:00,5,229
8,12:00:01-13:00:00,5,167
9,13:00:01-14:00:00,5,165
10,14:00:01-15:00:00,9,203
11,15:00:01-16:00:00,7,144
12,16:00:01-17:00:00,5,143
13,17:00:01-18:00:00,7,211
14,18:00:01-19:00:00,7,190
15,19:00:01-20:00:00,8,171
16,20:00:01-21:00:00,7,137
17,21:00:01-22:00:00,8,95
18,22:00:01-23:00:00,9,77
19,23:00:01-24:00:00,7,20
