,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,1,1
2,06:00:01-07:00:00,5,56
3,07:00:01-08:00:00,2,75
4,08:00:01-09:00:00,2,125
5,09:00:01-10:00:00,1,106
6,10:00:01-11:00:00,2,57
7,11:00:01-12:00:00,1,58
8,12:00:01-13:00:00,2,56
9,13:00:01-14:00:00,1,46
10,14:00:01-15:00:00,3,64
11,15:00:01-16:00:00,3,78
12,16:00:01-17:00:00,2,81
13,17:00:01-18:00:00,2,101
14,18:00:01-19:00:00,1,117
15,19:00:01-20:00:00,2,116
16,20:00:01-21:00:00,0,72
17,21:00:01-22:00:00,2,47
18,22:00:01-23:00:00,0,37
19,23:00:01-24:00:00,,
