,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,2,0
1,05:00:01-06:00:00,2,17
2,06:00:01-07:00:00,2,108
3,07:00:01-08:00:00,3,218
4,08:00:01-09:00:00,1,149
5,09:00:01-10:00:00,2,157
6,10:00:01-11:00:00,0,169
7,11:00:01-12:00:00,3,126
8,12:00:01-13:00:00,1,110
9,13:00:01-14:00:00,3,89
10,14:00:01-15:00:00,3,69
11,15:00:01-16:00:00,2,139
12,16:00:01-17:00:00,2,50
13,17:00:01-18:00:00,5,56
14,18:00:01-19:00:00,1,142
15,19:00:01-20:00:00,1,160
16,20:00:01-21:00:00,2,237
17,21:00:01-22:00:00,1,140
18,22:00:01-23:00:00,1,30
19,23:00:01-24:00:00,0,0
