,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,11,595
1,05:00:01-06:00:00,8,83
2,06:00:01-07:00:00,11,217
3,07:00:01-08:00:00,16,511
4,08:00:01-09:00:00,11,918
5,09:00:01-10:00:00,7,833
6,10:00:01-11:00:00,11,735
7,11:00:01-12:00:00,8,479
8,12:00:01-13:00:00,7,550
9,13:00:01-14:00:00,9,417
10,14:00:01-15:00:00,6,422
11,15:00:01-16:00:00,7,483
12,16:00:01-17:00:00,8,662
13,17:00:01-18:00:00,8,572
14,18:00:01-19:00:00,11,871
15,19:00:01-20:00:00,11,948
16,20:00:01-21:00:00,11,878
17,21:00:01-22:00:00,10,727
18,22:00:01-23:00:00,10,515
19,23:00:01-24:00:00,7,293
